	narrator	Adam	male	Story narrator
	American Horse	George	male	1. A Sioux chief mentioned in the list of great chieftains. | 8. A young warrior who later became a chief, participating in the Battle of Fort Phil Kearny. He was among the noted young warriors who fought alongside Rain-in-the-Face and other great chiefs. | 10. A Sioux chief who succeeded his uncle after the Battle of Slim Buttes in 1876. Born before major white encroachments, he was tutored by his uncle and became a leader of the American Horse band. Known for his genial nature, love of notoriety and excitement, natural acting ability, and eloquence. Advocated peaceful coexistence with whites and was influential in maintaining peace among his people during turbulent times.
	Captain Lea	Alex	male	6. An agent for the Brules band who met with Crazy Horse at Fort Robinson. He was involved in the tense situation surrounding Crazy Horse's arrest and attempted to mediate between the Sioux warriors and the U.S. military officials.
	Chief Joseph	Fenrir	male	1. A chief mentioned in the list of great chieftains. | 11. A Nez Perce chief who appealed to the people of the United States and succeeded in having his band returned to their homeland. | 13. Young Nez Perce chief who led his people through a masterful retreat from their homeland in Oregon to Montana, demonstrating exceptional strategic ability despite being unencumbered by women and children. He was well-educated in Christian principles, had attended Missionary Spaulding's school, and was deeply committed to peace but ultimately forced into war. He later became a prominent advocate for his people's rights and was deeply disappointed by the government's treatment of Native Americans.
	Conquering Bear	Nicola	male	1. An old Sioux chief who protested the killing of a cow by young men but was ultimately shot dead on the spot when he refused to be intimidated by an officer demanding punishment for the killings. | 2. An old Sioux chief who was killed by whites, leading to Spotted Tail's duel and eventual revenge. Spotted Tail avenged his death by killing the attacker, which led to his own injury and later to him taking over as chief after Conquering Bear's death.
	Crazy Horse	Omega	male	1. A noted young war leader who was appointed to lead the charge in the attack on Fort Phil Kearny. | 2. A famous war leader who opposed Spotted Tail's accommodation with whites. He criticized Spotted Tail for signing away his people's freedom and was ultimately killed by the military. | 6. Born around 1845 on the Republican River, he was a Teton Sioux warrior who became one of the most revered leaders in Native American history. Physically perfect and embodying the highest ideals of Sioux bravery, he was known for his courage, generosity, and leadership in battle. He led the Sioux against the U.S. Army during the Great Sioux War of 1876, achieving notable victories including at the Battle of Little Bighorn. He was killed in 1877 at Fort Robinson, Nebraska, after being arrested under suspicious circumstances. | 7. A prominent Lakota warrior who led forces in battle against the U.S. military, particularly during the Battle of Little Bighorn. He was a key figure in the Sioux resistance alongside Sitting Bull. | 8. A famous Lakota war leader who fought alongside Sitting Bull and other great chiefs in battles against the U.S. Army, including at Fort Phil Kearny and the Little Big Horn. He was known for his fierce courage and leadership in battle.
	Crow Dog	Liam	*male	2. The nephew of Conquering Bear who opposed Spotted Tail's leadership. He was a rival to Spotted Tail for chiefdom and taunted him about his position being granted by white soldiers. He ultimately killed Spotted Tail in revenge for perceived dishonor.
	Dull Knife	Puck	male	1. A lieutenant under Crazy Horse who participated in the attack on Fort Phil Kearny. | 1. A Sioux chief mentioned in the list of great chieftains. | 11. A Cheyenne chief known for his courage, unselfishness, and intelligence. As a boy, he saved his sister during a buffalo stampede. As a youth, he led a relief party carrying dried meat to save his starving tribe. He rescued his wounded brother-in-law in battle and was wounded twice. He later led his people in a desperate flight from the Indian Territory back to their homeland, and ultimately chose to die fighting rather than surrender. Known for his honesty, simplicity, and war record. | 12. A Cheyenne war chief contemporary of Roman Nose, noted for his strength and warfare among Indians. Described as stronger character than Roman Nose.
	Gall	Nicola	male	1. A Sioux chief mentioned in the list of great chieftains. | 5. A prominent Sioux chief known for his physical prowess, leadership skills, and aggressive stance in defending his people's freedom. He was a key figure in the Sioux nation's last stand for independence, remembered for his strategic mind and ability to organize others. His early exploits included a daring chase of a jack rabbit in a travois and a memorable wrestling match with Roman Nose. He was instrumental in the Little Big Horn battle, where he helped calm excited youths and led them to victory against Reno's forces. Later in life, he was captured by the U.S. military and eventually returned to Standing Rock after being promised protection but later imprisoned.
	General Miles	Psi	male	13. U.S. Army general who received orders from General Howard to intercept Chief Joseph and later played a role in the final surrender negotiations, though he was sympathetic to Joseph's cause.
	General O. O. Howard	Liam	male	13. U.S. Army general sent to force the Nez Perce people off their land, who initially tried to negotiate peacefully but ultimately resorted to military force. He was described as a 'Christian soldier' who reluctantly enforced government policy.
