	narrator	Adam	male	Story narrator
	Big Tom	Onyx	male	16. Full name Mamanowatum meaning 'O be joyful', a large, almost gigantic man who was a Christian convert and skilled boat steersman. He guided the author and his wife on a dangerous journey from Fort Garry to Norway House, demonstrating exceptional skill in navigating stormy waters. He was known for his courteous ways and ability as a steersman, and later became a respected chief among the Cree people. He was also a devoted Christian who prioritized his spiritual duties over political power, declining the position of chief to maintain focus on his three main life objectives: his own salvation, helping his family, and guiding his religious class.
	Chief	Eric	*male	6. An Indian chief who visited the mission house and reported on pagan Indians' willingness to hear the Gospel in exchange for food. He was a leader among his people and had influence over others. | 7. A tribal leader who organizes the feast and ensures that sick or aged members are not forgotten, taking responsibility for recording their names. | 15. Ookemasis's husband who was a chief and died, leading Ookemasis to take over his position as chieftainess.
	company	Liam	*male	11. Hudson Bay Company that held despotic power and opposed Sabbath observance
	Mamanowatum	Nicola	*male	7. A large Indian moose-hunter who is successful in his hunting and makes generous contributions to the feast, including half a moose and its nose. Known by the nickname 'Big Tom'. | 7. The chairman of the intellectual feast meeting, a large and respected man who makes good and suggestive addresses.
	Matthew	Echo	*male	1. A young school-teacher from the missionary party who disobeys orders by visiting the barn at night. He is described as being six feet, six inches and a half in stature.
	missionaries	Michael	*male	11. Religious figures who preach the Gospel and teach Sabbath observance to indigenous people
	missionary	Alex	male	4. An energetic, active man who was a missionary traveling by canoe and dog-train in northern Canada. He was conceited about his cedar canoe being superior to birch-bark canoes and insisted on using it despite warnings from experienced Indians. He was ultimately killed in a canoe accident running rapids. | 6. The main narrator and protagonist of the story, a missionary who first met Sandy Harte in Nelson River. He was instrumental in Sandy's education and conversion, taking him into his home despite the challenges of poverty. He later became a mentor figure to Sandy and others. | 7. A male religious figure who leads the Christian feast and organizes community activities, including overseeing the distribution of food to those unable to attend. | 8. The narrator who leads the mission work and cares for sick Indians during the measles outbreak | 10. A missionary living in the Hudson Bay territories who depends on fish and game for livelihood. He is described as having made a journey with sixteen dogs and four Indian companions to carry the Gospel to paganism-affected Indians. He established a rule requiring payment for goods from Indians after experiencing exploitation. | 13. The main narrator of the story, a missionary who witnessed Betsy's mistreatment and helped address it through church proceedings. He was fair and compassionate, ultimately supporting Robert's redemption. | 15. A Christian missionary who visits the Saulteaux people and teaches them about Christianity. He is described as having a wife who helps him with visitors, and he gives Ookemasis a sheet of paper to mark the days of rest.
	Murdo	Omega	*male	6. An Indian leader who was present during the missionary's conversation with Sandy about education. He was one of the friendly Indians who remembered the missionary's words and helped bring Sandy to the mission house.
	Mustagan	Liam	*male	7. An Indian hunter who promises five beavers and ten tails for the feast, demonstrating his skill in trapping.
	Old conjurer	Fable	*male	5. Indian spiritual leader who initially feared the Bible, boasted of supernatural powers but failed when challenged
	old experienced guide	Psi	*male	4. An elderly Indian who was experienced in canoeing and river navigation. He advised the missionary against running dangerous rapids in his cedar canoe but was ignored.
	Peter	Psi	*male	2. An Indian canoeman who accompanied the missionary on trips. He was capable of carrying supplies and equipment on his back during portages.
	Robert Atenou	Fenrir	male	13. Betsy's husband, a Christian Indian who initially treated his wife and daughters poorly by making them do all the work while he kept the best portions for himself. He was humbled and changed after his wife's confrontation and the community's rebuke, eventually redeeming himself by sharing food with his family.
	Sandy Harte	Santa	male	6. A wounded Indian boy who was taught to read by the missionary and later became a devoted Christian. He was brought from Nelson River to live with the missionary's family, initially struggled with adjustment and rebellion but eventually converted and became a powerful preacher among his people. He was the right-hand man of the resident missionary.
	Soquatum	Puck	*male	7. An Indian hunter who contributes half a bear and all the paws to the feast, showing generosity with his hunting success.
	The five Indian boys	Lewis	*male	14. Five strong, lithe and full of life Indian lads who voluntarily gave up their chance at the best knife to award it to Jimmie Jakoos
	The hunter	Kumo	*male	2. An Indian father who initially opposed the missionary's teachings but later became a converted Christian after his son was healed by the missionary.
	the leader of the party	Puck	*male	1. An older man who has spent most of his years among the Indians and in the great west. He is described as being past middle life.
	the missionary	Alex	*male	A missionary living in the Hudson Bay territories who depends on fish and game for livelihood. He is described as having made a journey with sixteen dogs and four Indian companions to carry the Gospel to paganism-affected Indians. He established a rule requiring payment for goods from Indians after experiencing exploitation. | The main narrator of the story, a missionary who witnessed Betsy's mistreatment and helped address it through church proceedings. He was fair and compassionate, ultimately supporting Robert's redemption. | A Christian missionary who visits the Saulteaux people and teaches them about Christianity. He is described as having a wife who helps him with visitors, and he gives Ookemasis a sheet of paper to mark the days of rest. | A male religious figure who leads the Christian feast and organizes community activities, including overseeing the distribution of food to those unable to attend. | The narrator who leads the mission work and cares for sick Indians during the measles outbreak
	The old grandfather	George	*male	9. An elderly patriarch who is deeply attached to his grandson. He was a great warrior in his youth and uses extreme methods to teach the boy about enduring pain without showing emotion.
	the scouts from the United States army	Nicola	*male	1. Military personnel who warn the party about horse thieves in the area. They are described as being dressed picturesquely and making a hurried trip from the head waters of the Missouri.
	The Stalwart Indian	Daniel	*male	10. A fine, strong Indian who brings venison to the missionary's home. He is described as honest and clever, having found the missionary's cache in the forest and taken pemmican to survive. He later explains how he identified the tracks as belonging to a white man rather than an Indian.
	Thomas Mustagan	Michael	male	12. A grand old Christian Indian man, over fourscore years old. He was deeply grieved by Edmund's death and led the search party that found the body through prayer. He was very active in the search despite his age.
	Betsy	Alloy	female	13. Robert Atenou's wife, a sorrowful and quiet woman who was mistreated by her husband. She was brave enough to confront the missionary about her treatment and later demonstrated her redemption through changed behavior, sharing food with her family instead of hoarding it for herself.
	Mrs Young	Sara	female	6. The missionary's wife who showed great kindness and wisdom in dealing with Sandy. She was instrumental in helping Sandy adjust to civilized life, supported his conversion, and helped organize the dinner for his people. She was a strong supporter of Sandy's spiritual development. | 13. The missionary's wife who worked alongside the main narrator. She was supportive of Betsy and helped her navigate the difficult situation with Robert, showing compassion and wisdom in handling the confrontation.
	Ookemasis	Siwis	female	15. A chieftainess and daughter of a chief who took over her husband's position after his death. She is curious, anxious to learn the truth about Christianity and the Bible, and diligently keeps records of her prayers. She is described as large and emphatic in manner.
	The devoted lady teacher	Gongitsune	female	14. A missionary teacher who asked the narrator to encourage Indian boys to sing due to their fear of being laughed at
	the good wife	Dora	female	8. The speaker's wife who suggests bringing extra supplies from Red River to add variety to their diet and improve comfort
	the parrot	Xiaoni	*female	1. A talkative parrot in the party that frightens superstitious Indians and French half-breeds with her speech. She is described as having wings ruffled when annoyed.
	The wife	Bella	female	15. The missionary's wife who helps him with visitors and explains to the missionary about Ookemasis being a chieftainess. She is described as good and helpful.
	christian indian	Alex		
	indian mother	Alpha		
	*Athabasca	George	*male	11. Region in the interior from which furs were brought to Norway house
	*brigade	Puck	*male	11. Group of boats and crew members that transported goods and furs
	*Caesar	Lewis	*male	8. A dog who travels behind Voyageur in the sled team
	*captain	Liam	*male	11. Leader of a brigade who maintained discipline and organized work
	*Christian Indians	Fenrir	*male	4. Native Canadian people who had converted to Christianity and were eager to hear the Gospel. They welcomed the missionary's visits with enthusiasm. | 11. Indians who converted to Christianity and chose to observe the Sabbath
	*Cuffy	Daniel	*male	4. A dog owned by the missionary, one of the finest dogs obtained from Senator Sanford of Hamilton. He was part of the superior dog-train used for long journeys. | 8. A dog who travels behind Voyageur in the sled team
	*Edmund Stephenson	Eric	male	12. A Christian Indian who drowned while skating on frozen river. He was industrious, providing comfortably for his wife and two children. His baptismal name was Edmund Stephenson.
	*Esquimaux dogs	Kumo	*male	4. Dogs used for dog-trains in northern Canada. They were generally of various breeds with size, endurance, and sagacity. The missionary's predecessor had left him a train of these dogs.
	*friendly Indians	Lewis	*male	4. Native Canadian people who were alert and skilled in hearing. They detected the missionary's approach by sound rather than sight, even when he was hidden in morning mist.
	*Great Spirit	Michael	*male	5. Title for God in Indian belief, represented as a revelation when written on rock by narrator
	*Hudson Bay Company	Psi	*male	11. Fur trading company that opposed Sabbath observance and persecuted missionaries
	*Indian-guide	Alex	*male	4. An experienced Indian who guided dog-trains through harsh winter conditions. He demonstrated skill in navigating blizzards and dangerous terrain.
	*Indians	Fable	*male	4. Native Canadian people who were skilled canoeists and guides. They warned the missionary about his cedar canoe's unsuitability for rapids, were experienced in wilderness travel, and had keen senses of hearing and sight. | 11. Native people who initially misunderstood Sabbath observance and later adopted it
