	narrator	Adam	male	Story narrator
	Alex Bennet	Onyx	*male	6. A young frontiersman who is in love with Mabel Lane. He was involved in the abduction and rescue of Mabel, has a farm that he wants to give to Mabel upon marriage. He is passionate and determined.
	Bill Elsing	Psi	*male	2. A rough-looking man from Yellow Creek who leads a group of men. He is described as having a 'pert piece' of work regarding horse-stealing and comes to consult Colonel Zane about the situation.
	Bing Legget	Fable	male	1. An outlaw who employs the guide Jenks, described as a border-hawk. | 3. A man who is mentioned as being responsible for the capture of Mabel, with Shawnee Indians being part of his gang. | 7. A French-Canadian and leader of a gang involved in horse theft. He is described as having a nasty scar on his temple and cheek, is big and experienced in the woods, and works in the dark with other renegades. | 11. A notorious outlaw and horse-thief who is the mastermind behind Brandt and Metzar's operations. He is a dangerous figure in Fort Henry, with his own network of accomplices. | 13. A notorious outlaw and leader of a band operating in the frontier region. He is described as a bronzed, dangerous man with steel-blue eyes and a brutal demeanor who has been hunting bordermen. | 14. An outlaw leader who is being hunted by Jonathan Wetzel and Jack. He has a camp that the two men raid.
	Brandt	Kumo	male	6. A man who is one of Helen's admirers and has been visiting her. He is described as having insulted Helen, and he appears to be interested in her romantic life. | 7. A French-Canadian who is connected to Bing Legget and Metzar in the horse theft scheme. He has a history of violence, having murdered someone and become an outlaw. | 8. A riverman who is described as having a wolfish expression and trembling hands from heavy drinking. He is part of the group causing trouble at Metzar's inn. | 10. A man who has been pursuing Helen romantically but is rejected. He shows signs of being a criminal, with 'steely gray' eyes and calculating nature. He is involved in secretive activities with Metzar. | 11. A white man and leader of the outlaws, involved in a plot to steal horses and abduct a girl. He is determined and calculating, willing to risk his life for the mission. He speaks in halting English but is fluent in Indian languages. | 12. A traitor who was planning to kidnap Helen and is part of a gang of outlaws. He is described as bad, hard to match, and ultimately defeated by the bordermen. | 13. A borderman and associate of Bing Legget who is captured by the Shawnee. He is described as a desperado with intelligence against him, and has a personal grudge against Jonathan. | 14. An outlaw who is being hunted by Jonathan Wetzel and Jack. He has joined a powerful outlaw band on the border. | 17. The mastermind behind the abduction who manipulates Mordaunt. He is described as having a threatening, cool, and evil-meaning look with keen hard face and steely eyes. He is arrogant, cruel, and shows no remorse for his actions. | 18. A leader among the outlaws who is wounded during a fight with Mordaunt. He appears pale and weak, bleeding from his chest. He is described as having hawk eyes and a cruel demeanor. | 19. An Englishman who is involved in criminal activities and has a hand in the capture of Helen. He appears to be a traitor. | 20. One of Legget's companions who binds Helen's feet and is later killed by Jonathan. | 21. An outlaw who is being pursued by Wetzel and Jonathan. He was involved in the kidnapping of Helen and was killed during a confrontation. | 22. A border outlaw who is hard and haggard with gray eyes that smolder. He is more calculating than Legget, understands the tactics of Zane and Wetzel, and is ultimately killed by fire in his cabin. He has a wound that reopens during the confrontation. | 23. An outlaw being pursued by Jonathan Zane. He has been traveling north through the wilderness, favoring a wound and weakening in his pace. | 24. An outlaw and renegade who has committed crimes including theft and murder. He is described as wild-eyed, haggard, and wounded after his escape attempt.
	Case	Puck	male	8. Mordaunt's servant, described as short and vicious-looking with a jackal-like face. He is aggressive and eager to fight, wielding a knife. | 9. A man who attacks Helen's father, described as someone who was threatening with a knife. He is confronted and defeated by Jonathan Zane during the incident that saves Helen's father's life. | 10. A character who was incited by Brandt to start trouble at Metzar's bar-room, suggesting he is involved in the criminal activities. | 12. A man who resisted arrest and was kicked by Wetzel, resulting in him spitting blood. | 14. A man who is mentioned as a guide for Mr. Mordaunt, but refuses to accompany him on his journey back to England. | 17. Sailor who serves as an accomplice to Brandt and Mordaunt. He is described as a small man with a red, evil face who carries a musket and threatens the captives. He is brutal in his treatment of Will and shows little regard for human life. | 18. A sailor who is captured along with Helen and becomes involved in a gambling game with Legget. He is described as repulsive, drunk, and treacherous. He attempts to assault Helen but is killed by a rifle shot. | 19. A villainous outlaw who is cruel and abusive, particularly towards Helen. He is ultimately killed by Jonathan Zane.
	Chief	Daniel	*male	4. Colonel Zane's dog, a watch-dog who helps protect the settlement. He is familiar with Jonathan and responds to his commands. | 22. A young Indian chief who is described as swarthy with a face retaining some frankness and simplicity of youth. He shows superstitious fear when hearing about Deathwind.
	Colonel Zane	Alex	male	2. A rugged, stalwart pioneer with a strong, dark face who leads Fort Henry. He is a veteran of border warfare and the brother of Jonathan Zane. He is described as having fine dark eyes, a genial smile, and a commanding presence. | 3. Host of the gathering, a frontier leader who welcomes guests to his home on the border. He is jovial and hospitable, introducing guests to neighbors and sharing stories about local characters like his brother Silas and the recent events involving horse thieves. He is a man of authority who has lived long on the frontier and shows strategic thinking when dealing with threats to his community. | 4. Jonathan's brother, a respected leader in the settlement who founded Fort Henry. He is kind and generous but also practical and experienced in frontier life, having lived through conflicts with Native Americans. | 5. A military officer and father who is vigilant about protecting his family and settlement from Indian attacks. He is angry about stolen horses but more concerned with the safety of his family and neighbors. | 6. A respected border leader who is handsome and ruggedly masculine. He was involved in the defense of Fort Henry during Girty's siege, has a strong sense of justice and is a good matchmaker. He shows deep concern for Helen's safety. | 7. Helen's father, who is mentioned as being worried about her when she goes into the woods. He is part of the settlement's leadership. | 8. Commandant of the fort who maintains law and order in the settlement. He is stern but fair, and has a deep understanding of frontier dynamics. | 9. A prominent figure in the hamlet of Fort Henry, brother to Betty. He is an older man who takes pride in his discernment and has a keen eye for beauty, particularly that of Helen. He is actively involved in community development efforts like establishing a church and school. He is also an active matchmaker, devising schemes to bring Jack and Helen together despite their mutual unawareness of each other's feelings. He is protective of his family, especially his sister Betty and Helen. | 10. A military officer who is involved in border conflicts and has a relationship with Betty. He organizes hunting expeditions and helps facilitate romantic connections. | 12. A military officer and Helen's father who is in charge of the settlement. He is stern, experienced in frontier conflicts, and deeply concerned for his daughter's safety. | 14. An older man who is the head of a frontier settlement and has deep knowledge of border life. He is wise, observant, and acts as a matchmaker for the young people in his community. He is protective of Betty and Will, and has a strong understanding of the importance of marriage on the frontier. | 15. Betty's father and Jonathan's brother. He is a military figure who has been involved in border warfare, showing concern for his son's dangerous mission and the influence Wetzel has had on Jack. | 21. Jonathan's brother, a military officer who commands the settlement. He is described as doughty and stern with grim features, showing his fierce nature when dealing with threats to the community. | 23. A horse owner whose thoroughbred is recognized by Jonathan Zane. He is mentioned as a character with property in the area. | 24. A stern military figure who is in authority at Fort Henry. He is the brother of Jonathan and husband to Mrs. Zane. He shows a cold, hard demeanor when dealing with justice issues but can be moved by emotion. | 25. The central figure of the chapter, a frontier leader who organized the celebration. He is described as having a strong, dark face and is the father of four children including Daniel, Silas junior, Myeerah, and Jonathan. He gave the wedding speeches and was the first to kiss the brides.
	Eb	Onyx	*male	2. A man who is likely the same as Jonathan Zane, based on context. He is described as having serious suspicions about horse thieves and mentions the murder of Old Jake Lane. | 21. A man who is mentioned by Betty as someone she hopes to see, likely a husband or brother in the community.
	George Sheppard	George	male	2. An older pioneer who has come west with his daughter Helen and nephew. He is a veteran of the Revolution, recently widowed, and has brought his family to Fort Henry for land. He is described as having gray hair.
	Indian	Nicola	*male	10. A large, swarthy Indian who appears suddenly in the glade and is described as magnificent in proportions. | 11. A savage Indian who emerges from the river and warns Brandt about Deathwind. He is described as swarthy, lined, and terrible with a dark impassiveness. | 23. A Native American warrior who is found dead near the pond, having been killed in a struggle with Wetzel. He was serving as a sentinel.
