	narrator	Adam	male	Story narrator
	Ahbettuhwahnuhgund	Fable	male	4. The Chief of Kettle Point, described as a fine, broad-shouldered, intelligent-looking man who was still a pagan despite having baptized several of his children. | 5. An Indian who met the missionaries at Forest with his sleigh to transport them to Kettle Point | 10. Indian Chief at Kettle Point, initially reluctant to be baptized but later converted to Christianity. He was a nominal pagan who had been influenced by Christian teachings and eventually received the name Isaac.
	Antoine Rodd	Omega	*male	3. A Church Indian who owns the lot of land where the mission buildings are eventually constructed. The missionary obtains permission to use one acre of his land. | 6. A local farmer who donated one acre of his farm for the mission. Known as 'Shesheet' to the Indians. | 7. A man whose son is noted for being particularly vicious when drunk, leading to violent confrontations.
	Archie	Fenrir	male	16. The Wilsons' young son who is called Tecumseh after the famous chief who fought under Sir Isaac Brock in 1812. He travels to England with the party. | 19. A young boy who visits the sick Indian child and is welcomed by him | 22. The eldest boy, four years old, who was found sitting calmly under a fence while the house burned and was carried to safety by his father.
	Bishop	Liam	male	25. The Bishop who was away during the foundation stone ceremony and whose absence meant the narrator bore the responsibility for the occasion. | 26. A religious leader who consented to the narrator's plan to build a school-church at Batcheewauning and appoint a catechist. | 30. The Bishop of Quebec who presided over a meeting in the National School Hall and examined the boys. | 31. A religious leader who accompanies the narrator on a missionary tour up Lake Superior. He prays with the narrator and delivers an earnest address to the Indians. | 32. A religious figure who accompanies the narrator on their journey. He has a tent pitched at Neepigon and cooks for himself using tin pots. | 33. A religious leader who accompanies the group on their journey, participates in prayers and services with the Indians, and delivers a sermon to the gathered Native people. | 34. Missionary leader who led the expedition to visit the Indian band. He spoke about God's providence and offered educational opportunities for their children. | 35. A religious leader who joins the mission party and shows interest in the native children | 38. The Bishop of the diocese who died suddenly in Toronto on December 7th. He was deeply involved with the welfare of Indian children and had his remains buried in the Indian cemetery alongside Mrs. Fauquier. | 41. The religious leader who visited Garden River, received a new name 'Tabahsega' (spreading or radiant light) and addressed the gathered Indians about the Gospel
	Bishop Hellmuth	Eric	male	14. The Bishop of Toronto who is elected by the black-coats in council and has authority over missions. He is described as a great black-coat chief. | 28. The Bishop of Huron who spoke at the opening ceremony, expressing pleasure at being present and emphasizing that training young Indians was the true way to do permanent good.
	Bishop of Algoma	Lewis	male	28. The Bishop of Algoma who conducted the Special Service at the opening ceremony and gave remarks about the institution's purpose. He called upon the Bishop of Huron to formally open the building.
	Bishop of Quebec	Liam	*male	30. A religious leader who welcomed the narrator and his boys in Quebec. He presided over a meeting and examined the boys.
	Blackstone	Echo	male	31. A prominent Indian chief who initially opposes the narrator's attempts to preach Christianity. He wears traditional attire including a white shirt covered in beadwork, long braided hair, feathers, and carries a bayonet. He later participates in council meetings.
	Buhkwujjenene	Puck	male	9. Chief of Garden River Indians, brother of Augustin Shingwauk, 8-10 years younger than Augustin | 16. Chief of his band who collects maple sap and makes sugar in the bush. He is described as tall, handsome with a frank but thoughtful face, about thirty years old. He is a Christian who converted forty years ago and is willing to travel to England to help raise funds for building a teaching wigwam. He has a strong connection with nature and dreams, particularly about loons. | 18. A Native American chief who converted to Christianity after hearing a missionary's preaching. He was deeply affected by his son's conversion and eventually became a Christian himself, leading to the establishment of the Garden River Mission. | 21. An Indian Chief who attended the opening ceremony of the Shingwauk Industrial Home | 22. An Indian who spoke feelingly after the church service and was present during the fire emergency.
	Captain Wilson	Alex	*male	25. An old Highlander who accompanied the party and made a comment about the guns. Likely a military officer or local figure.
