	narrator	Adam	male	Story narrator
	Achilles	Fable	male	5. Hero of the Trojan War who died at Troy. | 13. The greatest warrior of the Greeks at Troy, son of Peleus and Thetis. His ghost appears in the underworld and speaks with Ulysses. | 26. Son of Peleus and Thetis, legendary Greek hero who fought at Troy. Ghost in the underworld with Patroclus, Antilochus, and Ajax.
	Aegyptius	Santa	male	4. An elderly and experienced councillor of Ithaca who speaks first at the assembly. He is a father who lost his son Antiphus in the cave with Ulysses.
	Agamemnon	George	male	3. King of Mycenae and leader of the Achaeans who was killed by his wife's lover Aegisthus. | 5. King of Mycenae and leader of the Achaean forces at Troy. Killed by his wife Clytemnestra and her lover Aegisthus upon his return. | 6. King of Mycenae and brother of Menelaus, leader of the Achaeans in the Trojan War. Murdered by Aegisthus upon his return. | 11. Son of Atreus, leader of the Achaeans during the Trojan War. Ulysses mentions him as a renowned warrior who sacked Troy and killed many people, establishing his reputation. | 13. King of Mycenae and commander of the Greek forces at Troy. His ghost appears in the underworld, recounting how he was murdered by his wife Clytemnestra and Aegisthus. | 26. King of Mycenae and commander of the Greek forces at Troy. Ghost in the underworld who speaks with Achilles about their shared fate.
	Agelaus	Eric	*male	22. A prominent suitor who speaks on behalf of the others. He suggests that Penelope should marry one of them, trying to justify their continued presence in the house.
	Alcinous	Santa	male	1. King of the Phaeacians, ruler of the island where Odysseus finds refuge after his long journey. He is described as a wise and just king who shows great hospitality to strangers. | 8. King of the Phaeacians, wise ruler whose counsels were inspired by heaven. He is the father of Nausicaa and holds all the power in his state. He is described as a just and capable leader who has established order and prosperity for his people. | 9. The king of the Phaeacians, ruler over a sea-faring people who are renowned for their skill in navigation. He is hospitable and wise, initially skeptical of the stranger but eventually offers to help him return home. He is described as a just ruler who values hospitality. | 10. King of the Phaeacians, host to Ulysses, wise and generous ruler who organizes banquets and games for his guest | 11. The king of the Phaeacians who hosts Ulysses and listens to his story. He is a generous host who invites the bard to sing and encourages Ulysses to tell his tale of sorrow. | 13. King of the Phaeacians who hosts Ulysses and shows him great hospitality. He is described as the chief person among his people. | 15. King of the Phaeacians, hospitable and generous. He organizes an escort for Ulysses back to Ithaca, showing great respect and kindness. He is a wise ruler who listens to his people's concerns. | 27. King of the Phaeacians, ruler of Scheria. He is described as a just and generous king who receives Ulysses kindly, provides him with hospitality, and arranges for his safe passage home. He is portrayed as a wise ruler who values justice.
	Amphimedon	Puck	*male	26. Son of Melaneus, a suitor killed by Ulysses who speaks with Agamemnon in the underworld about how he died.
	Amphinomus	Kumo	male	18. A suitor from Dulichium who speaks more honestly than others. He is described as having agreeable conversation and being the most reasonable of the suitors, though he still supports Penelope's suitors. | 20. Son of Nisus of Dulichium, a respected suitor who shows some wisdom and understanding. He warns Ulysses about the suitors' behavior but is ultimately doomed to die by Telemachus. | 22. A suitor who recognizes the ill omens from the eagle and dove, suggesting that they should abandon their plot to murder Telemachus. | 24. A suitor who attempts to fight Ulysses but is killed by Telemachus. He represents the brave but ultimately doomed suitors.
	Antinous	Michael	male	3. Son of Eupeithes and one of the leading suitors who oppose Telemachus. | 4. A leading and aggressive suitor who speaks against Telemachus. He is described as insolent, cruel, and a leader among the suitors who are wasting Telemachus's estate. | 6. Leader of the suitors who plot against Telemachus and is one of the main antagonists. | 18. A prominent suitor of Penelope who plots against Telemachus. He is described as insolent, wicked, and ambitious, seeking to eliminate the threat of Ulysses' son. | 19. One of the most aggressive suitors who shows extreme cruelty towards Ulysses. He is known for his bitter tongue and violent behavior. | 20. A prominent suitor of Penelope, known for his arrogance and cruelty. He encourages the fight between Irus and Ulysses and is one of the main antagonists. | 22. A leading and aggressive suitor who is hostile toward Telemachus. He speaks with authority among the suitors and shows little respect for household rules. | 23. A leading suitor who is arrogant and aggressive. He scolds the servants for weeping over Ulysses's bow, mocks Leiodes for failing to string it, and threatens Ulysses with death if he attempts to use the bow. | 24. The leader of the suitors who is killed first by Ulysses. He represents arrogance and disrespect towards Ulysses' household. | 26. Son of Eupeithes, one of the suitors killed by Ulysses. First suitor to be killed in Ulysses' revenge.
	Apollo	Fable	male	6. God mentioned as one of the deities to whom Menelaus prays. | 9. The god who killed Rhexenor, the first son of Nausithous. He is described as a powerful deity who has divine influence. | 10. God of music, prophecy and archery who is present at the wedding of Venus and Mars | 13. The god of prophecy and music who killed the giants Otus and Ephialtes. | 22. The god of the sun and prophecy, whose grove is mentioned as a gathering place for the Achaeans.
	Autolycus	Liam	male	21. Ulysses' grandfather, known for his cunning and thievery. He gave Ulysses a scar from hunting a wild boar on Mount Parnassus.
	Ctesippus	Nicola	*male	22. A wealthy suitor from Same who throws a heifer's foot at Ulysses during dinner, showing his insolence and disrespect toward the disguised hero.
	Dolius	Lewis	*male	6. Gardener given to Penelope by her father, who is to be told of Telemachus' journey. | 26. Old man who owns slaves including his sons, and works on Laertes' farm. Recognizes Ulysses upon his return. | 27. Servant of Ulysses who is described as simple-minded and possibly unaware of his son Melanthius's treachery. He is portrayed as a loyal servant who has served the family for many years.
	Echeneus	Lewis	male	9. An elder among the Phaeacians who speaks on behalf of the people. He is described as an excellent speaker and gives advice about how Ulysses should be treated. | 13. An aged and respected hero among the Phaeacians who speaks in favor of keeping Ulysses as a guest.
	Elpenor	Psi	male	12. A young man in Ulysses's crew who gets killed by falling from the house-top while drunk. His death is a tragic consequence of his carelessness. | 13. Ulysses' companion who died after falling from Circe's house and was left unburied. His ghost appears to Ulysses in the underworld requesting proper burial rites. | 14. A member of Ulysses' crew who died after falling from Circe's roof. His funeral is performed by Ulysses and his men.
	Eteoneus	Onyx	male	6. Servant of Menelaus who discovers the strangers at the gate and helps with their reception. | 17. Retainer of Menelaus who helps cook meat for Telemachus and his companions, showing hospitality to guests.
	Eumaeus	Fable	male	16. The swineherd who serves as Ulysses' loyal servant and host. He is thrifty, hardworking, and devoted to his master Ulysses despite believing him dead. He builds and maintains the pigsties with great care. | 17. Swineherd in Ithaca who is loyal to Ulysses and his family. He shows kindness to the disguised Odysseus (who is actually Ulysses) and provides shelter for him. | 18. The loyal swineherd who serves Ulysses and Telemachus. He is kind-hearted, devoted to his masters, and acts as a trusted confidant who helps conceal Ulysses' identity. | 19. Swineherd who serves as a loyal servant to Ulysses. He shows great kindness and hospitality towards the disguised Ulysses, protecting him from harm. | 22. The swineherd who is loyal to Ulysses and his family. He shows kindness to the disguised Ulysses, recognizing him as a great man despite his appearance. | 23. The swineherd who is one of Ulysses's most loyal servants. He recognizes his master upon his return and pledges to fight for him, later helping in the plan against the suitors. | 24. The loyal swineherd who has been faithful to Ulysses. He helps in the fight against the suitors and is rewarded. | 25. Swineherd and loyal servant to Ulysses, who has been faithful during his master's long absence. He is a trusted companion and helps in the plan to deal with the suitors. | 26. Swineherd and loyal servant of Ulysses, who helps him return home and fight the suitors. | 27. Swineherd of Ulysses who is loyal to his master. He is described as a faithful servant who provides hospitality and assistance to Ulysses upon his return. He is portrayed as a humble but honorable man.
	Eupeithes	George	*male	26. Father of Antinous, one of the suitors killed by Ulysses. Leads the people of Ithaca in revenge against Ulysses.
	Euryalus	Michael	male	10. Young Phaeacian athlete, boastful and insolent who taunts Ulysses about his athletic abilities
	Eurylochus	Omega	male	12. A captain and loyal companion of Ulysses who is sent with a group to explore Circe's house. He stays outside due to suspicion but later returns to warn Ulysses of the men's fate. | 13. A companion of Ulysses who helps prepare the ritual for consulting the dead in the underworld. | 14. A crew member of Ulysses who gives evil counsel to the men, persuading them to kill and sacrifice the sun-god's cattle.
	Eurymachus	Liam	male	3. Son of Polybus and another prominent suitor who speaks with Telemachus about the stranger. | 4. Son of Polybus and another prominent suitor who speaks against Telemachus. He is described as a cruel man who threatens Mentor and Telemachus. | 6. Ringleader among the suitors who plots against Telemachus with Antinous. | 18. A suitor of Penelope who speaks against killing Telemachus, though he is actually plotting against him. He claims to be protective of the young man but is ultimately self-serving. | 19. One of the leading suitors who is favored by Melanthius. He shows favoritism towards his servant and is part of the group oppressing Penelope. | 20. A leading suitor of Penelope who is arrogant and cruel. He mocks Ulysses and tries to provoke him into working as a servant. | 22. A leading suitor who is dismissive of Theoclymenus' warnings and suggests that the strangers be expelled from the house. | 23. A leading suitor who is more cautious than Antinous. He expresses concern about the suitors' inability to string Ulysses's bow and suggests offering sacrifices to Apollo before trying again. | 24. A prominent suitor who tries to negotiate with Ulysses but is ultimately killed. He attempts to justify the suitors' actions and offers compensation.
	Halitherses	Puck	*male	4. An old prophet and reader of omens among the Ithacans who warns about the return of Ulysses and predicts doom for the suitors. | 26. Old man who knows both past and future, advises the people of Ithaca not to attack Ulysses.
	Henry Festing Jones	Kumo	*male	2. The author of the preface to the second edition, who assisted in seeing the works through the press and thanked Mr. A. T. Bartholomew and Mr. Donald S. Robertson for their help
	Hercules	Eric	*male	13. The great hero who was forced to perform labors. His ghost appears in the underworld, having been feasting with the immortal gods.
	Irus	Fenrir	male	20. A common tramp and beggar in Ithaca, known for being a glutton and drunkard. He insults Ulysses and challenges him to fight, but is defeated by Ulysses.
	Jove	Eric	male	3. King of the gods who presides over the council and is concerned with justice and retribution for wrongdoing. | 6. King of the gods who is mentioned as the giver of good and evil. | 7. The king of the gods who commands that Ulysses be allowed to return home, and who sends Mercury to deliver this message. | 10. King of the gods, husband of Juno and father of Venus | 11. The chief god of the Greek pantheon, also known as Zeus. He is mentioned as the one who wills Ulysses' adventures and has power over human affairs, including punishing those who wrong him. | 13. The king of the gods who is mentioned as having hatred for the house of Atreus and as being the father of Hercules. | 14. The king of the gods who punishes Ulysses' crew for killing the sun-god's cattle with a thunderbolt. | 15. King of the gods, who advises Neptune on how to deal with the Phaeacians. He is portrayed as wise and authoritative, mediating between gods. | 22. The king of the gods who rules over heaven and earth. He is invoked by Ulysses in prayer for guidance and protection. | 26. King of the gods, father of Minerva and Ulysses. Makes peace between the warring parties. | 27. King of the gods who appears in the story as a figure from mythology. He is described as ruling over the heavens and providing guidance to Ulysses in his journey.
