	narrator	Adam	male	Story narrator
	Abercrombie & Fitch	Liam	*male	4. A New York company that makes a rubber match safe | 5. A company that manufactures tents and attempts to sell additional fly rigging accessories for their products | 6. Company that manufactures aluminum alloys, food bags, pack harness, and reflector ovens | 7. A male company that offers milk powder, which the author finds unconvincing as actual milk despite being sweet.
	author	Aiden	*male	The writer of the camp cookery chapter, who provides practical advice and recipes for outdoor cooking with a focus on experimentation and improvisation.
	Daniel Boone	Omega	*male	1. A famous American wilderness traveler who emphasized the importance of being sure you are right before proceeding. His epigram 'Be sure you are right, and then go ahead' became classic.
	Generalities	Puck	*male	10. A narrator or author figure discussing packing techniques for wilderness travel
	Hubbard	Santa	*male	1. A wilderness traveler who made a fatal mistake by not being sure of his route. He was optimistic and in a hurry, leading him to push forward despite difficulties that ultimately killed him. Known for his self-made reputation and optimism.
	Hunting deer	Lewis	*male	3. A male hunter who hunts deer along rocky ledges in box canyons
	Jones	Eric	*male	1. A youngish man with curly hair and regular features who was inexperienced in wilderness travel despite his self-made reputation. He made a wrong turn, got lost, and was unable to properly manage his animals.
	Marble Axe Company	George	*male	4. A company that makes a kitchen or camp knife and a waterproof match safe
	Son of the alkali	Fable	*male	10. A character who disputes with the son of the foothills about diamond hitch techniques, representing a different regional perspective
	Son of the foothills	Michael	*male	10. A character who argues about the proper way to throw a diamond hitch, representing a regional or traditional approach
	The author	Onyx	*male	2. A seasoned wilderness traveler and writer who shares his experiences and philosophies about outdoor equipment and comfort. He has spent time in the Sierras and is knowledgeable about woodcraft, having learned from his own mistakes. | 3. A male writer who provides advice on outdoor equipment and clothing | 8. The writer of the camp cookery chapter, who provides practical advice and recipes for outdoor cooking with a focus on experimentation and improvisation. | 9. The narrator of the chapter who provides detailed instructions on horse equipment and packing rigs | 12. The narrator and writer of the canoe chapter, an experienced paddler who has used various types of canoes and provides detailed descriptions and recommendations for different canoe types, paddles, and portaging methods.
	The average man	Alex	*male	2. A typical outdoor enthusiast who tends to overpack with unnecessary items despite good intentions. He struggles with self-honesty when determining what is truly essential for wilderness travel.
	The Ranger	Daniel	*male	1. A forest ranger who was part of the party that encountered Jones and his group, helping to put them right when they got lost.
	The shakemaker	Kumo	*male	1. A person who came to help fight fire and mentioned that Jones had passed his place, but ignored warnings about being off the trail.
	Wes Thompson	Echo	male	5. A character who comments on someone's chopping technique and expresses frustration with their approach to woodcutting
	*Algernon	Fenrir	*male	1. A member of a party who was ten minutes slow in packing his horse, demonstrating the importance of discipline and efficiency in wilderness travel.
	*Arizona cowboy	Omega	male	3. A male cowboy from Arizona who travels in the desert, wearing a hat and working with cattle
	*Bill-horse	Lewis	*male	11. A beautiful mountain-bred and raised horse owned by the narrator who was proud, high-stepping and appealing to look at but impossible to catch even when hobbled, leading the narrator to trade him for a less attractive but more manageable horse
