	narrator	Adam	male	Story narrator
	Albert	Santa	male	2. Dick's younger brother, described as a boy who is eager to hunt and explore. He shows excitement about seeing buffalo and expresses desire to be able to pursue game like his brother. He is impressionable, easily excited by new experiences, and relies on Dick for protection and guidance. | 3. A young white boy who is traveling with his brother Dick. He becomes tired and falls behind the train, later faints from exertion during a critical moment in the story. He is sensitive and easily overwhelmed by physical or emotional stress. | 4. Dick's companion and brother who is weaker and recovering from illness, but shows determination to help. He becomes a capable cook and fisherman, contributing to their survival through his skills. | 5. The younger brother who stays behind to guard their supplies while Dick explores. He is courageous and supportive, showing concern for his brother's safety. He appears to be recovering from illness or weakness as indicated by Dick's observation of his fuller voice and healing process. | 6. The younger brother, recovering from illness and physical weakness. He shows remarkable improvement in strength and spirit, becoming more confident and determined to contribute equally to their survival efforts. He is resourceful, capable of fishing and building fires, and develops a strong sense of independence and responsibility. | 7. A young boy who takes up hunting and successfully kills a large buffalo, showing courage and determination. He is proud of his achievement and eager to prove himself as equal to his brother Dick in hunting skills. | 8. The younger brother who has recovered from illness and is now strong and healthy. He enjoys inventing and improving their living conditions, such as diverting hot spring water to the cabin. He is supportive of Dick's plans and enthusiastic about staying in the valley. | 9. The younger brother who has transformed from a sickly, weak boy into a strong, healthy young man through the harsh conditions and hard work. He is adventurous, skilled in cooking, and shows great courage when facing wolves. He has a good sense of humor and is resourceful in survival situations. | 10. Richard Howard's younger brother who is growing strong and healthy. He helps with trapping, building, and maintaining their cabin and Annex. He is practical and enjoys the luxury of their accumulated furs and supplies. | 12. Dick's brother who appears at the end of the chapter as a rescuer, having apparently been searching for Dick. He is described as being present when Dick collapses and falls into his arms, suggesting he has been traveling in the mountains to find his brother. He is portrayed as a supportive figure who likely helped Dick during his journey. | 13. Dick's brother who is healthy, strong, and dictatorial. He nursed Dick back to health after his ordeal, showing great care and dedication. He is described as having a full, cheerful voice and being the protector of the valley. He takes on leadership roles when needed. | 14. Dick's younger brother and fellow trapper who is more sentimental and optimistic. He is described as young, sanguine, and full of joy in life. He shows loyalty to his brother and the valley they've called home, but also displays courage when facing danger. He is more emotionally affected by their departure from the valley and becomes increasingly homesick during their journey. | 15. Dick's older brother who was also captured by the Sioux. He is impressionable and eager to explore the village, showing more enthusiasm than Dick for their situation. | 16. The younger brother of Dick, also captured by the Sioux. He is more cautious and often expresses fear about their situation. He shows respect for authority but also has a sense of humor. | 17. Dick's brother, also a white captive boy who is held prisoner by the Sioux. He participates in the sun dance and joins Dick in attempting to escape, though he is captured during their attempt. | 19. Dick's brother who was captured along with Dick during the Battle of Little Big Horn. He escaped from his lodge by breaking out and hiding in bushes, eventually finding Dick after the battle. | 20. Dick's younger brother who was also captured by Sioux and escaped with Dick. He is portrayed as weary, exhausted, and less physically strong than Dick, but still brave enough to participate in the defense. He is described as being overpowered by fatigue at times.
	Albert Howard	Michael	male	1. A delicate, frail young man who is the younger brother of Richard Howard. He has inherited his mother's slenderness and fragility, is physically weak but refined in appearance, and suffers from exhaustion during their journey. He longs for trees and running water.
	Bright Sun	Eric	male	1. A Sioux Indian who serves as a guide for the train. He is well-educated, speaks perfect English, and appears to be a powerful figure with strong leadership qualities. He is described as having a coppery complexion, thick black hair, and high cheekbones. | 2. An Indian guide who is mysterious, knowledgeable about the land and wildlife, and possesses an enigmatic presence. He appears silently and seems to have supernatural qualities. He guides the group toward gold country and speaks with authority about their journey. | 3. A Native American guide who leads Conway and his train through the wilderness. He is knowledgeable about the terrain and communicates with the white travelers, though he appears to be a trusted figure who knows the local area well. | 6. A mysterious Indian character who is described as peculiar but always planning and acting. He appears to be a significant figure in the broader context of their story, though his specific role and current activities are unknown to Albert and Dick. | 14. A Sioux Indian who has been living with white people but returns to his native culture. He is described as a great chief and leader of men with commanding presence, fire in his eyes, and proud demeanor. He is a significant figure who deliberately led the wagon train into an ambush, causing great harm to white people. He is now in his native attire and appears as a leader among the Sioux. | 15. A Sioux chief and leader of the Mendewahkanton tribe. He speaks English with precision but maintains his Indian pride and identity. He is proud, defiant, and shows a complex mix of respect for the white man's ways and loyalty to his own people. | 16. A prominent Sioux chief who educated in white schools and speaks English well. He is a powerful leader among the Sioux, known for his authority and influence over other chiefs. He treats Dick and Albert with a mix of respect and control. | 17. A Sioux chief who is described as having been influenced by white civilization but still deeply committed to his people's traditions. He participates in the sun dance and is shown to be a leader who enforces discipline among his warriors. | 18. A Sioux chief in battle array who appears on the hillside. He shows a superior smile when he sees Dick and later watches the arrival of white horsemen with triumph. He is one of the main Indian leaders present during the battle. | 20. The Sioux chief who saved Dick and Albert's lives during their captivity. He is described as a noble figure who ultimately chooses to die fighting rather than surrender, but Dick spares his life. He represents the last stand of his people.
	Conway	Kumo	male	2. An adult male leader of the expedition who is gruff, demanding, and prone to anger. He often scolds others, especially Dick, for actions he deems foolish or disobedient. Despite his harshness, he shows some competence in crisis situations and has authority over the group. | 3. A white leader or captain of the train who is traveling with Bright Sun and his companions. He appears to be in charge of the group, though he is not directly involved in the battle scene.
	Crazy Horse	Omega	*male	16. A notable Sioux warrior who speaks to Bright Sun during the council, showing his influence and importance among the leaders. | 18. A prominent Sioux chief who leads the warriors in battle. He is one of the great chiefs mentioned as leading the overwhelming masses against Custer's forces.
	Dick	Alex	male	2. A young male protagonist who is adventurous, resourceful, and brave. He enjoys the outdoors, hunts animals like antelope and buffalo, and shows leadership qualities during crises such as when he starts a backfire to save the camp. He is protective of his younger brother Albert and has a strong sense of duty. | 3. Albert's older brother, a strong and resourceful young man who takes charge during the crisis. He is brave, protective of his brother, and shows leadership qualities when they are stranded in the wilderness after an attack. | 4. A brave young pioneer boy who courageously searches a battlefield for supplies and treasure, demonstrating great determination and selflessness by refusing to eat until his companion Albert is fed. He is strong, resourceful, and shows leadership qualities. | 5. The older brother, a skilled woodsman and mountaineer who leads the exploration journey into the mountains. He is confident, resourceful, and determined to find a safe winter home for himself and his brother Albert. He is physically strong, adventurous, and shows leadership qualities. | 6. The older brother, two years senior in age but ten years older in experience and maturity. He is the leader and protector, skilled in hunting, building, and survival tasks. He demonstrates resourcefulness, forethought, and strong leadership while caring for his younger brother. | 7. Albert's older brother who is experienced in hunting and guides Albert. He is practical, confident, and skilled with firearms. He helps Albert with his hunting expedition and later works on building the annex. | 8. The older brother, practical and resourceful, who proposes turning fur hunters. He is skilled in trapping, hunting, and building traps like the gun trap for cougars. He takes pride in doing things well and is determined to make their mountain valley base work for them. | 9. The older brother who leads the trapping operations and is practical, resourceful, and protective. He is physically strong, skilled in hunting and survival techniques, and shows great courage when defending Albert from wolves. He has a strong work ethic and is focused on building their fur business. | 10. Richard Howard, the older brother who is strong, agile, and self-reliant. He leads the scouting expedition, builds a canoe, makes a dugout, and undertakes a journey to explore the world beyond the valley. He is resourceful, adventurous, and protective of his brother Albert. | 11. A young frontiersman who is being pursued by Sioux warriors on horseback. He demonstrates quickness, courage, and resourcefulness in evading his pursuers through the night and snow. He is described as a 'boy' who feels 'a surge of exultation' and shows both physical strength and mental fortitude in his survival efforts. He is traveling toward the mountains and his brother's cabin. | 12. A young boy who has survived a dangerous pursuit by Sioux warriors and now faces the challenge of surviving in harsh winter conditions. He demonstrates resourcefulness, determination, and resilience when he uses a sunglass to start a fire and later embarks on a difficult journey across snow-covered plains toward the mountains. He is physically strong but weary from his ordeal, and shows both courage and moments of despair during his struggle for survival. | 13. The protagonist who was severely weakened after a year-long pursuit by a Sioux Indian, recovering in Castle Howard with his brother Albert. He is described as having a thin, pale, and weak appearance after his ordeal but shows remarkable resilience. He is strong and vigorous when healthy, and has a deep understanding of survival in the wilderness. | 14. A young male trapper and explorer who has lived in the valley for nearly two years. He is practical, experienced in wilderness survival, and shows leadership qualities. He has a strong sense of duty and honor, as demonstrated when he refrains from shooting Bright Sun despite his betrayal. He is physically strong and capable, having developed excellent woodcraft skills during his time in the wilderness. | 15. A young white boy who has been captured by the Sioux and is being held as a hostage. He is intelligent, observant, and has a sense of humor. He shows respect for Bright Sun despite being captive. | 16. The older of the two main protagonists, a young man who has been captured by the Sioux and is observing their ways. He is curious, observant, and shows courage despite his captivity. He has a strong sense of duty to his people. | 18. A young prisoner bound to a tree, observing the Battle of Little Big Horn from a hill. He is aware of the impending disaster and tries to warn the approaching white army, but his voice is lost in the battle sounds. He is described as a boy who believes he should be part of the fight and shows admiration for the cavalrymen.
	Dick Howard	Fenrir	male	17. A young white captive boy, described as strong and courageous, who is held prisoner by the Sioux. He participates in the sun dance and later attempts to escape with his brother Albert. He shows stoicism under torture but is deeply troubled by the prospect of death. | 19. A young white man who was captured and bound to a tree during the Battle of Little Big Horn, witnessing the entire battle from beginning to end. He escapes by cutting himself free and eventually finds his brother Albert, showing courage and determination in the face of tragedy. | 20. A young man who was captured by Sioux and escaped, bearing witness to Custer's defeat. He is described as having keen eyes, being brave and resourceful, and showing great endurance during the siege. He is a skilled hunter and trapper who later becomes wealthy from selling furs.
	Lieutenant	Lewis	*male	20. A military officer who questions Dick and Albert upon their arrival. He is suspicious of their story at first but becomes convinced after seeing the marks on Dick's wrists.
	Lone Wolf	George	*male	16. A young Sioux warrior who serves as a guard for Dick and Albert. He speaks English and is part of the group that escorts them around the village. | 17. An Indian guard who oversees the captives Dick and Albert. He is described as a warrior who speaks little but acts with authority, showing both loyalty to his people and some understanding of the white captives' situation. | 17. An Indian warrior who serves as a guard for the captives. He is described as having been influenced by white civilization but still maintaining his role in protecting the Sioux people's prisoners.
	Rain-in-the-Face	Onyx	*male	16. A great Sioux chief who is present during the council with Bright Sun. He shows impatience and suggests harsh treatment of Dick. | 17. A Sioux chief who is described as being in charge of Dick's fate. He oversees the torture scene where arrows are shot near Dick, demonstrating his role as a leader who enforces punishment. | 18. A Sioux chief who joins Bright Sun on the hillside to observe the white horsemen. He is one of the prominent Indian leaders involved in the battle.
	Richard Howard	Liam	male	1. A strong, courageous young man who is the older brother of Albert Howard. He has inherited his father's bigness and powerful constitution, is resourceful and protective of his younger brother, and has a strong sense of duty. He is determined to care for Albert despite the hardships of their journey.
	Sam Conway	Puck	male	1. The leader of the train, a rough middle-aged man who dislikes Richard and Albert. He is coarse, surly, and enjoys making himself disagreeable, often speaking harshly about the brothers' situation. | 4. A rough, hardened man from the pioneer group who was killed in battle and found by Dick among the dead on the battlefield.
	Sergeant Williams	Daniel	*male	20. An experienced soldier who leads Dick and Albert to safety. He is kind-hearted, believes their story, and praises them for their bravery during the siege.
	Sioux	Echo	*male	11. A Sioux warrior who pursues Dick on horseback, engaging him in a deadly combat. He is described as an enemy warrior who seeks to take Dick's life, showing ferocity and determination. He is portrayed as a skilled horseman who uses his knowledge of the terrain to hunt Dick, and later continues pursuing him even after being wounded.
	Tall Pine	Fable	*male	16. A young Sioux warrior who serves as a guard for Dick and Albert. He speaks English and accompanies Lone Wolf in their duties.
	*Buffalo	Puck	*male	10. Large game animals that are hunted by the Sioux and provide furs for Dick and Albert. They appear as a source of food and wealth.
	*Cougar	Fable	*male	7. A large cat that approaches the annex, showing cunning and aggression. He is described as a huge cat with yellow eyes who becomes frightened by the presence of something larger. | 8. A mountain lion that becomes a threat to their cabin and Annex. It is eventually trapped by Dick's ingenious rifle trap, suffering severe injuries before being killed.
	*Crow Dog	Alex	*male	16. A great Sioux chief present during the council with Bright Sun. He is one of several prominent leaders in the gathering.
	*Crow Indian scout	Daniel	*male	18. A lone survivor of the battle who escapes by disguising himself as a Sioux warrior after all other white soldiers have fallen.
	*Custer	Fable	*male	16. A white military general mentioned by Bright Sun as leading advancing troops against the Sioux. He is part of the opposing force in the conflict. | 18. The white army general with long yellow hair who leads the cavalry charge toward the Little Big Horn River. He is described as waving his hat and encouraging his men, but ultimately falls in the battle. | 19. A military officer who led the doomed cavalry unit at Little Big Horn, mentioned as having made his last stand on a hill. | 20. The commander of the doomed cavalry unit who led troops into battle at Little Big Horn. He is described as having long yellow hair and leading an entire command that was destroyed.
	*Ephraim	Kumo	*male	9. A beaver whose skin was taken by Dick, contributing to their fur collection. He is part of the beaver family that they trap for furs.
	*Gall	Psi	*male	16. A great Sioux chief present during the council with Bright Sun. He is one of several prominent leaders in the gathering.
	*General Gibbon	Michael	*male	20. A military leader who arrives with reinforcements to help the besieged troops. He leads a powerful force that pursues and defeats the Sioux.
