	narrator	Adam	male	Story narrator
	Bingley	Michael	male	23. A wealthy gentleman who has been visiting Netherfield and is the object of Jane's affection. He has recently disappeared from the area. | 37. A gentleman who was initially attracted to Jane Bennet but was separated from her due to his friend Mr. Darcy's influence. | 40. A wealthy young man who has feelings for Jane. He is described as having been treated unfairly by Mr. Darcy, and Jane still holds strong affection for him. | 44. A wealthy gentleman who is friendly and cordial with Elizabeth. He expresses genuine pleasure at seeing her again, inquires about her family, and shows interest in her sister Jane. He is described as having good-humoured ease and unaffected cordiality. | 54. A wealthy and amiable gentleman who is the object of Jane's affection. He arrives punctually for dinner at Longbourn and sits beside his beloved. | 56. A wealthy young man who is engaged to Jane Bennet. He is described as having a good nature and being easily influenced by others. | 57. A wealthy gentleman who is engaged to Jane Bennet, mentioned as a potential rival for Mr. Darcy's attention | 59. A wealthy young man who is engaged to Jane Bennet. He is amiable and good-natured, though easily influenced by others.
	Colonel Fitzwilliam	Santa	male	30. Younger son of Lord ----, cousin of Mr. Darcy. Accompanies Mr. Darcy to Rosings. | 31. A military officer and nephew of Lady Catherine de Bourgh. He is well-mannered, sociable, and enjoys conversation. He shows interest in Elizabeth Bennet and is glad to be at Rosings for company. | 32. Mr. Darcy's cousin who is described as pleasant, admired by Elizabeth, and often visits the Parsonage. | 33. Mr. Darcy's cousin, a younger son of an earl who walks the park and discusses social matters with Elizabeth. He is involved in guardianship of Miss Darcy. | 34. Mr. Darcy's cousin, who is mentioned as accompanying him to Rosings and whose presence causes Elizabeth some concern. | 35. Mr. Darcy's cousin and guardian of his sister Georgiana, who is also an executor of Mr. Darcy's father's will. He serves as a witness to the events described in Darcy's letter. | 36. Mr. Darcy's cousin who provides information about Wickham and whose testimony supports Mr. Darcy's account of events. | 41. Mr. Darcy's cousin, who spent three weeks at Rosings with Mr. Darcy and Elizabeth. | 47. Mr. Darcy's cousin, who is mentioned as having been present in Kent and whose behavior helped Elizabeth understand Wickham's true character.
	Darcy	Onyx	male	4. Mr. Bingley's friend who is clever and has a superior understanding, but is haughty, reserved, and fastidious. His manners are well-bred but not inviting. | 59. A wealthy and proud gentleman who becomes Elizabeth's husband. He is initially perceived as disagreeable but reveals himself to be honorable and deeply in love with Elizabeth.
	Mr. Bennet	Echo	male	1. A man of quick parts and sarcastic humour, who is married to Mrs. Bennet. He is reserved and capricious, with a dry wit that often irritates his wife. | 2. A father of five daughters who visits Mr. Bingley despite his wife's objections. He is witty, sarcastic, and enjoys teasing his family members. | 3. Mrs. Bennet's husband, a reserved and witty man who enjoys books and often dismisses his wife's concerns. He is the father of five daughters. | 7. Father of Catherine and Lydia, owner of Longbourn estate, financially concerned about his daughters' futures due to entailment | 13. A gentleman and father of five daughters, owner of Longbourn estate. He is witty, somewhat detached from family matters, and has a dry sense of humor. | 14. A gentleman and father of five daughters, known for his wit and sarcasm. He is married to Mrs. Bennet and enjoys mocking his cousin Mr. Collins. | 18. Elizabeth's father, who is witty and detached from his wife's social ambitions. | 20. Elizabeth's father, who is calm and detached about the situation. He appears to be amused by his wife's dramatics but ultimately refuses to force Elizabeth into marriage. | 22. Elizabeth's father, who is concerned about Mr. Collins's return and warns him not to risk offending Lady Catherine. | 23. Elizabeth's father, who is more amused than upset by Charlotte's engagement. He has a dry sense of humor and makes sarcastic remarks about his wife and daughter. | 24. Elizabeth and Jane's father, who treats the situation with humor and suggests that Elizabeth should find a suitable match | 39. The father of the Bennet sisters, who is amused by his daughters' behavior but maintains a detached attitude toward their social activities. | 41. The father of the Bennet sisters, sarcastic and detached. He believes Lydia will never be happy without causing a scene and reluctantly agrees to let her go to Brighton. | 42. Elizabeth's father, a man who values books and the country. He married for youth and beauty but later lost respect and affection for his wife due to her weak understanding and illiberal mind. He is detached from domestic happiness and finds comfort in his intellectual pursuits. | 46. Elizabeth's father who is away in London trying to find Lydia. He is described as being deeply affected by the situation. | 47. Elizabeth's father, who has gone to London to search for Lydia and Wickham. He is described as having a tendency toward indolence but is determined to find his daughter. | 48. Father of the Bennet family, a philosopher and wit who is negligent in his correspondence. He has gone to London searching for his runaway daughter Lydia and her companion Wickham. | 49. The father of Jane and Elizabeth, who has received news from his brother regarding the resolution of Lydia's elopement with Wickham | 50. A wealthy landowner and father of five daughters. He is practical, somewhat lazy, and concerned about his family's financial security. He married Mrs. Bennet for love but regrets not saving money earlier. | 51. The father of the Bennet sisters, who is stern and unimpressed by Lydia's elopement. He shows little enthusiasm for his daughter's marriage. | 52. Elizabeth's father, who is mentioned as being present with his wife when Mr. Darcy called to discuss Lydia and Wickham, but leaves town the next morning. | 53. Mrs. Bennet's husband, who is sarcastic about Mr. Wickham and believes the family should not be obligated to visit their neighbors. | 55. The father of the Bennet sisters, who is witty and somewhat detached from his family's social concerns. He enjoys reading and has a dry sense of humor, as shown in his teasing remarks about Jane's happiness. | 57. Elizabeth's father, who reads her a letter from Mr. Collins and makes jokes about the situation involving Mr. Darcy | 59. The father of the Bennet sisters. He is witty, detached from his family's concerns, and initially skeptical about Elizabeth's engagement to Darcy. | 60. Elizabeth's father, who is witty and somewhat detached from family matters. He writes a congratulatory letter to Mr. Collins about Elizabeth's engagement. | 61. Father of five daughters, misses his second daughter (Elizabeth) greatly and delights in visiting Pemberley.
	Mr. Bingley	Fenrir	male	1. A young man of large fortune from the north of England who has rented Netherfield Park. He is unmarried and considered a fine match for the Bennet daughters. | 2. A wealthy gentleman who has recently moved to the area and is the object of interest for Mrs. Bennet's daughters. | 3. A wealthy young man who is good-looking, gentlemanlike, and well-liked. He is lively, unreserved, and dances every dance at the assembly. | 4. A young man who is sensible, good-humoured, lively, and has happy manners. He is well-liked by others and inherits nearly a hundred thousand pounds from his father. | 5. A young man who danced with Jane Bennet twice at the ball and was initially attracted to her, according to Charlotte's account. | 6. A wealthy young man who is immediately attracted to Jane Bennet. He shows great interest in her and is the object of Charlotte's concern about his potential marriage. | 7. Young man from Netherfield, wealthy bachelor, friend of Miss Bingley | 8. A gentleman who shows considerable anxiety for Jane Bennet and attentiveness to Elizabeth. He is described as having a superior solicitude towards Jane. | 9. A wealthy young man who is staying at Netherfield and has developed feelings for Jane. He is kind, polite, and easily influenced by others. | 10. A man who plays piquet with his brother, engages in conversation with Miss Bingley and Mr. Darcy about writing and behavior. | 11. A gentleman who is described as full of joy and attention, particularly toward Jane Bennet. He plans to hold a ball at Netherfield. | 12. A wealthy young man who has taken a liking to Jane. He is the reason for the sisters' visit to Netherfield and is involved in their social plans. | 15. A wealthy gentleman who is interested in Jane Bennet. He rides to Longbourn specifically to inquire after her and is the principal speaker in his conversation with the ladies. | 16. A wealthy gentleman who is described as sweet-tempered, amiable, and charming. Elizabeth finds him good-humored and truly amiable, though she is puzzled by his friendship with Mr. Darcy. | 17. A young man who has a close relationship with Mr. Darcy and is the object of Jane's concern regarding his apparent deception. | 18. A wealthy and amiable young man who is immediately attracted to Jane Bennet. | 21. A wealthy young man who is in love with Jane Bennet and has recently moved to Netherfield, but is now leaving for London. | 24. A young man who was initially attracted to Jane but whose affections appear to have been influenced by his sisters and friend | 25. A wealthy young man who was initially attracted to Jane Bennet but has apparently moved on, causing distress to the Bennet family. | 27. A wealthy young man who is in love with Jane. He has recently left Netherfield and is the subject of Jane's dejection. | 32. A wealthy gentleman who has a relationship with Jane and previously lived at Netherfield. | 33. A gentleman who is in love with Jane and was separated from her by Mr. Darcy's interference. | 35. A wealthy young man who was initially attracted to Elizabeth's elder sister Jane. He was separated from her by Mr. Darcy, who believed the match inappropriate due to social differences. | 36. A wealthy gentleman who is in love with Jane. Elizabeth comes to see him as a virtuous and amiable man after reconsidering her previous judgments. | 43. A wealthy gentleman who is Mr. Darcy's friend and will be introduced to Elizabeth during her stay at Lambton. | 53. A wealthy gentleman who has returned to Netherfield and is the object of Jane's affection, as well as Mrs. Bennet's hopes for a match. | 55. A wealthy, charming young man who becomes romantically interested in Jane Bennet. He is described as easy, cheerful, agreeable, and good-natured, with no presumption or folly that would provoke ridicule. He is the central romantic interest of the chapter and eventually marries Jane Bennet. | 58. A wealthy and amiable young man who is engaged to Jane Bennet. He is described as modest, easily influenced by others, and genuinely in love with Jane. | 61. Married to Jane Bennet, lives at Netherfield initially but moves to a neighboring county.
	Mr. Collins	Omega	male	13. A clergyman and distant cousin of Mr. Bennet, next in line to inherit Longbourn estate. He is formal, deferential to Lady Catherine de Bourgh, and overly polite. | 14. A clergyman and cousin of Mr. Bennet, who is excessively flattering toward Lady Catherine de Bourgh. He is pompous and lacks self-awareness. | 15. A clergyman who inherited his father's estate and seeks to marry into the Bennet family. He is proud, self-conceited, and obsequious toward his patroness Lady Catherine de Bourgh. He is described as lacking sense and education, having been raised by an illiterate father. | 16. A clergyman and cousin of the Bennet sisters, who is eager to please and impress others. He is overly concerned with his own importance and status, often making long speeches about his humble abode and the improvements it is receiving. He has a tendency to be pompous and self-important, particularly when discussing his patroness Lady Catherine de Bourgh. | 17. A clergyman and cousin of the Bennet family who is eager to dance at the ball and makes romantic advances toward Elizabeth. | 18. A pompous and obsequious clergyman who is related to Lady Catherine de Bourgh and seeks to marry one of the Bennet sisters. | 19. A clergyman who makes a formal proposal of marriage to Elizabeth Bennet. He is pompous, earnest, and believes he is acting in accordance with social duty and his patroness Lady Catherine's wishes. He is overly formal, self-important, and convinced that Elizabeth will eventually accept his proposal despite her repeated refusals. | 20. A clergyman who has proposed to Elizabeth Bennet and been rejected. He is proud, self-assured, and believes he has found a suitable wife in Elizabeth despite her refusal. He speaks with dignity but lacks genuine emotion. | 21. A clergyman who has proposed to Elizabeth Bennet and is staying at Longbourn. He displays anger and pride, showing stiffness of manner and resentful silence toward Elizabeth after his proposal was rejected. | 22. Pretentious and obsequious clergyman who proposes to Elizabeth and is accepted by Charlotte. He is described as lacking sense and being disagreeable, but seeks an establishment through marriage. | 23. A clergyman who has just become engaged to Charlotte Lucas. He is described as pompous and overly grateful in his letters. | 24. Charlotte's husband, described by Elizabeth as conceited and pompous | 25. A clergyman who has just married Charlotte Lucas. He is described as amiable and devoted to his new wife, planning for their future happiness together. | 26. A clergyman and distant relative of the Bennets who is set to marry Charlotte Lucas. He is pompous, obsequious, and eager for social approval. | 27. Charlotte's future husband, a pompous and obsequious clergyman who is the heir to Longbourn estate. He is overly respectful of Lady Catherine de Bourgh. | 28. Elizabeth's cousin, recently married to Charlotte. He is formal and self-important, taking pride in his humble abode and showing off its features to visitors. | 29. A clergyman and cousin of the Bennet family, who serves as a patron to Lady Catherine de Bourgh. He is boastful, self-important, and eager to display his connections and status. | 30. Cousin of Elizabeth and Charlotte, husband of Charlotte. Curates the parish at Hunsford. | 32. Mrs. Collins's husband, a clergyman who has married into the family at Hunsford. | 33. Elizabeth's cousin who is married to Mrs. Collins and lives at the Parsonage. | 37. A clergyman and cousin of the Bennet family who is eager to please Lady Catherine. He serves as a social climber and is overly respectful. | 38. Clergyman and heir to Longbourn, visiting Charlotte at Hunsford. Extremely formal in his speech, devoted to Lady Catherine de Bourgh and eager to please. | 39. A clergyman who is considered a suitable match by Mrs. Philips, though Lydia finds the idea unappealing. | 40. Charlotte's husband, who is described as being in a comfortable situation with his family and likely to inherit Longbourn. | 48. A clergyman and distant relative of the Bennet family who writes a letter expressing sympathy for Mr. Bennet's situation while blaming Lydia. | 56. A clergyman who is the cousin of Mr. Darcy and husband to Charlotte Lucas. | 57. A clergyman and cousin of Elizabeth's, who writes to inform her family about Mr. Darcy's potential proposal and Lady Catherine's disapproval | 60. A pompous and obsequious clergyman who is to inherit Longbourn. He writes to Mr. Bennet about his nephew's engagement.
	Mr. Darcy	Eric	male	3. A wealthy, proud man who is handsome and tall but has an unpleasant demeanor. He is initially admired for his appearance but quickly becomes disliked due to his pride and arrogance. | 5. A wealthy young man who is considered proud and disagreeable by Mrs. Bennet, but whose pride is excused by Charlotte as being justified due to his family and fortune. | 6. A proud and wealthy gentleman who initially appears arrogant. He becomes increasingly interested in Elizabeth despite his earlier criticism of her appearance and manners. | 7. Mr. Bingley's companion, initially reserved but shows kindness to Elizabeth | 8. A gentleman who is engaged with Miss Bingley and has a strong opinion about Elizabeth's accomplishments. He defends Elizabeth against criticism from his sister. | 9. A wealthy and proud gentleman who initially appears aloof but shows depth of character. He is intelligent, well-mannered, and has strong opinions about society. | 10. A man who is writing a letter, receives praise for his handwriting and writing style from Miss Bingley, and engages in conversation with her. He is also present at the drawing-room gathering. | 11. A wealthy and proud gentleman who is the object of Miss Bingley's attention. He is studious, reserved, and has a tendency toward pride and resentment. | 12. A wealthy and proud gentleman who is attracted to Elizabeth but deliberately avoids showing his admiration. He is concerned about the potential influence of Elizabeth on his happiness. | 15. A wealthy gentleman who rides with Mr. Bingley to Meryton and is present when the stranger (Mr. Wickham) is introduced. He has a notable reaction to seeing Mr. Wickham, which surprises Elizabeth. | 16. A wealthy man from Derbyshire who is described as proud and disagreeable. Wickham claims that Darcy wronged him by not providing a promised living, though Elizabeth initially finds him disagreeable. He is described as having a strong sense of family pride and being very proud of his father's legacy. | 17. A wealthy gentleman who has allegedly wronged Mr. Wickham and is the subject of suspicion in Jane's mind regarding his treatment of Mr. Bingley. | 18. A proud and wealthy gentleman who initially appears aloof but becomes increasingly intrigued by Elizabeth despite his reservations about her family. | 24. A wealthy gentleman who is the subject of Miss Bingley's letter and whose friendship with Miss Darcy has caused concern for Jane's happiness | 25. A wealthy and proud gentleman who is described as having a significant influence over Mr. Bingley's actions, particularly regarding his relationship with Jane Bennet. | 26. A wealthy and proud young man who has been a source of tension in the story. He is described as interesting, though his pride and wealth make him a problematic match for Elizabeth. | 27. A wealthy and proud gentleman who is connected to Miss Bingley. He has a complex relationship with Elizabeth. | 30. Expected visitor at Rosings, nephew of Lady Catherine. Cousin to Colonel Fitzwilliam. | 31. A wealthy and proud gentleman, nephew of Lady Catherine de Bourgh. He is reserved in social situations but shows affection for his sister Georgiana and has a keen interest in music. He is described as having good taste but being ill-qualified to recommend himself to strangers. | 32. A wealthy and proud gentleman who visits Elizabeth at the Parsonage. He is Mr. Bingley's friend and has a complex relationship with Elizabeth, showing both interest and reserve in their conversations. | 33. Rich and proud gentleman who is Elizabeth's love interest. He has significant influence over his friend Mr. Bingley and interfered in his relationship with Jane. | 34. A wealthy, proud gentleman who proposes to Elizabeth but is rejected. He is eloquent yet prideful and defensive about his actions. | 35. A wealthy, proud gentleman who has proposed to Elizabeth and later written her a lengthy explanatory letter. He is described as haughty but sincere, defending his actions regarding Bingley's relationship with Elizabeth and his treatment of Wickham. | 36. A wealthy gentleman who writes a letter to Elizabeth explaining his actions regarding Wickham and her sister Jane. He is portrayed as proud but ultimately blameless in the events described. | 37. A wealthy and proud gentleman who is initially perceived as arrogant but later revealed to be honorable. He has feelings for Elizabeth. | 40. A wealthy and proud gentleman who has a complex relationship with Elizabeth. He is portrayed as having strong feelings for Elizabeth, which are hurt by her refusal of his proposal. | 41. A wealthy and proud gentleman who has a complicated relationship with Elizabeth. He is concerned about Lydia's behavior and the family's reputation. | 42. The owner of Pemberley, who is connected to Wickham through their shared youth in the area. Elizabeth feels anxious about potentially meeting him while visiting the estate. | 43. The wealthy and initially proud master of Pemberley, who is revealed to be kinder and more generous than Elizabeth previously believed. He shows marked improvement in his manners when encountering Elizabeth unexpectedly. | 44. A wealthy and proud gentleman who has developed feelings for Elizabeth. He is described as having improved his manners significantly, showing civility and desire to please others despite his previous haughty reputation. He is visiting Pemberley with his sister and shows interest in Elizabeth's family. | 45. The wealthy, proud master of Pemberley who is the object of Miss Bingley's affection and Elizabeth's complex feelings. He shows clear interest in Elizabeth but is initially cold toward her. He defends Elizabeth against Miss Bingley's criticisms. | 46. A wealthy gentleman who has feelings for Elizabeth. He is compassionate and concerned about her distress, though he remains largely silent during the crisis. His presence adds emotional complexity to Elizabeth's situation. | 47. A man who has been wronged by Wickham and whose character Elizabeth now understands better. He is described as having behaved with forbearance and liberality towards Wickham. | 50. A wealthy, proud gentleman who initially rejects Elizabeth's proposal but later wins her heart. He is intelligent and well-mannered. | 51. A distant relative who unexpectedly attended Lydia's wedding at St. Clement's, causing Elizabeth great curiosity and confusion. | 52. A wealthy gentleman who intervenes to help resolve the scandal involving Lydia and Wickham. He follows them to London, confronts Wickham about his debts, persuades him to marry Lydia, and pays for the wedding. He is initially perceived as proud but later shown to be generous and principled. | 53. A proud and wealthy gentleman who is Mr. Bingley's friend, and whose arrival causes Elizabeth discomfort due to their past relationship. | 54. A wealthy and proud gentleman who has recently shown interest in Elizabeth. He behaves formally at social gatherings but displays subtle signs of attraction to Jane Bennet. | 56. A wealthy and proud young man who is engaged to Elizabeth Bennet. He is the nephew of Lady Catherine de Bourgh. | 57. A wealthy and proud gentleman who is the object of Lady Catherine's interference, described as having 'splendid property' and 'noble kindred' | 58. A wealthy and proud gentleman who initially appears aloof but is revealed to be deeply honorable. He has a complex relationship with Elizabeth, having been instrumental in helping her sister Lydia and is now engaged to her. He expresses deep remorse for his past behavior and has undergone significant personal transformation. | 60. A proud and reserved man who falls in love with Elizabeth. He is noble, just, and eventually overcomes his initial pride to express his feelings.
	Mr. Denny	Fable	male	15. An officer who is walking with the stranger Mr. Wickham and introduces him to the Bennet sisters. He has recently returned from London. | 18. A friend of Wickham who provides information about his absence from the ball.
	Mr. Gardiner	George	male	9. Mrs. Bennet's brother, who is mentioned as having a gentleman visitor at his town house when Jane was fifteen. | 25. Mrs. Bennet's brother, described as sensible and gentlemanlike, superior to his sister in both nature and education. | 38. Elizabeth's uncle, who hosts her and Maria upon their return from Hunsford. | 42. Elizabeth's uncle, who is traveling with his wife and children. He is practical and willing to take on responsibilities such as planning the tour. | 43. Elizabeth's uncle, a gentleman who accompanies her and Mrs. Gardiner on their visit to Pemberley and shows interest in Mr. Darcy's character. | 44. Elizabeth's uncle, who is fond of society and willing to accept the invitation from Miss Darcy to dine at Pemberley. He leaves early in the morning for fishing. | 46. Elizabeth's uncle who is called upon to help with the crisis. He is practical, caring, and willing to assist in finding Lydia. He promises every assistance possible. | 48. Uncle of the Bennet sisters, who travels to London with his wife to search for Lydia and Wickham. He is practical and supportive of his sister's family. | 49. Elizabeth and Lydia's uncle who has arranged for Wickham to marry Lydia by providing financial support, despite his debts | 50. Elizabeth's uncle, a practical and kind man who helps resolve the Lydia-Wickham situation. | 52. Elizabeth's uncle, who is married to her aunt and plays a key role in the family's financial arrangements. He was present when Mr. Darcy visited to discuss Lydia and Wickham, and he ultimately agreed to help pay for the wedding despite his initial reluctance. | 53. Mrs. Gardiner's husband and Elizabeth's uncle, who is mentioned as having written about Lydia's marriage.
	Mr. Hurst	Lewis	male	3. Mr. Bingley's brother-in-law, who merely looks like a gentleman but lacks the charm and personality of his friend. | 7. Brother of Miss Bingley, Mr. Bingley's companion at Netherfield | 8. The brother of Mrs. Hurst and Mr. Bingley who is described as an indolent man who lives only to eat, drink, and play cards. | 10. A man who plays piquet with his brother and is present in the drawing-room. | 11. Mr. Bingley's brother, who is less engaged in conversation and ends up sleeping on a sofa during the evening. | 21. Caroline Bingley's brother who owns a house in Grosvenor Street where the party plans to dine.
	Mr. Wickham	Daniel	male	15. A young man of gentlemanlike appearance who has recently returned from London with Mr. Denny and accepted a commission in the regiment. He is described as having all the best parts of beauty, fine countenance, good figure, and pleasing address. | 16. An officer in the ----shire regiment who is described as exceptionally handsome and charming. He tells Elizabeth a story about his past relationship with Mr. Darcy, claiming that Darcy wronged him by not providing him with a living he was promised. He is described as having an agreeable manner and being very popular with the ladies. | 17. A young man who has told Elizabeth a story about Mr. Darcy's supposed mistreatment of him, claiming to be the victim of injustice. | 18. A charming but untrustworthy man who has a complicated relationship with Mr. Darcy and is the object of Elizabeth's initial interest. | 21. A charming but deceitful man who has connections with Elizabeth and Mr. Darcy, having previously caused trouble for the Bennet family. | 24. A man who becomes a frequent visitor at Longbourn and whose story about his claims against Mr. Darcy is openly discussed | 25. An officer who is described as having a means of affording pleasure to Mrs. Gardiner through shared acquaintances in Derbyshire, and who has a history with the Darcy family. | 26. A young man who has caught Elizabeth's attention and affection, described as the most agreeable man she ever saw. He is charming but has questionable character and financial concerns. | 27. A charming but dishonest man who has a complicated history with Elizabeth. He is described as amiable and pleasing, though his character is questionable. | 29. A character mentioned in the text as being similar to Lady Catherine, though not present during this visit. He is described as someone Elizabeth remembers from earlier interactions. | 34. A man who has been the subject of Elizabeth's negative opinion due to his supposed misfortunes and Darcy's actions against him. | 35. A charming but dishonest man who has accused Mr. Darcy of wrongdoing. He is described as having a history with the Darcy family and attempting to elope with Mr. Darcy's sister Georgiana for her fortune. | 36. A man who has given false accounts of himself and Mr. Darcy, claiming that Darcy wronged him with regard to a living and that he was the victim of injustice. Elizabeth comes to believe his story is false after reading Darcy's letter. | 43. A young man who has a negative reputation and was previously associated with Mr. Darcy, whose story Elizabeth is familiar with from Kent. | 50. A charming but dishonorable man who elopes with Lydia Bennet. He is described as worthless and lacking in virtue. | 53. Lydia's husband, described as handsome and affectionate in his adieus to his wife. He is the son-in-law that Mrs. Bennet is proud of, and he makes pretty speeches to the family.
	Sir William Lucas	Puck	male	1. A neighbour who, along with Lady Lucas, is determined to visit Mr. Bingley upon his arrival. | 5. A knight who formerly worked in trade in Meryton, now resides at Lucas Lodge with his family. He is described as courteous and attentive to everyone due to his rank. | 6. A local gentleman who hosts social gatherings and is involved in the community's social life. | 9. Charlotte's father, who is described as a pleasant man of fashion. He is well-regarded in society and has good connections. | 18. A local magistrate and father of Charlotte Lucas, who is courteous but somewhat pompous. | 22. Charlotte's father, who approves of the match and believes Mr. Collins should appear at St. James's when he inherits Longbourn. | 23. A local gentleman who serves as a messenger to announce Charlotte Lucas's engagement. He is polite and well-mannered, showing good breeding in difficult situations. | 26. Charlotte's uncle who is mentioned as someone Elizabeth should visit with at Hunsford. | 27. A local gentleman and father of Maria Lucas. He is portrayed as empty-headed and not particularly interesting. | 29. Maria Lucas's father, who is accompanied by his family to Rosings. He is awed by Lady Catherine's grandeur and speaks very little during the visit. | 35. A local gentleman who inadvertently informed Mr. Darcy about Bingley's attentions to Jane Bennet at the Netherfield ball. | 56. A neighbor of the Bennet family, whose park is mentioned as being smaller than Rosings. | 60. A pompous and obsequious man who compliments Mr. Darcy on his marriage, showing excessive admiration.
	Wickham	Alex	male	37. A man who has a negative reputation and whose character is revealed to be deceitful. | 39. A young officer who has been the subject of interest for Lydia and Mary King. He is described as someone whom Lydia believes to be uninterested in Mary King, who has left for Liverpool. | 41. A charming but untrustworthy officer who has a history of deception and resentment toward Mr. Darcy. He attempts to rekindle his attentions toward Elizabeth but is rebuffed. | 42. A character who has left the regiment and is connected to Pemberley through his youth. He is mentioned as someone who passed all his youth in the area. | 44. A man who is not held in high estimation at the local inn. He left behind many debts when he quit Derbyshire, which Mr. Darcy later paid off. | 45. A man who is the subject of Miss Bingley's teasing and Elizabeth's painful memories. He has connections with Elizabeth's family that are significant to the plot. | 46. A charming but dishonorable man who eloped with Lydia. He is described as thoughtless, indiscreet, and potentially untrustworthy. Elizabeth knows his true character but failed to warn her family about him. | 47. The man who eloped with Lydia. Elizabeth knows him to be deceitful, profligate, and lacking in integrity. He is described as charming but untrustworthy. | 48. A young man who eloped with Lydia Bennet, causing scandal. He is described as having debts and being untrustworthy. | 49. A charming but deceitful man who eloped with Lydia Bennet and is now being forced to marry her due to financial arrangements made by Mr. Gardiner | 51. Lydia's husband, described as having pleasing manners and easy address. He is not as deeply in love with Lydia as she is with him. | 52. A charming but dishonest man who elopes with Lydia Bennet. He is portrayed as manipulative and financially irresponsible, though he claims to have been wronged by Darcy. He is eventually forced into marriage with Lydia. | 55. A character mentioned in passing who is contrasted with Mr. Bingley as a less desirable match for Lydia Bennet. | 57. A man who eloped with Lydia Bennet, mentioned in Mr. Collins's letter as a source of scandal | 59. A charming but dishonest man who elopes with Lydia Bennet. He is initially disliked by Elizabeth and Darcy, though he later becomes a more complex figure. | 61. Married to Lydia, described as ingrateful and false.
	Young Lucas	Kumo	*male	5. A young man who is the son of Lady Lucas, and who makes a comment about being rich like Mr. Darcy and keeping foxhounds.
