	narrator	Adam	male	Story narrator
	Alan	Puck	male	10. A brave and fierce fighter who leads the defense of the round-house against attackers. He is described as invincible during battle, wielding a sword that runs blood to the hilt and showing great triumph after victory. He has a strong sense of honor, loves David like a brother, and is capable of both fierce combat and poetic expression. | 13. A pilot who provides navigational guidance during the dangerous passage through the Torran Rocks. He is nervous and frightened about the situation, showing fear of death but also demonstrating knowledge of the area. He is described as very white with fear and makes comments about how he doesn't fancy this kind of death. | 14. The narrator's father, whose silver button is mentioned as being in the narrator's pocket. He is deceased and left the narrator an estate. | 15. A friend of the narrator who arrived on Mull first, dressed in breeches and stockings with a feathered hat. He is described as having a vanity for dress. | 18. A Highland man who is a deserter and suspected of involvement in a murder. He is morally conflicted, willing to sacrifice himself for what he believes is his duty, and has a strong sense of clan loyalty. He is cunning and evasive when questioned about the murder, but appears genuinely remorseful. | 19. A Scottish man who arrives at the farm with a stranger, wearing French clothes. He is confident and assertive, speaks Gaelic and Scots, and has a relationship with James Stewart as a kinsman. He is involved in a political conspiracy involving the death of Colin Roy. | 20. A Scottish man fleeing for his life, skilled in the heather and mountain terrain. He is determined, resourceful, and shows fierce protectiveness toward David Balfour. He displays a mix of anger, fear, and practical leadership during their escape. | 21. A pock-marked, active man of about thirty-five, dressed in a feathered hat, French side-coat with silver buttons, red waistcoat and breeches of black shag. He is resourceful, clever with inventions like the fiery cross signal, and a skilled swordsman who teaches David. He is in hiding from red-coats with a 100 pound reward on his head, and is trying to get money from James for their escape to France. | 22. A companion and leader figure who guides David through the dangerous escape. He is described as a 'gentleman' and shows great physical endurance, running on his hands and knees with incredible speed. He is determined to continue the journey despite David's exhaustion, showing resolve and leadership qualities. Alan appears to be in his twenties or early thirties based on his physical condition and demeanor. | 25. A Stewart clan member, known for his bravery and loyalty to friends. He stays with the narrator despite danger, hiding during the day and visiting at night. Skilled in sword fighting and music, particularly piping. | 29. A Hieland gentleman and partner of Mr. Thomson, known for his cunning and threat-making tactics. He is the primary negotiator with Ebenezer Balfour regarding David's ransom and later reveals himself to be James Thomson, a man of noble birth who has been using his royal name as a means of leverage. | 30. David's friend who is in danger and must flee the county. He plans to meet with David daily at a specific place for communication, then leave by ship after arrangements are made. He is described as someone who will be leaving David behind, and they share a deep friendship.
	Alan Breck	Lewis	male	11. A Scottish man who led a rebellion against officers, showing courage and vanity. He is the main protagonist of this chapter, who has cut a silver button from his coat to give as a keepsake and is negotiating with the captain for his release. He has a strong personality, speaks with authority, and shows both leadership and tactical thinking. | 17. An outlaw and would-be murderer who is the narrator's destination, known for his skill in mountain running and survival | 23. A friend of David Balfour who is described as a gentleman with a 'mettle' character. He has a strong sense of honor and loyalty, as shown by his willingness to defend David against Cluny. He is a gambler who loses money in cards at Cluny's house, which creates tension between him and David. He is described as having a 'Whiggish' outlook. | 24. A Stewart clan member, Alan is a loyal and courageous friend who has helped the narrator through difficult times. He is proud, quick to anger but also capable of deep remorse and kindness. Despite his initial misdeed of taking the narrator's money, he shows genuine care for him during their perilous journey through the Highlands. He is described as having a 'set countenance' and being 'blithe to sponge upon the money he had driven me to beg.' He is also shown to be sensitive about his family's history and political stance, having been on the royal side during the Battle of Preston Pans. | 26. David's companion and protector, a resourceful and cunning man who takes charge of their escape plan. He is described as having 'a great fund of roguishness' and is the one who orchestrates their scheme to obtain a boat. He speaks with authority and has a strong sense of responsibility for David's safety. | 27. David's companion who is referred to as Mr. Thomson in the story due to legal concerns about mentioning his real name, which is known for being connected to the Appin murder and reward offer. He is described as a gentleman with choice qualities but possibly bloody-minded. | 28. David's friend who is involved in the scheme to confront his uncle. He is described as a Highlandman with a strong sense of honor and is willing to help David in his quest for justice.
	Alan Breck Stewart	Eric	male	9. A Highland Jacobite gentleman who has been exiled from Scotland and is fleeing to France. He is agile, well-armed with silver-mounted pistols and a sword, and has a belt full of gold belonging to his chief. He is described as having light eyes with 'dancing madness' and a proud, vain personality. | 12. A Highland clansman and former soldier in the English army who deserted to the Jacobite side. He is a member of the Appin Stewart clan, known for his swordsmanship and fierce loyalty to his chief Ardshiel. He has a deep hatred for the Campbell clan, particularly Colin Campbell of Glenure known as the Red Fox. He is described as skilled in music, poetry, fishing, and fencing. | 16. A prominent figure in the Appin region, described as a bold and desperate man who is James of the Glens' right hand. He has been sent to France but is known for his involvement in Jacobite activities and is wanted by the authorities.
	Captain Hoseason	Echo	male	5. The captain of the trading brig _Covenant_ from Dysart. Described as rough, fierce, unscrupulous, and brutal by Ransome, though he is not a seaman himself. He has drawn a bill upon the narrator's uncle. | 6. A tall, dark ship-captain who is described as cold and self-possessed. He appears to be a complex character, neither entirely good nor bad, who ultimately betrays the narrator by kidnapping him. | 7. The captain of the brig _Covenant_, an older man who is described as cruel and dour. He has a drinking problem, though he claims to be the only one who can't be influenced by alcohol. He is the father of Mrs. Hoseason. | 8. The captain of the brig, a stern and authoritative figure who commands respect from his crew. He is kind to the narrator when assigning him to serve in the round-house, but shows anger and condemnation toward Mr. Shuan after the boy's death. | 9. The captain of the brig who is revealed to be a Protestant loyalist. He shows cunning and political awareness, discussing the possibility of keeping quiet about Stewart's money to gain personal profit. He is calculating and willing to betray his crew for financial gain. | 11. The captain of the ship who has been defeated in battle and is now negotiating with Alan Breck. He is injured (has an arm in a sling), appears stern and pale, and is trying to get Alan released while also protecting his own interests. He is described as bitter and concerned about the damage to his ship. | 27. A man who provided the story of David's drowning, which was used to explain his absence and caused trouble for David's friends.
	Charles II	Liam	male	14. King of England who declared that men could stay outdoors more days in the year in England's climate than anywhere else.
	Cluny	Kumo	male	23. A fugitive Highland chief and outlaw, known as Cluny Macpherson, who lives in a hidden dwelling called 'Cluny's Cage' on Ben Alder. He is described as having the manners of a king despite his outlaw status, with precise habits like an old maid. He exercises patriarchal justice in his clan and is known for his gambling, having lost a large sum of money to Alan Breck in cards. He is proud and has a strong sense of honor, though he can be easily angered. | 27. Referred to as Mr. Jameson, a Highland chief in the story.
	Colin Roy Campbell of Glenure	Psi	male	17. Known as the Red Fox, a prominent figure in Appin who is shot dead by an unknown assassin while traveling with his lawyer and servant
	David	Alex	male	4. The narrator and protagonist of the chapter, a young boy living with his uncle at Shaws. He is observant, curious, and increasingly suspicious of his uncle's behavior. He shows strength and courage when facing danger in the stair tower, and demonstrates growing independence from his uncle's influence. | 8. The narrator of the story, a young man who is assigned to serve in the round-house after Ransome's death. He serves as a messenger for drinks and meals to the officers. | 10. A young man who serves as Alan's companion and defender in the round-house. He is described as having a heavy heart, feeling fear during battle but ultimately firing pistols at attackers and contributing significantly to the defense. He is deeply affected by his actions in battle, experiencing nightmares and crying after victory. | 11. The narrator of the chapter, who is present during Alan's negotiations with Captain Hoseason and Mr. Riach. He is a companion to Alan, who shows loyalty by helping him negotiate with the captain and his men. | 12. The narrator of the story, a young man who is traveling with Alan Breck Stewart. He is described as a Whig and relatively inexperienced, being 'so young' but wiser than his thoughts suggest. He shows respect for Alan's character and is curious about Highland affairs. | 13. The narrator of the story, a crew member aboard the brig who survives the shipwreck by swimming to shore. He is observant and thoughtful, showing concern for others while also experiencing fear and physical exhaustion. | 18. The narrator, a gentleman from Shaws who is involved in the murder of a Campbell. He has a strong moral compass and is horrified by Alan's actions, but eventually comes to terms with the situation. He is determined to flee the country and avoid prosecution. | 21. A tall, strong lad of about eighteen wearing an old blue coat, Highland bonnet, homespun waistcoat and breeches. He is learning to use a sword from Alan but often gets the upper-hand in fishing. He has no beard and speaks like a Lowlander, making him easily recognizable by the authorities. | 24. The narrator of the story, David is a proud and angry man who has been betrayed by his friend Alan. He suffers from physical weakness due to illness, and is described as having a 'sore throat,' 'painful stitch in his side,' and being 'deadly sick.' He is unforgiving by nature, slow to take offense but slower to forget it. His pride and anger lead him to insult Alan repeatedly, even when he is dying. He shows moments of vulnerability and self-reflection, particularly when he realizes his own cruelty. | 29. The nephew of Ebenezer Balfour, a young man who was found half-drowned on the sands and taken in by Alan's friends. He is being held for ransom, with his fate depending on whether Ebenezer chooses to pay or not. | 30. The narrator, a landowner who has come to port and is dealing with the aftermath of a murder case involving James of the Glens. He feels a heavy burden regarding both his friend Alan and the murder case, and is determined to do what he believes is right despite potential danger.
	David Balfour	Santa	male	1. The protagonist of the story, a 17-year-old boy leaving his father's house in Essendean to journey to the House of Shaws. He is described as a steady, canny lad who has lived in a quiet country setting and is eager to explore the world beyond his familiar surroundings. He carries a letter from his deceased father that directs him to the House of Shaws and contains gifts from Mr. Campbell. | 2. The protagonist of the story, a young man traveling to the house of Shaws in search of a position. He is described as modest and determined, willing to face potential danger to prove himself. His father is deceased. | 9. A young boy serving as a cabin boy on the brig, loyal to his friend Alan Stewart and opposed to the treacherous officers. He is brave enough to stand up against his shipmates' plot to kill Stewart and shows resourcefulness in defending them both. | 20. The narrator of the story, a young man who is being helped by Alan to escape. He is inexperienced in such situations and shows fear, but also determination. He's described as being somewhat clumsy at physical tasks like jumping. | 22. The narrator and protagonist of the chapter, a young man trying to escape from pursuing soldiers. He is weary, physically exhausted from crawling and running on his hands and knees through the moor, and suffers from severe pain in his joints, wrists, and throat. He shows moments of despair and hatred toward Alan for forcing him to continue the journey, but also demonstrates determination. He is described as being 'as white as dead folk' and suffers from a 'dreadful lightness' that makes him feel like he's floating. | 23. The narrator and protagonist, a young man who has recently arrived in Scotland. He is the Laird of Shaws and comes from a family with strong Presbyterian/Covenanting values. He is religiously opposed to gambling, which causes tension with Cluny and Alan. He is described as having a strong sense of honor and integrity, particularly in his dealings with Cluny. | 25. The narrator, a young man who has been wounded and is recovering in Balquhidder. He is of uncertain parentage but claims to be related to the Balfour family of Baith. He is intelligent and diplomatic, though embarrassed by his lack of knowledge about his lineage. | 26. The protagonist of the story, a young man fleeing from his pursuers. He is described as having a 'hang-dog, rag-and-tatter, clappermaclaw kind of a look' and is portrayed as being in poor health and weary from his journey. He is the heir to an inheritance but is currently hunted as an outlaw. | 27. The protagonist, a young man from Essendean born in 1733 who has been kidnapped, shipwrecked, and is now seeking to establish his identity and rights to the estate of Shaws. He is described as having poor appearance with muddy rags, and has been wandering and suffering in the streets of Queensferry. | 28. The protagonist of the chapter, a young man who has recently discovered his inheritance and is seeking to reclaim his family estate. He is described as having changed his appearance from a beggarman to someone who looks more like himself. He is determined and strategic, planning a scheme with his lawyer to deal with his uncle.
	Davie	Onyx	*male	3. The narrator and protagonist, a young man who has come to meet his uncle after learning of his father's death. He is proud, independent, and determined not to be a beggar despite his poverty.
	Duncan Dhu	Michael	male	25. The host of the Maclaren household, a pipe player who is friendly and musical. He helps facilitate the reconciliation between Alan and Robin Oig.
	Duncan Mackiegh	Lewis	*male	15. A blind man who claims to be a catechist but is actually an armed highwayman and possible murderer. He carries a pistol and threatens the narrator with violence.
	Ebenezer	Echo	male	4. The uncle's name as mentioned in the text, though he is referred to throughout as 'Uncle Ebenezer'. He is a controlling figure who appears to be mentally unstable and potentially dangerous. | 6. Mr. Balfour, the narrator's uncle, a wealthy landowner who has been harried out of house and home by Alexander Rankeillor. He is described as a 'wicked auld man' and has killed Alexander Rankeillor to gain his inheritance. | 28. David's uncle, described as having changed from a gallant young man to an old and selfish man. He is the current owner of the Shaws estate, which David believes should rightfully belong to him.
	Ebenezer Balfour	Liam	*male	1. The father of David Balfour, who is deceased. He was a country dominie and man of learning who had connections to the House of Shaws. He left David a letter directing him to go to the House of Shaws and gave Mr. Campbell instructions about delivering it after his death. | 2. The laird of Shaws, also known as Mr. Balfour of the Shaws. He is the intended recipient of David's letter of introduction and appears to be a man of considerable wealth and status, though his reputation is questionable according to local gossip. | 27. David's uncle who received him into his house and is mentioned as having given David considerable sums of money. | 29. The uncle of David, a man of principle who initially refuses to pay a ransom for his nephew but eventually agrees to keep him. He is portrayed as a man of modest means who has been deceived by Hoseason and is ultimately forced to pay for his brother's son.
	Henderland	Michael	male	16. A catechist from the Edinburgh Society for Propagating Christian Knowledge who works among Highland communities. He is well-liked by locals and speaks with a broad south-country accent, showing moderation in his political views.
	Hoseason	Nicola	male	13. Captain of the brig _Covenant_, a man deeply concerned about his ship's safety and welfare. He is portrayed as serious, responsible, and emotionally invested in his vessel, which he considers like a wife and child. He shows bravery in his trade but appears stunned by the shipwreck. | 18. A sailor who becomes enraged after the shipwreck and seeks to capture Alan, blaming him for the loss of the brig. He is described as being like a 'fiend' and is determined to take revenge. | 29. A sailor-man who kidnapped David and was paid twenty pounds by Ebenezer Balfour. He is revealed to be a liar who told Alan that David was kidnapped, though Ebenezer denies this.
	James Stewart	Fenrir	male	12. A relative of Ardshiel and Alan's father's friend, who serves as the agent for collecting rents from the clan members to support Ardshiel in exile. He is described as a man who manages the financial affairs of the clan. | 19. A farmer and landowner in his fifties who owns the farm where Alan arrives. He is anxious, fearful of consequences from a recent political incident involving Colin Roy's death, and concerned about his family. He is visibly distressed by the situation. | 27. Referred to as Mr. Thomson's kinsman in the story.
	John Breck Maccoll	Daniel	*male	21. A bouman (tenant farmer) of Appin who lives in Koalisnacoan. He is described as ragged, wild and bearded with smallpox scars, appearing dull and savage. He is a friend of Alan who helps him by delivering messages to James and bringing money, though he initially tries to cheat Alan out of his button.
	Landlord	Nicola	*male	6. A local innkeeper who knows the story of Ebenezer's crime against Alexander Rankeillor and speaks about it with knowledge of the local gossip.
	Mr. Balfour	Onyx	*male	16. The narrator of the story, a young man traveling through Highland Scotland with connections to Alan Breck Stewart and seeking his whereabouts.
	Mr. Campbell	George	*male	1. The minister of Essendean who is deeply attached to David and sees him off on his journey. He is described as a good, Christian man who took pleasure in having David's father visit the manse. He gives David a letter from his late father, along with gifts including money and a recipe for Lilly of the Valley water. He advises David on how to behave in his new environment and expresses deep affection for him. | 2. A figure mentioned as David's employer or patron at Essendean, whom David considers returning to if he could. He is a landowner or gentleman of some standing. | 7. A person to whom the narrator wishes to write a letter, likely a friend or family member who can help him regain his freedom. | 27. A minister who would vouch for David's identity and is mentioned as having been concerned about David's whereabouts.
	Mr. Henderland	Psi	male	17. A local man who arranges for the narrator to cross Linnhe Loch in a boat, showing concern for his flock and willingness to help with travel arrangements | 18. A character mentioned by David as having given him advice about learning from the Highlanders, though his specific role in this chapter is not detailed.
	Mr. Rankeillor	Omega	male	7. A person to whom the narrator wishes to write a letter, likely a friend or family member who can help him regain his freedom. | 26. A wealthy landowner and writer who is the destination of David's journey. He is described as a 'kennt man' and represents safety, wealth, and the fulfillment of David's inheritance claims. | 27. A lawyer in Queensferry who initially appears skeptical but becomes convinced of David's story. He is described as a shrewd, ruddy, kindly man with a well-powdered wig and spectacles. He has been the uncle's man of business and is knowledgeable about legal matters. | 28. A lawyer who serves as David's advisor and confidant. He is knowledgeable about the family history, particularly regarding the inheritance dispute with David's uncle. He is shrewd and practical, offering advice on how to handle the situation diplomatically.
