	narrator	Adam	male	Story narrator
	Boy	Fenrir	male	16. A young male character who is being instructed by the master and responds to his commands
	Cupid	Santa	male	3. A divine figure who guides the narrator through palazzos and tapestries, leading to intimate encounters. He is described as clever, incorruptible, and skilled at providing what the narrator desires. | 7. The god of love who is described as stirring the flame in their lamp and who previously served the triumvirs, depicted with a male gender based on traditional mythology | 11. The mythological god of love who has gifted 'She' with the ability to coax desire from ashes when slumber begins, suggesting he is a figure of romantic inspiration. | 15. A deceptive figure who claims to have the best intentions toward the speaker, offering themes for poems while secretly stealing his time and mental faculties. He is described as a scoundrel who seduces others, including Aurora. | 17. The god of love who turns lifegiving dew into poisonous drool and holds out his hand | 18. Roman god of love, described as residing in the narrator's heart | 22. The god of love who serves as Fame's ancient foe. He is cunning and mischievous, known for using arrows to inspire love and has a particular talent for ensnaring heroes. | 23. God of love who is described as a mischievous scamp, responsible for revealing Midas's secret
	Genius	Kumo	*male	2. A divine figure addressed directly, described as alive within the sanctified walls of Rome
	Hermes	Fable	male	9. God who guides the speaker past Cestius' Tomb to Orkus below | 13. The messenger god, described as looking askance with a roguish yet tender demeanor | 17. The healing god, herald of Zeus who speeds mercifully over the earth
	Jupiter	Omega	male	3. The king of the gods in Roman mythology, referenced as a comparison to the narrator's contentment with Cupid's delights. | 9. The father of gods and man, hospitable deity who welcomes the speaker to his Olympian heights | 13. The king of gods, portrayed with a godly brow | 24. The king of gods who supposedly dishonestly won his throne, according to Priapus. He is mentioned as having a throne made of color and ivory, marble and bronze.
	master	Onyx	male	16. A male figure addressed as 'dear master' who is giving instructions about lighting lamps and closing shutters
	Phoebus	George	male	9. The god who evokes clear forms and colors by day | 13. A name associated with Apollo, depicted taking forward strides
	Quirites	Liam	*male	21. A male audience or addresser, likely a Roman citizen or official | 23. A group of Roman citizens, likely referring to the people who would hear about a secret love affair
	Speaker	Lewis	*male	1. The narrator of the poem who tends a garden and speaks directly to Priapus. He appears to be male based on pronouns used in the text. | 6. A male narrator who describes his personal encounter with Opportunity, mentioning he seized her and she returned his kisses lovingly. | 15. A poet who is being manipulated by Cupid, receiving themes for poems while losing his creative energy. He is in a romantic relationship with an unnamed woman, who is described as sleeping beside him.
	the speaker	Alex	*male	A poet who is being manipulated by Cupid, receiving themes for poems while losing his creative energy. He is in a romantic relationship with an unnamed woman, who is described as sleeping beside him. | A male narrator who describes his personal encounter with Opportunity, mentioning he seized her and she returned his kisses lovingly.
	Cythera	Nezumi	*female	13. A goddess or divine figure who sends glances toward Bacchus, associated with desire
	Fame	Nicole	female	22. A powerful goddess known for her arrogance and overbearing nature. She has an ancient rivalry with Cupid and is obsessed with reputation and public recognition.
	Love	Sara	female	19. The beloved woman who was supposed to meet someone at the vineyard cot but failed to appear
	Minerva	Dora	female	13. The goddess of wisdom, portrayed as phlegmatic and looking down
	my beloved	Sohee	female	8. The speaker's female partner, described as the one who expresses deep emotion and grief over accusations from neighbors. She is a widow with a child, and the poem suggests she has been accused of infidelity.
	*Acolytes	Psi	*male	14. Impatient followers waiting anxiously for light during the sacred ritual
	*Albani	Michael	*male	8. A pimp who used billets doux to seduce the female speaker. He is mentioned alongside other figures in her past romantic entanglements.
	*Alexander	Fable	male	12. A historical figure mentioned as one of the greats who would share renown with the narrator
	*AMOR	Alex	*male	2. God of love, whose temple is described as the only one that will take an initiate in, representing the ultimate destination for the speaker's spiritual journey
	*Anchises	Echo	*male	5. A mortal man who caught the eye of a goddess in an Idean grove, according to mythological lore
	*Ancient	Alex	*male	17. A poet who had a slave fetch girls from the Aventine Hill, from Tarpeia's grove
	*Bacchus	Onyx	male	13. The god of wine and sensuality, depicted as a dreamer | 22. The god of wine and revelry. He is shown laughing at the deception and wanting to see more of the scene.
	*Caesar	Liam	male	12. A historical figure mentioned as one of the greats who would share renown with the narrator
	*Cestius	Daniel	*male	9. A person whose tomb is mentioned as a destination for the speaker
	*child	Alex	*male	8. The speaker's young child, who is present during the emotional scene where she expresses her grief and guilt.
	*Falconier	Echo	*male	8. A man who ogled the female speaker when she was young and vulnerable. He is mentioned as one of the seducers who took advantage of her poverty.
	*Father	Puck	*male	8. The speaker's father, who warned her about men and their deceptive nature. He is described as having said that women are cheated by men.
	*Florus	George	male	18. Person who would easily pull the narrator to the Popina tavern
	*Fredrick	Kumo	male	12. A historical figure mentioned as one of the greats who would share renown with the narrator
	*Goethe	Eric	male	24. The German poet and author who wrote the Elegies, including the two priapeia (I & XXIV). He was returning from Italy and had taken a girlfriend into his cottage, alienating courtly friends.
	*Henry	Omega	male	12. A historical figure mentioned as one of the greats who would share renown with the narrator
	*Hercules	Santa	male	22. The legendary hero who is the object of both Fame's admiration and Cupid's trickery. He is described as a mighty man who conquers Amazons.
	*Hesperian dragon	Eric	male	17. A noble dragon defending beautiful golden apples, portrayed as courageous and forthright
	*Horace	Liam	male	18. Roman poet who is described as a priest of the sun
	*Initiate youths	Nicola	*male	14. Young men who followed the tale of Demeter and Jason, astonished by the mystery
	*Jason	Lewis	male	14. Powerful king of the Cretans who received immortal parts from Demeter, making Crete prosperous
	*Jove	Lewis	male	22. The father of the gods, also known as Zeus. He is mentioned as being the parent of Hercules and is addressed by Fame in her boastful declaration.
	*Julius Caesar	Fenrir	male	18. Historical figure, Roman general and statesman mentioned as a comparison for travel to Britain
