	narrator	Adam	male	Story narrator
	Alec Willard	Alex	male	14. A member of the Lewis and Clark expedition who expresses concern about running out of food, saying he'd rather eat his moccasins than chew old horse meat. | 16. A member of the expedition who works at salt-making. | 20. An expedition member who comments on the likelihood of Injuns being present in areas where elk are found.
	Baptiste	Lewis	*male	20. Lepage's companion who helps identify the date of Captain Clark's message.
	Baptiste Lepage	Onyx	male	8. New interpreter who announces the buffalo hunt to others | 10. Frenchman who joins the expedition and helps with mapping | 19. A member of Captain Clark's party who travels with the expedition to the White-bear Islands camp.
	Big White	Onyx	*male	7. The chief of the lowest Mandan village, also known as Sha-ha-ka. | 8. Mandan chief who is afraid the village will be attacked by Sioux, known for his white hair | 9. A Mandan chief who requests that the white men visit their village and show how to dance. He is a leader in his community. | 21. A chief who agrees to accompany the white chiefs to Washington, despite fears of Sioux attacks.
	Bighorn	Fenrir	male	18. Chief We-ah-koo-nut, called Bighorn for wearing a mountain ram's horn from his left arm. He greets the white men and says they make sore eyes well.
	Black Buffalo	Fable	*male	5. The head chief of the Teton Sioux who receives a medal, flag, and red coat from Captain Lewis during the council.
	Broken-arm	Michael	male	18. Chief who lives with his Nez Percés in a large straw-and-mud house. He offers food to the white men without charge and promises guides for the mountain crossing.
	Captain Clark	Santa	male	4. The other captain of the Lewis and Clark expedition. He is described as wearing a dark blue coat faced with red, also with brass buttons and bright epaulets. He is involved in negotiations with Native American tribes. | 5. The other expedition captain who demonstrates courage during a tense confrontation with the Teton Sioux and is honored by being carried on a buffalo robe. | 6. The other expedition captain who is also authoritative and involved in military decisions. He shows concern for his men's behavior, makes strategic choices, and is directly involved in the punishment of John Newman. | 7. A captain of the expedition who suffers from a stiff neck and requires Captain Lewis to apply a hot stone wrapped in red flannel for relief. | 8. Leader of the expedition, known as 'Red Head' due to his red hair and sword | 9. The other expedition captain who leads hunting parties, makes strategic decisions about the fort's safety and movement, and is involved in major military operations. | 10. Co-leader of the expedition, from Kentucky who works on maps and reports | 11. The other main captain who leads the expedition. He is described as having thick red hair and a shaggy red beard, and he works alongside Captain Lewis in making decisions about the route. | 12. A captain in the expedition, leading portage operations and making strategic decisions. He is described as having a compass and umbrella that he lost during the storm, and leads an expedition to find Indians and horses. | 13. A leader of the expedition who was delayed by rapids and sent Drouillard to find his group. He made decisions about the route ahead and was involved in negotiations with Native Americans. | 14. One of the two main captains of the Lewis and Clark expedition who leads the group through difficult terrain. He is described as lean but ruddy with tired but steady eyes, and he scouts ahead to find better game country. | 15. The other main captain, who explores among the Indians and shoots birds | 16. One of the expedition captains who leads exploration parties, trades with Indians, and organizes activities like salt-making. | 17. One of the expedition captains, described as a white chief who is very familiar with Native American customs and languages. He trades his artillery coat for a canoe, gives his sword to Chief Yellept, and is described as having little left of his official garb. | 18. Captain who serves as official doctor and handles medicines. He treats patients and exchanges services for provisions. | 19. The other main leader of the expedition, commanding a party that travels southward along the east side of the mountains. He is involved in planning routes and coordinating with other expedition groups. | 21. Leader of the expedition, safe and well with all his men, traveling down the Missouri River. He is in command of the group and has successfully completed a trip down the Yellowstone.
	Captain Lewis	Kumo	male	4. One of the two captains leading the Lewis and Clark expedition. He is described as wearing a long dark blue coat with brass buttons and gold epaulets, and makes welcoming speeches to Native American tribes. | 5. One of the expedition's captains who leads councils with the Teton Sioux and shows bravery when confronted by hostile Indians. | 6. One of the expedition captains who is firm and decisive. He shows anger when confronted with the Sioux's actions, demands respect for authority, and is involved in military decisions. | 7. A captain of the expedition who works with Captain Clark to establish winter quarters and deals with British traders. | 8. Second in command, known as 'Long Knife' because he rarely goes without his sword | 9. One of the expedition's captains who leads military operations, makes decisions about celebrations and travel, and shows appreciation for Peter's hunting skills. | 10. Leader of the expedition, stern captain from Virginia who insists on discipline | 11. One of the two main captains leading the expedition. He is described as straight and slim with bright hair tied in a queue, and he has grown a beard. He makes the final decision to follow the south fork as the Missouri river. | 12. A captain in the expedition, leading search parties and making decisions about routes. He is described as having a cocked hat and knapsack, and leads an expedition to find Indians and horses. He is in charge of the Jefferson River route. | 13. A leader of the expedition who was waiting at a location for word from Captain Clark. He made decisions about routes and negotiations with Native Americans. | 14. One of the two main captains of the Lewis and Clark expedition who leads the group through difficult terrain. He makes speeches to encourage his men and is described as having a thin face under his tattered hat. | 15. One of the two main captains leading the expedition, who speaks with the Pierced Noses and later with the Sokulks | 16. One of the expedition captains who leads the winter preparations, makes decisions about camp location and security, and keeps detailed journals. | 17. One of the expedition captains, described as a white chief who is fond of his little dog and values his official garments. He makes decisions about the expedition's route, trades, and interactions with Native Americans. | 18. Captain who leads the expedition and holds councils with Indian chiefs. He trades eye-water for a gray mare. | 19. One of the two main leaders of the expedition, commanding a party that travels eastward toward the Great Falls. He is strategic and decisive, making important decisions about routes and meeting points with other expedition parties. | 20. The main leader of the expedition, wounded in the leg by a rifle ball that he believes was fired by Cruzatte. He is determined to catch up with Captain Clark and leads the group despite his injury. | 21. Co-leader of the expedition, wounded in the thigh by accident from Cruzatte. He is recovering and will soon be able to write records.
	Captain Meriwether Lewis	Michael	male	3. The Long Knife Chief and leader of the Lewis and Clark expedition. He is a thorough young soldier who feels responsible for the success of the mission, and he debates what to do with Peter.
	Captain William Clark	Daniel	male	3. The Red Hair Chief who is second in command of the Lewis and Clark expedition. He is stern but fair, discovers Peter hiding on the boat, and takes charge of him after his discovery.
	Chaboneau	Onyx	male	8. Interpreter for the expedition, who speaks with the Indian and later joins Captain Clark | 10. French trader who speaks Snake tongue and helps guide the party into the mountains | 11. A member of the expedition who is married to Sa-ca-ja-we-a. He expresses worry about his wife's illness and takes care of her during the journey. | 12. A French-Canadian interpreter and guide who is married to Sa-ca-ja-we-a. He is described as being busy with the Bird-woman and getting angry at him for letting her eat too much. | 13. A member of the expedition who was traveling with his wife and son. He purchased a horse for himself and his family to ride on their journey. | 14. A member of the Lewis and Clark expedition who complains about not understanding the local language. He is described as being unable to understand one word of what's said. | 15. Frenchman who is part of the expedition and joins in singing | 16. The captains' cook who lives in a separate room with his wife Sa-ca-ja-we-a and their child Toussaint. | 19. A member of Captain Clark's party who travels with the expedition to the White-bear Islands camp. | 21. A member of Captain Clark's party who declines to go with the captains to St. Louis, preferring to stay in his familiar territory.
	Charles Floyd	Fable	*male	3. A sergeant in the United States Army who dies during the expedition. He was sick from dancing and getting cold, and his death affects the entire camp.
	Chief Black Buffalo	Eric	*male	6. A Sioux chief who initially refuses to go ashore and later becomes involved in the rope incident. He is portrayed as a leader who eventually proves his authority by ordering his young men to release the rope. | 21. A Teton chief who had made trouble two years ago and is avoided by Captain Clark.
	Chief Black Cat	Psi	*male	9. The head chief of the Mandan village who invites the white men to dance and later brings meat to the fort. He is a leader in the community. | 21. A Mandan chief who hosts Captain Clark's party in his village.
	Chief Co-bo-way	Fable	*male	16. The chief of the Clatsop tribe who brings news about a stranded whale and interacts with the expedition. | 17. A Clatsop chief who receives the fort and its furniture. He is described as exceedingly friendly to the expedition.
	Chief Ho-has-til-pilp	Liam	male	18. Red Wolf chief who offers his horses to the white men if they are hungry.
	Chief Lighting Crow	Liam	*male	6. An Arikara chief who speaks with Captain Lewis and expresses the tribe's views on whisky. He is one of three chiefs introduced to the expedition.
	Chief Yellept	Daniel	*male	15. Leader of the Walla Walla Indians who welcomes the white men | 17. A Walla Walla chief who welcomes the expedition back to his village. He is described as hospitable and sincere, and receives a sword from Captain Clark.
	Corporal Warfington	Echo	male	5. A soldier who helps reinforce the red pirogue during the tense confrontation with the Teton Sioux. | 7. A corporal who leads six soldiers from St. Louis in one of the cabin groups. | 9. A corporal who leads a squad in building canoes and is part of the expedition's crew. | 10. Military officer in command of the guard on the barge returning John Newman to St. Louis
