	narrator	Adam	male	Story narrator
	Charles Alexander Eastman (Ohiyesa)	Alex	*male	1. Author of the book, identified as an American Indian who writes from personal experience and ancestral ideals
	Ish-na-e-cha-ge	Fenrir	*male	6. The 'First-Born' who is described as a being in the likeness of man but more than man, serving as teacher and guide to humanity
	Little Boy Man	Omega	*male	6. The first human created by Ish-na-e-cha-ge from a splinter of his toe, who learns to live among animals and eventually battles them
	Red Jacket	Eric	male	1. Great Seneca orator who replied to Missionary Cram over a century ago, quoted in the foreword
	The Author	Santa	*male	2. The narrator who reflects on indigenous spirituality and contrasts it with Christian civilization, having 35 years of experience.
	The First-Born	Onyx	*male	6. Another name for Ish-na-e-cha-ge, the mysterious teacher who guides Little Boy Man through his development and battles
	The Great-Grandfather Sun	Michael	*male	2. A symbolic representation of the sun as a divine figure in indigenous cosmology, associated with spiritual warmth and illumination.
	The Indian	Fable	male	6. A Sioux elder who responds to the missionary's teachings with a traditional story about maize, showing offense at being dismissed as fable
	The Missionary	Kumo	male	2. A religious figure sent to convert indigenous peoples, whose methods and beliefs were initially repulsive to the Indian. | 6. A Christian religious figure who attempts to teach Native Americans about creation and the fall of man, showing disgust at indigenous traditions
	The Savage Philosopher	Liam	*male	2. A philosophical figure representing the indigenous worldview and spiritual practices of the American Indian, embodying the concept of solitary worship and communion with nature.
	The Sun	Lewis	*male	4. Personified as a father figure in Plains Indian religion, the Sun is invoked for protection and life. A Sioux warrior would pray to his father, the Sun, when facing imminent danger.
	The Younger Brother	George	*male	4. A figure in Sioux creation myth who was slain by monsters of the deep and later brought back to life through the vapor-bath ritual performed by his elder brother.
	Unk-to-mee	Puck	*male	6. The Spider, described as the original trouble-maker who plots against Little Boy Man and is characterized as tricky, treacherous, and clever
	Wabashaw	Echo	male	5. An old chief who taught the importance of guarding one's tongue in youth for future wisdom and service to the people
	mother	Aoede	female	3. A pregnant woman who is deeply spiritual and believes her attitude during pregnancy influences the unborn child's relationship with nature and the 'Great Mystery'. She seeks solitude in nature during pregnancy and childbirth, and continues to teach her child through silent examples and whispered songs.
	woman	Sarah	female	3. A female individual who is central to the family structure, holding property and moral standards. She is considered a tower of moral and spiritual strength.
	sioux leader	Daniel		
	*bear	Eric	*male	3. A symbolic animal name that may be given to a man of forcible character, representing strength and power. | 6. A tribe whose maidens are among the first to court Little Boy Man in his search for a wife
	*Blue Sky	Santa	*male	3. A peaceful nature name that may be given to a man, representing tranquility and openness.
	*border white man	Lewis	*male	3. A male outsider who brings civilization and its negative effects to Indian society, particularly through alcohol that undermines traditional moral standards.
	*Brave Bear	Nicola	male	5. Father of Pretty Weasel-woman, a tribal leader whose daughter participated in the Feast of Virgins
	*buffalo	Alex	*male	3. A symbolic animal name that may be given to a man of forcible character, representing strength and power.
	*child	Santa	*male	3. An unborn child whose spiritual development is believed to be influenced by the mother's attitude and meditations during pregnancy. The child learns about nature through his mother's teachings, developing reverence for the natural world and a sense of brotherhood with all living creatures.
	*Crow Dog	Daniel	male	5. An Indian man who killed the Sioux chief Spotted Tail in retribution for a perceived betrayal, later acquitted after a controversial trial
	*father	Onyx	*male	3. A male parent who takes over the training of his son around age eight, providing more 'Spartan' discipline. He is part of the family structure that includes one or more wives and their children.
