	narrator	Adam	male	Story narrator
	Another Indian	Daniel	*male	20. An Indian warrior who secures the buffalo by its horns and intends to kill it with an axe
	Awl	Psi	*male	63. War chief who participates in the attack on the enemy village. Sent to infiltrate the lodge and kills one person.
	Beaver	Santa	male	4. An animal sent by the people to dive into water and create land, but drowns in the attempt. | 62. Ictinike's grandfather who lives in a lodge with his wife and four children. He is wise, cautious, and teaches Ictinike about the consequences of breaking bones.
	Big Turtle	Alex	male	3. A significant turtle character in Omaha mythology, featured in 'How Big Turtle Went on the War Path'. | 61. A male turtle who sits by a stream and is deceived and killed by Ictinike. He was unaware of the water shortage. | 63. War chief who leads the attack on the enemy village. Organizes the war party, cooks for the warpath, and personally confronts the enemy. Known for his cunning tactics and ability to survive dangerous situations.
	Big Wolf	Lewis	*male	63. Animal companion who joins Big Turtle's war party. Demonstrates hunting skills by killing a deer but disappoints Big Turtle.
	Black Bear	Michael	*male	63. Animal companion who joins Big Turtle's war party. Demonstrates strength by attacking a tree but disappoints Big Turtle.
	boy	Liam	*male	22. A young male person who hears the Ski-bi-bi-la bird's call and runs to his mother for guidance
	Buffalo Being	Psi	*male	17. A powerful supernatural creature who attacks and kills Indians, later defeated by arrows and transformed into a mystical being with the power to resurrect the dead
	Buffalo Bladder	Liam	*male	63. Warrior who joins Big Turtle's war party. Dies during the journey when he is torn open.
	Buffalo Bull	Eric	male	19. Main protagonist who is initially weakened and submissive but eventually fights back courageously. He stands up to Grizzly Bear despite being physically overpowered initially. | 63. Animal companion who joins Big Turtle's war party. Demonstrates strength by attacking a tree but disappoints Big Turtle.
	Buzzard	Fenrir	*male	5. Great Buzzard, the father of all buzzards who flies over the earth to make valleys and mountains
	chiefs	Psi	*male	12. Male tribal leaders who hold councils, make decisions about the sacred tree, and work on creating it into a human-like figure. They are the authority figures of the Omaha tribe. | 34. Male tribal leaders who gather with the people to examine the strange plant and make decisions about its significance for their community.
	child	Santa	*male	44. A young boy who fell into the water and was taken by the wakanda; he survives being brought back but dies after eating the wakanda's food | 63. Young person who asks for water during the confrontation with Big Turtle.
	Comb	Daniel	*male	63. War chief who participates in the attack on the enemy village. Sent to infiltrate the lodge and kills one person.
	Companion	Fable	*male	20. An Indian warrior who works alongside the buffalo captor and is informed of the success
	Corn Crusher	Puck	*male	63. War chief who participates in the attack on the enemy village. Sent to infiltrate the lodge and kills one person.
	Coyote	Kumo	male	3. A trickster figure in Native American folklore, often depicted as clever but mischievous. Featured in 'Coyote and Snake' and 'Coyote and Gray Fox'. | 50. A trickster figure who is walking across the prairie seeking something. He is arrogant and believes he cannot be killed, but is ultimately bitten by Snake and falls into a deep sleep. | 60. A trickster character who is persuaded by Gray fox to lie down in a trail and pretend to be dead, only to be captured and tied up by a white man. He later seeks revenge against Gray fox. | 61. A male trickster character who cautiously approaches the area after Ictinike sleeps, steals meat from Big Turtle's bones, and restores everything to its original state.
