	narrator	Adam	male	Story narrator
	Abraham Van Helsing	Lewis	male	14. A Dutch doctor and expert in the supernatural who comes to help Mina and Jonathan. He is wise, experienced, and possesses deep knowledge about monsters and the occult. | 27. A Dutch doctor and expert on supernatural phenomena who leads the fight against Dracula. He is determined, knowledgeable, and resolute in his mission to protect others from the vampire threat.
	Arthur	Nicola	male	11. Lucy's fiancé, mentioned as being important to her and to whom she writes a farewell note. He is described as dear to Lucy. | 16. Lucy's fiancé who is deeply affected by her transformation into a vampire. He shows great courage when he performs the final act of destroying Lucy's undead form. | 21. Lord Godalming, a friend of Jonathan Harker who arrives at the scene and is involved in discussions about the vampire threat.
	Arthur Holmwood	Echo	male	5. Lucy's fiancé who is described as tall, handsome, and curly-haired. He visits Lucy regularly and has a close relationship with her mother. | 6. The Hon. Arthur Holmwood, only son of Lord Godalming and Lucy's fiancé who is coming to visit Whitby. | 8. Lucy's fiancé, described as a gentleman who is deeply in love with Lucy. He is concerned about her health and well-being. | 9. A young man who is engaged to Lucy Westenra and later becomes her husband. He is described as devoted to Lucy, concerned about her health, and protective of her wellbeing. | 10. Lucy Westenra's fiancé, a young and strong man who is deeply devoted to Lucy. He volunteers to give blood for her transfusion, showing his willingness to sacrifice for her wellbeing. | 12. Lucy's fiancé who arrives at Hillingham to see her and later becomes a key figure in the supernatural investigation. | 13. Lucy's fiancé who is deeply affected by her death. He is described as a devoted and loving man, and later becomes the owner of Lucy's estate. | 14. Lucy's fiancé and later husband, who is deeply affected by Lucy's death. He is described as noble and strong-willed, with a bubbling well of good spirits. | 15. Lord Godalming, Lucy's fiancé who is devastated by her death and transformation. He initially rejects Van Helsing's claims but eventually agrees to help investigate after being convinced of the supernatural truth. He is deeply protective of Lucy's memory. | 23. Lord Godalming, a wealthy young man who is deeply in love with Mina. He is brave and resourceful, taking charge of the group's actions during their hunt.
	Captain Donelson	Fenrir	*male	26. The captain of the ship _Czarina Catherine_ who transported Count Dracula from London to Galatz. He is superstitious but practical, and was initially suspicious of the box containing Dracula.
	Corcoran	Omega	*male	20. The owner of the lodging house where Sam Bloxam was staying. He is described as a surly man who doesn't know the deputy he's looking for.
	Count Dracula	Liam	male	1. The mysterious nobleman who owns the castle in Transylvania and is the main antagonist of the story. He sends a letter to Jonathan Harker inviting him to his castle. | 2. The vampire lord who owns the castle and is hosting Jonathan Harker. He is described as having a strong, aquiline face with sharp features, pale skin, pointed ears, and long fingernails. He speaks English with a strange intonation but shows great strength and has an interest in learning English culture. | 3. The main antagonist, a vampire who has imprisoned Jonathan Harker in his castle. He is charismatic yet terrifying, with supernatural powers including the ability to control wolves and manipulate others through fear. He speaks with great authority about his noble heritage and has a complex relationship with Jonathan. | 4. The main antagonist, a vampire who has taken over the castle and is using Jonathan Harker as a pawn in his plans. He is described as having pale, bloated features with red lips and eyes that burn like fire. He moves through the castle at night, has supernatural abilities, and is planning to transfer Harker to London. He shows great cunning and menace. | 19. The main antagonist, a vampire with supernatural powers who is the source of all the horror and danger in the story. | 24. The main antagonist, a vampire who has moved from Transylvania to England and is now attempting to return to his homeland. He is cunning, powerful, and dangerous. | 25. The vampire antagonist who has been terrorizing the group. He is cunning, powerful, and seeks to escape from their pursuit. | 26. The main antagonist, a vampire who has been transformed into a creature of the night. He is cunning, powerful, and seeks to return to his castle in Transylvania. | 27. The main antagonist of the story, a vampire who has been terrorizing people for centuries. He is described as having pale skin and red eyes, with a vindictive nature.
	Dr. John Seward	Psi	male	5. A doctor who works at a lunatic asylum and proposes to Lucy. He is described as having a strong jaw, good forehead, and being resolute yet calm. | 14. A physician and friend of Van Helsing who works at the asylum where Renfield is kept. He keeps a diary documenting his experiences with the supernatural. | 19. A physician and close friend of Jonathan, who keeps a diary documenting the events. He is involved in treating Renfield and investigating the supernatural occurrences. | 27. A physician and close friend of Van Helsing who works alongside him in the fight against Dracula. He is intelligent and dedicated to his work.
	Dr. Seward	Omega	male	6. A doctor who is observing and documenting the case of patient Renfield, noting his peculiar behavior and zoöphagous tendencies. | 8. A physician who keeps a diary and is involved in treating patients at an asylum, including Renfield. | 9. A physician who is a close friend of Arthur Holmwood and the doctor treating Lucy Westenra. He keeps detailed diary entries about his patients, particularly Renfield and Lucy. | 10. A physician who is deeply involved in Lucy's care and treatment. He is methodical, observant, and committed to his patients. He serves as a key figure in the medical care of Lucy Westenra and is closely associated with Professor Van Helsing. | 11. A doctor who is treating Lucy and keeping detailed diaries of the events. He is observant, professional, and becomes increasingly distressed by what he witnesses. | 12. A physician who keeps a diary and is deeply involved in Lucy's medical care and the supernatural events surrounding her death. He is a key figure in the investigation of Lucy's condition. | 13. A physician and diary keeper who is deeply involved in the supernatural events surrounding Lucy Westenra's death. He is a close friend of Van Helsing and Arthur Holmwood, and serves as the primary narrator of much of the story. | 15. A physician and diary keeper who is initially skeptical of Van Helsing's theories about vampirism. He is loyal to his friend Arthur and becomes convinced of the supernatural events after witnessing Lucy's empty coffin and later her transformation. He is torn between his scientific mind and the reality of what he experiences. | 16. A doctor and diary keeper who is present during the events in the churchyard. He is observant, caring, and part of the group investigating Lucy's mysterious death. | 17. A physician who keeps a phonograph diary and works at a lunatic asylum. He is compassionate, dedicated to his patients, and becomes involved in investigating supernatural events related to Lucy's death. He is described as having a noble nature and being deeply affected by the tragic events. | 18. A physician and diary keeper who is the central figure in this chapter. He runs the asylum where Mr. Renfield is a patient, and serves as the leader of the group investigating Dracula. He is methodical, observant, and committed to his patients. | 20. A physician who is treating Renfield and keeping a diary of events. He is involved in the investigation alongside Jonathan Harker and others, and has been observing Renfield's strange behavior. | 21. A physician and diarist who is deeply involved in the events surrounding Renfield's injury and the vampire threat. He is methodical, observant, and committed to helping others. | 22. A doctor who works with Van Helsing and Jonathan. He is practical and concerned about legal procedures and medical matters. | 23. A physician and member of the group investigating the vampire threat. He is practical, observant, and dedicated to helping others. He keeps a diary of the events. | 24. A physician and friend of the group who has been involved in treating Mina's condition. He is observant, professional, and committed to the cause. | 25. A physician and diarist who keeps a detailed record of events. He is deeply concerned about Mrs. Harker's condition and works alongside Van Helsing to confront the supernatural threat. | 26. A physician and member of the group investigating Count Dracula. He is practical, observant, and dedicated to stopping the vampire. He accompanies Mina on their journey to Dracula's castle.
	Dr. Van Helsing	Fenrir	male	11. A Dutch doctor who is treating Lucy and investigating the supernatural events. He is knowledgeable, determined, and appears to be a key figure in combating the vampire threat. | 19. A Dutch physician and expert on the supernatural who leads the investigation against Count Dracula. He is wise, experienced, and serves as a mentor figure. | 22. An elderly Dutch doctor who is the intellectual leader of their group. He is wise, determined, and has extensive knowledge about supernatural matters. | 26. An elderly Dutch physician and expert on supernatural phenomena who leads the investigation against Count Dracula. He is wise, experienced, and determined to stop the vampire.
	Dr. Vincent	Liam	*male	15. A physician at the North Hospital who treats a child with mysterious bite wounds similar to Lucy's. He attributes the bites to animals like bats or rats, showing a more scientific approach than Van Helsing.
	First Mate	Kumo	*male	7. The first mate of the Russian ship Demeter who becomes increasingly frustrated with his crew's superstitious fears and eventually loses his mind.
	Jack Smollet	Echo	male	12. A carrier who encounters Renfield and is threatened by him. He works for Harris & Sons Moving and Shipment Company.
