	narrator	Adam	male	Story narrator
	Bailie	Psi	*male	15. A council member who is described as having gout and being unable to go on the voyage. There are multiple bailies mentioned.
	Basil Mertoun	Omega	male	22. Also known as Basil Vaughan, he is the father of Mordaunt and claims to be a peaceful citizen. He is mistaken for Cleveland by the authorities.
	Boatswain	Daniel	*male	15. A crew member who is described as 'drunken' and is part of the council that takes command while Cleveland is away.
	Bryce Snailsfoot	Puck	*male	3. A character who has disposed of his goods quickly and is involved in the shipping arrangements for Cleveland's journey to Kirkwall. | 4. Someone who provides information about the value of a gold chain that Mordaunt wears. Mentioned in relation to Norna's wealth and possessions. | 12. A pedlar who sells goods at the fair. He is described as a 'wily' and 'impudent scoundrel' who has stolen Captain Cleveland's clothes. He is also characterized as a 'rascal,' 'thief,' and 'vagrant' by Cleveland, and is known for his slyness and evasive behavior. | 21. A trader who is the subject of judicial proceedings in Kirkwall.
	Bunce	Santa	male	11. A young pirate companion of Cleveland, known by the alias 'Altamont.' He is flamboyant and theatrical, advocating for continuing piracy while trying to convince Cleveland to stay with them. | 12. Cleveland's friend and companion, a fellow pirate. He is described as a 'squire-errant' who enjoys the antics of others, particularly Cleveland's anger. He is portrayed as more amused than concerned by the conflict and helps his friend escape. | 18. A crew member of the sloop who is described as civilized and serves as a messenger for Cleveland. He has a strong personality, showing enthusiasm when he sees Cleveland again and speaks with blunt honesty. | 19. A pirate captain and Cleveland's subordinate who is loyal but also manipulative. He tries to convince Cleveland to stay with the crew and pursue Minna. | 20. A pirate who is Cleveland's confidant and adherent. He is described as a buffoon who tries to make amends after betraying Cleveland, and later dies in the conflict. | 21. A pirate who is captured and brought to Kirkwall as a prisoner. He is one of the main characters in the story.
	Captain Cleveland	Liam	male	1. A sea captain who is skeptical of the supernatural claims. He is described as having been on the Spanish main often and being familiar with Spanish naval tactics. | 2. A pirate and adventurer who claims to be of English descent but has a mysterious past. He is passionate about Minna Troil and claims to be the leader of a band of buccaniers, though he has been marooned on an island and adopted a cruel persona to command his followers. | 16. A rover and Minna's lover, mentioned by name in the story. He is described as a notable figure among pirates and is known to have been involved with the situation that led to the capture of Magnus Troil's ship. | 17. A pirate captain who is imprisoned in Kirkwall. He is described as having some honor despite his criminal nature, and is the object of Minna's rescue mission.
	Captain Weatherport	Nicola	male	20. The officer from the Halcyon who demands the prisoners. He is authoritative and follows orders strictly. | 22. A naval officer who arrives in Kirkwall with the Halcyon frigate to confront pirates. He is knowledgeable about the pirate situation and has received intelligence that helped guide his actions.
	Carpenter	Santa	*male	14. A crew member who intervenes during disputes between the captains. He is described as a skilled craftsman who can make prosthetic limbs and has a reputation for being 'clever' with his tools.
	Claud Halcro	Kumo	male	1. An old man who serves as the interpreter for the oracle's questions. He is described as a lighthearted figure who initially resists his role but eventually accepts it. He is known for his extemporaneous poetic abilities. | 2. A poet and storyteller who is described as 'giddy-brained' but has a strong imagination. He translates Norse songs and tells tales of the supernatural, including stories about haunted islands. | 3. An old minstrel who entertains guests with songs and poetry. He is superstitious and becomes alarmed when he encounters Minna wandering at night. | 10. An ancient messmate of Magnus, a minstrel who plays the fiddle and is known for his mercurial nature. He is described as a 'blithe minstrelsy of the spirited little old man' and has a boy named Giles who acts as his page. | 12. A poet laureate of the island, described as 'venturous' and a 'rambling rhymes' writer. He is mentioned as taking boat, which he steers poorly according to the narrator. | 16. A poet and minstrel who accompanies the Troil family on their journey. He is a skilled performer, known for his ability to recite dramatic works and make punch. He becomes involved in the pirate situation through his friendship with Magnus. | 17. A local man who has been captured by pirates and is now free. He knows the political situation in Kirkwall well, speaks of Captain Cleveland's reputation, and helps negotiate with authorities. | 18. A friend of Magnus Troil who is expected to meet him in Kirkwall. He is described as having a visage that brings back old memories for Bunce. | 22. A character who is mentioned as a minstrel and plays music for the family.
	Cleveland	Michael	male	3. A bold and fiery character who plays the guitar and sings songs. He is in a relationship with Minna, but his temper leads him into conflict with Mertoun. He is planning to travel to Kirkwall in a brig. | 6. A man whose actions have caused great suffering to Brenda and indirectly to Minna. He is involved in a situation that has led to the revelation of family secrets. | 11. A pirate captain who has grown melancholy and pale, having lost his ship and become disillusioned with piracy. He is determined to turn honest but struggles with guilt over killing a young man in a brawl. | 12. Captain and pirate, known for his fierce temper and violent reactions. He is the protagonist of this chapter who becomes involved in a conflict with Bryce Snailsfoot over stolen clothing. He is described as having a proud heart and original nobleness despite his perversion, and he fights fiercely when cornered. | 13. A stranger who has developed feelings for Brenda, though Norna claims he dares not pursue her further. He is described as someone who would be a suitable match for Brenda. | 14. A buccaneer captain who returns to his pirate vessel after a confrontation in Kirkwall. He is described as having natural grace of motion and generosity of expression, contrasting with the ferocious countenance of his rival Goffe. He is skilled in seamanship and negotiation, and takes command temporarily after a crew vote. | 15. Captain of a ship, a military leader who has been summoned to Kirkwall for council. He is pragmatic and diplomatic, trying to maintain peace while dealing with pirates and local politics. | 18. An outlaw and pirate captain who has been saved by Norna. He is bold, haughty, and undaunted with a wild sense of pride he calls honor. He is determined to see Minna Troil before leaving the islands and refuses Norna's demands. | 19. A pirate captain who is torn between his guilt and desire for redemption. He considers leaving his crew to see Minna one last time, showing internal conflict and remorse. | 20. A pirate captain who is in love with Minna and has been involved in criminal activities. He is described as wild, unhappy, and desperate. | 21. A pirate who is captured and brought to Kirkwall as a prisoner. He is revealed to be the son of Mertoun and Norna, though he was believed dead. He is also known as Clement. | 22. Also known as Clement Vaughan, he is a pirate who was captured and later pardoned. He is the son of Basil Mertoun.
	Councillor	Fable	*male	15. A member of the council who is described as being engaged in particular business and not available for the voyage.
	Derrick	Daniel	male	14. The quarter-master of the pirate vessel, who is an officer of considerable importance among the rovers. He supports Cleveland's temporary command and has a rivalry with Jack Bunce, calling him a 'Jack-a-dandy scarecrow.' | 19. A quarter-master on the pirate ship who is skeptical of Cleveland's romantic pursuits and wants to prevent him from going ashore. | 20. A pirate who captures Minna during the confrontation with Cleveland. He is described as a rough character who acts quickly in the conflict.
	Fletcher	Eric	male	11. A pirate companion of Cleveland and Bunce, mentioned as being in the crew with them. He is described as a quarter-master. | 15. A confederate of Jack Bunce who is mentioned as being involved in discussions with him about the crew's situation. | 16. A pirate companion of Jack Bunce, described as a more brutish and less refined member of the crew. He is portrayed as more violent than Bunce, particularly in his treatment of women. | 17. A pirate leader who escorts the sisters of Burgh-Westra. He is intimidated by Minna Troil's commanding manner and obeys her instructions to communicate with Captain Cleveland. | 19. A boatswain who is loyal to Bunce and supports his plan to help Cleveland meet Minna. | 20. A pirate who is described as a follower of Bunce and later dies during the conflict. He appears to be less significant than Bunce but still part of the pirate crew.
	Frederick Altamont	Nicola	*male	15. Cleveland's friend and adherent who is described as being intelligent and devoted, trusted by Cleveland to handle matters in his absence. | 22. A former pirate who was captured and is referred to as the 'ci-devant Roscius' (a former actor). He claims to be John Bunce.
	Goffe	Omega	male	11. A pirate captain who has been keeping watch for Cleveland and is in conflict with him. He's described as a drunkard who swaggers, shoots, and cuts among his crew. | 14. The current pirate captain who is temporarily deposed in favor of Cleveland. He is described as between forty and fifty years old, strongly built with a bull-neck and beetle-browed face. He is sullen, discontented, and prone to drinking which affects his judgment during council meetings. | 15. A pirate captain who leads the crew and is described as having a truculent, menacing appearance. He appears to be in control of the situation and has sinister intentions towards Triptolemus. | 18. A character who is described as incapacitated and unable to lead properly. He is mentioned as being drunk and not paying attention to his duties, causing problems for the crew. | 19. A figure mentioned as being unsuitable to command the ship due to his drinking habits. | 21. A pirate who is captured and brought to Kirkwall as a prisoner. He is one of the main characters in the story. | 22. A pirate who is captured and faces punishment along with other pirates.
	Haagen	Echo	*male	15. An elderly man who was a follower of Montrose and has experience with conflict. He is described as 'old' and speaks about past battles.
	Halcro	Psi	*male	19. A poet and acquaintance of Bunce who is involved in the conflict with Cleveland. He seems to be protective of his daughters.
	Hawkins	Nicola	male	2. A character who arrives with a vessel and crew, causing concern for Cleveland's prospects. He is part of the group that threatens to ruin Cleveland's hopes with Magnus Troil. | 11. A pirate companion of Cleveland who bears him ill-will for keeping them from sinking a Spanish brig. He is mentioned as being in conflict with Cleveland. | 14. The boatswain of the pirate vessel, who acts as a mediator during conflicts between captains. He is described as having experience in naval matters and advocating for practical solutions, such as temporarily sharing command between the two captains. | 19. The boatswain of the pirate ship who is skeptical about Bunce's romantic scheme and prefers more traditional piracy.
	Jack Bunce	Echo	male	14. A young pirate leader and principal agitator who supports Cleveland's temporary command. He is described as a leader among the younger crew members and advocates for Cleveland's leadership, calling him 'spirited and as gentleman-like a man as ever daffed the world aside.' | 15. Also known as Frederick Altamont, a trusted confederate of Cleveland who is described as loyal and capable of influencing the crew. | 16. The leader of the pirates who captures the brig. He is described as a charismatic but dangerous outlaw with a theatrical flair for speaking and acting, though he can be cruel when necessary. | 22. A pirate who was captured and is referred to as 'John Bounce' or 'Jack Bunce'. He claims his identity as a pirate and later accepts the name John Bunce.
	Jagger	Eric	*male	19. A character who spreads reports about Mordaunt to influence the Udaller's opinion.
	Laurence Scholey	George	male	9. A domestic servant of Magnus Troil who is alert and ready-witted. He observes the deserted fisherman's hut on the beach and suggests they use it for shelter during the night. He is described as intelligent and observant. | 10. A loyal retainer who keeps close behind his master Magnus. He is described as 'trusty' and assists in the party's activities, including bringing up supplies.
