	narrator	Adam	male	Story narrator
	Blackcat	Onyx	*male	18. A chief of the Mandan village who welcomes the party and is described as being pleased to see them again.
	Borgne	Santa	*male	18. The great chief of all the Minnetarees who expresses desire to visit the United States but fears the Sioux. He is described as having a council with Captain Clarke and making speeches about peace.
	Captain Clarke	Liam	male	1. A white male explorer who leads a journey down the Columbia River with his party. He is described as having a bold and dignified countenance, about five feet eight inches tall, and thirty-five years old. He is involved in various activities including ascending the river, examining rapids, and interacting with Native American tribes. He is also known for his use of a burning glass to demonstrate that he is not supernatural, and for shooting birds which causes alarm among the Indians. | 3. An American explorer who leads an excursion down the bay and marks his name on a pine tree | 4. A military officer who goes with a party to find a place suitable for salt manufacture and is hospitably entertained by the Clatsops | 5. Leader of the party that goes in quest of a whale, described as a captain who makes decisions and leads expeditions | 9. A leader of the expedition, who visits the Multnomahs and other tribes to gather information about the region. He is involved in trade negotiations with various Indian nations. | 10. A male captain who procures horses for transportation and leads the expedition. He is involved in negotiations with various tribes to obtain horses and supplies. | 11. A party member who turns physician and performs medical experiments with success upon the natives. He is involved in treating various ailments including sore eyes, abscesses and rheumatism. | 13. A captain who left a horse at Hungry creek during their previous passage in September. | 14. Commander who accompanies the rest of the men to the head of Jefferson river, then proceeds to Yellowstone river. He builds canoes and goes down that river with seven of his party, waiting at its mouth for the rest of the party. | 15. Leader of a separate detachment that meets Captain Lewis's party. He is described as waiting for the expedition at Yellowstone River. | 16. Leader of the expedition party, commander of the group that proceeds along Clarke's river. He divides his party and makes key strategic decisions about routes and camp locations. | 17. Leader of the expedition, proceeds down the river with his party. Described as examining rocks and leading the journey through difficult terrain. | 18. A military officer who leads the main party and holds councils with various Indian tribes. He is described as making speeches, offering presents, and attempting to persuade chiefs to accompany the party to the United States. | 19. Leader of the expedition, captain who leads parties and makes decisions during encounters with Indians.
	Captain Lewis	Lewis	male	3. An American explorer who explores the coast and returns to meet the party at their camp | 4. A military officer who reports finding a suitable place for winter quarters and returns to camp after exploring the coast | 9. A key expedition leader who leads parties, makes decisions about safety and navigation, and is involved in trade negotiations with tribes. | 10. A male captain who leads the expedition and makes speeches to confront tribes about thefts. He threatens to burn villages if they steal from the expedition. | 11. A party member who holds councils with the natives and delivers speeches explaining their intentions. He is involved in negotiations with various Indian chiefs. | 12. The leader of the expedition who receives gifts from Indian chiefs, including a gray gelding. He is involved in medical treatments and negotiations with the natives. | 13. A captain who tests the temperature of the warm springs and is affected by the heat. | 14. Leader of the expedition, commander of a party of nine men who pursue the most direct route to the falls of the Missouri. He explores Maria's river and its sources, makes observations on geography and wildlife, and is responsible for planning the expedition routes. He gives rewards to Indian guides. | 15. Leader of the expedition, wounded in the thigh by a rifle ball intended for an elk. He is determined to resist enemies and protect his papers, shows leadership qualities, and makes strategic decisions during conflicts with Indians. | 16. Captain who commands a separate division of the party, later rejoins captain Clarke. He is involved in initial planning and coordination with Native Americans. | 18. A military officer who leads a detachment and is wounded during the journey. He is described as being in poor health due to his wound. | 19. Co-leader of the expedition, captain who leads parties and makes decisions during encounters with Indians.
	Cashook	George	*male	8. Young man of the Cashook nation who lived at the falls of a large river
	Chaboneau	George	*male	3. An American explorer who owns a wife wearing blue beads, which are used to trade for an otter skin | 4. A man who requests to accompany Captain Clarke on a journey to see the ocean and whale | 11. A party member who translates the speech of Captain Clarke into French for his wife to interpret into Minnetaree language. | 16. Member of the expedition whose wife and child travel with captain Clarke's party. His family is part of the land-based group traveling to Yellowstone river. | 18. An interpreter who is described as mingling with the Indians and learning about events during their absence. He declines to accompany the party to the United States and remains among the Indians.
	Chayenne chief	Echo	*male	18. The principal chief of the Chayennes who is described as a man of thirty-five years of age, well-looking and stout.
	Clanaminamum	Nicola	*male	8. Member of the Clanaminamum nation who visited the party and was recognized as a companion
	Cruzatte	Fenrir	*male	15. Member of Captain Lewis's party who accidentally wounds him with a rifle ball while hunting. He is initially blamed but later cleared of intentional wrongdoing.
	Grayeyes	Fable	*male	18. The principal chief of the Ricaras who is described as a man of thirty-five years of age, well-looking and stout. He accepts the medal offered by Captain Clarke.
