	narrator	Adam	male	Story narrator
	Cameawait	Daniel	*male	7. The chief of the Shoshone tribe who meets Captain Lewis and later recognizes Sacajawea as his sister. He is described as being moved by their reunion.
	Captain Clark	Ryan	male	3. A captain who joined Captain Lewis at Louisville and together they led the expedition. He is presented as a key figure in the exploration effort. | 4. Leader of the expedition, described as having a modest and factual writing style. He is one of the two officers leading the journey, noted for his careful documentation and practical approach to leadership. | 5. One of the expedition's two main leaders who faced the Tetons in their own territory and overawed them, showing his sword when challenged. | 6. Co-leader of the expedition who explores the southern fork of the river to determine the correct route. He is decisive and practical, making sure to explore thoroughly before confirming their path. | 7. A leader of the expedition, described as bearing testimony to the spirit of the men and leading the party through difficult terrain. He is in advance of the main party when he discovers the three forks of the Missouri. | 8. Leader of the expedition, writing journal entries and making strategic decisions. Suffers from hunger and exposure during the journey, becomes ill after eating too much food upon reaching the Nez Percé village. Shows leadership by directing that a deer be given to women and children in need. | 9. Lead explorer of the expedition, writing detailed journals documenting the party's struggles. He was deeply affected by their situation and wrote about his own loss of poise during the difficult winter. | 10. A key expedition leader who completed a map of the country and conceived a plan to shorten the route from the mountains east of the Nez Percé villages to the Falls of the Missouri. He was a skilled geographer and gave away his artillerist's sword as a gift to the Walla-Walla chief. | 11. Leader of the expedition who travels overland with horses to reach the Yellowstone. He is described as having an efficient guide in Sacajawea and meeting with various tribes. | 12. One of the two main leaders of the Lewis and Clark Expedition, who wrote detailed journals documenting their journey. He was a companion to Captain Lewis.
	Captain Lewis	Lewis	male	3. A captain who was instructed to blaze a path through the wilderness and explore the territory. He is depicted as having significant authority in making decisions during the expedition. | 4. One of the two officers leading the expedition, who was to join the party later in their journey. He is described as being part of the command structure. | 5. One of the expedition's two main leaders who delivered a speech to the Sioux chiefs and later went on shore with Captain Clark during their encounter with the Tetons. | 6. Leader of the expedition, writing journal entries and making important decisions. He is reflective and emotional, showing joy at seeing the Rocky Mountains but also anxiety about the difficulties ahead. He is described as youthful in his enthusiasm for naming Maria's River after his cousin. | 7. A leader of the expedition who brings a steel skeleton boat framework and is involved in diplomatic encounters with Native Americans. He sets out in advance to meet Indians. | 8. Co-leader of the expedition, following Clark's trail. His party suffers greatly from lack of provisions and poor progress due to horses straying. | 10. A key expedition leader who worked alongside Captain Clark. He observed the value of Indian trade goods and was involved in medical treatments for Indians, writing about conscientiously abstaining from giving harmful medicines. | 11. Leader of the expedition who leads a council with the Minnetarees and engages in battle with them. He is described as making peace offerings, smoking the pipe of peace, and using a pistol in defense. | 12. The other main leader of the Lewis and Clark Expedition, who wrote journals alongside Captain Clark. He was a companion to Captain Clark.
	Missouri chief	Omega	*male	4. One of the six chiefs who participated in the council with the expedition. He received a medal and other presents from the Americans.
	Mr. Jefferson	Michael	male	3. The President of the United States who gave instructions to the young officer for the expedition. He is portrayed as farsighted and earnest in his approach to exploration. | 9. Former president of the United States who issued a letter of credit to fund the expedition. His failure to anticipate the need for government support in the Pacific Northwest led to the party's hardship.
	Otoe chief	Echo	*male	4. One of the six chiefs who participated in the council with the expedition. He received a medal and other presents from the Americans.
	Patrick Gass	Liam	male	4. An Irish private who kept a journal and was promoted to sergeant after Sergeant Floyd's death. He is noted for his excellent writing skills and is described as an 'excellent Irishman.'
	Thomas Jefferson	Michael	male	1. President of the United States who was an early neighbor and friend of the Lewis family. Appointed Meriwether Lewis as his private secretary, later appointed him to direct the exploration expedition. Provided a biographical sketch of Lewis in 1813 that serves as the primary source for understanding Lewis's background and character. | 2. President of the United States who conceived and organized the Lewis and Clark expedition, served as private secretary to Lewis for nearly two years | 13. President who commissioned Lewis and Clark, provided biographical details about Lewis's mental health and character
	William Clark	Ryan	male	1. Born on August 1, 1770, in Caroline County, Virginia, and later raised in Louisville, Kentucky. Ninth of ten children in a pioneering family; his elder brother George Rogers Clark built the first fortification at the Falls of the Ohio. Joined the military as an ensign at age 18, promoted to captain of militia in Kentucky. Served under General Wayne and was an adjutant and quartermaster before resigning in 1806 due to ill health. Became Lewis's companion and co-commander of the expedition after being persuaded by Lewis in 1803. Initially received a second lieutenant commission but was assured of equal rank and responsibility by Lewis. | 13. Captain and companion of Lewis in the expedition, appointed Indian agent for Louisiana Territory, later became governor of Missouri and Superintendent of Indian Affairs
	Sacajawea	Alloy	female	5. A Shoshone woman known as 'Bird Woman' who had been taken prisoner by the Mandans years earlier and sold to a Frenchman named Chaboneau. She would play an important role in the expedition's later work. | 6. Chaboneau's wife and mother of their infant son. She is a guide and interpreter for the expedition, providing crucial assistance with Native American relations. | 7. Known as the 'Bird Woman,' she is a Shoshone woman who serves as an interpreter and guide for the expedition. She recognizes members of her tribe upon meeting them. | 11. Known as the 'Bird Woman', she serves as an efficient guide for Captain Clark, leading him to the Yellowstone River and helping with travel through the region.
	*André Michaux	Echo	male	2. French botanist who was initially chosen as Lewis's companion for the Missouri expedition, later discovered to be residing in the United States as a spy
	*Assiniboins	Echo	*male	6. A Native American tribe that the expedition fears encountering. They are described as a 'cut-throat band' who inspire fear and caution in the explorers. | 11. A tribe at war with the Mandans who have prohibited trading by the Northwestern Company and killed traders.
	*Benjamin Howard	Puck	*male	13. Successor to Meriwether Lewis as governor of Louisiana Territory
	*Biddle	Omega	*male	7. An editor of the journals mentioned in the text, referenced as Mr. Biddle's edition.
	*Buffalo bulls	Kumo	*male	6. A herd of buffalo that charges Captain Lewis, showing the danger posed by wildlife in their journey.
	*Captain McClellan	Echo	*male	12. An old acquaintance of Captain Clark who encountered the expedition and informed them that people in the United States had generally given up hope of their return.
	*Chaboneau	Nicola	male	6. Sacajawea's husband and the father of their infant son. He is part of the expedition as a guide, likely providing knowledge about local geography and customs. | 10. A translator who helped Captain Lewis communicate with the Nez Percé people, interpreting from English to French and then to Minnetaree language.
	*Charles Lewis	Echo	*male	1. Fourth of five sons of Colonel Robert Lewis, an early patriot who commanded one of the first regiments raised in Virginia during the Revolution.
	*Chopunnish	Psi	*male	10. A Nez Percé chief who showed hospitality to the expedition, presenting Captain Clark with a superb white horse and later arranging for supplies when the travelers were without provisions.
