	narrator	Adam	male	Story narrator
	Aged Indian	Fenrir	*male	55. An elderly Indian who pointed to a woman pitted with smallpox as the cause of Multnomahs' departure
	Agent Forsythe	Alex	*male	74. Government agent at Peoria who reported Lieutenant Helm's capture and sent presents for his ransom
	Alexander Henry	Kumo	male	44. A prominent fur trader among American Indians and one of the famous Northwesters. Known as Alexander Henry Jr., he is a nephew of the elder Alexander Henry and has extensive knowledge of the country.
	Alexander von Baranof	Alex	male	54. Russian explorer and administrator who established a fort at Sitka, described as 'the greatest of all the Russians'
	Andrew Lewis	Lewis	male	4. An old Indian fighter from Dinwiddie's day who leads a thousand men to march across Mt. Laurel to the mouth of the Great Kanawha. He is described as blunt, irascible and sternly aggressive. | 6. A Virginia volunteer leader who fought against the Shawnees, later led minute men against Lord Dunmore, and was involved in military actions along the Chesapeake shore
	Antoine Le Claire	Eric	male	74. Old man who announced the arrival of Rising Moose | 76. Old interpreter who speaks for the council members and expresses reluctance to venture into hostile territories | 83. Son of old Antoine, who served as interpreter for Black Hawk during his release.
	Auguste Chouteau	Nicola	male	18. Important French settler who defends Cahokia and later complains about Governor De Leyba's incompetence to New Orleans. He is described as having a brother who also helped in the defense. | 24. Trader who ate breakfast on the roofs of Ste. Genevieve during the floods | 26. French trader whose slave Petrie serves as an interpreter for Daniel Boone in St. Louis. | 38. A prominent French trader and diplomat who helped establish St. Louis, remembered as one of the first settlers in 1764 and a key figure in maintaining French presence in the region | 68. A wealthy local merchant and landowner who owns the house where Julia is received, and serves as colonel of the local militia. | 69. Creole businessman who joined forces with Manuel Lisa in the Missouri Fur Company | 76. Prime vizier and founder of St. Louis who works with Clark and Edwards in the council | 81. A young trader who attempted to establish trade with Santa Fé, was imprisoned by Spanish authorities, and later released after Governor Clark appealed to Congress.
	Baptiste Dardenne	Psi	male	80. A person who complains about stolen blankets and axes from his property.
	Barbé-Marbois	Michael	male	34. A French minister who serves as Secretary of the French Legation at Philadelphia during the American Revolution and negotiates the Louisiana Purchase with the United States
	Baron von Rezanof	Santa	male	54. Russian Imperial Inspector of Alaska who called himself 'Chamberlain of the Russian Court and Commander of all America'
	Ben	Psi	male	36. Negro servant who lived at Point of Rock with his wife Venus | 63. Black valet to President Jefferson, known for his stentorian call announcing visitors
	Big Elk	Fenrir	male	40. Father of Big Elk who was mentioned in the context of a treaty made with Lewis and Clark, though his specific role is not detailed. | 74. Chief of the Omahas, one of the principal chiefs visited by Manuel Lisa | 76. Omaha chief who speaks about American promises and warns against British influence | 80. An Omaha chief who leaves his medal with his son before crossing hostile territory.
	Big White	Puck	*male	43. Mandan chief who helps Lewis and Clark with map making | 62. A Mandan chief who accompanied the expedition to Washington, described as a 'Mandan chief' | 62. A Mandan chief who was presented to President Jefferson | 65. A Mandan chief who returned to St. Louis after an expedition, accompanied by Ensign Pryor, Sergeant George Shannon, and Pierre Chouteau. He was a significant figure in the region's Indian affairs. | 68. A leader of an Indian tribe who has not yet returned to the Mandan country, representing a complex diplomatic challenge for the American government. | 74. Chief of the Mandans, one of the principal chiefs visited by Manuel Lisa
	Bird	Puck	male	16. Colonel who works at Detroit and leads the Pottawattamie Indians in warfare against emigrants along the Ohio. | 19. Colonel who leads British-allied Indian forces against Kentucky settlements. Uses artillery to capture forts and is described as having significant military power, though he shows some honor by not destroying more forts.
	Black Buffalo	Fenrir	*male	41. A Teton Sioux chief who attempted to detain Captain Clark's boat and was decorated with medals, flag, laced coat, cocked hat, and red feather | 60. A Sioux leader who confronts the expedition with defiance and threatens them with war | 65. A Teton Sioux chief who led the attack on the returning Mandan expedition and was killed in the conflict. | 76. Teton Sioux chief who attempted to capture Clark on the way to the Pacific
	Black Cat	Puck	male	42. Head chief of the Mandans who met with Lewis and Clark during their first Sunday among the tribe | 60. A Mandan chief who expresses concern about Sioux hostility and reluctance to travel to Washington, mentioning that the Sioux will certainly kill them | 74. Chief of the Mandans, one of the principal chiefs visited by Manuel Lisa
	Black Eagle	Onyx	*male	56. Chief who hosted Lewis and Clark, proclaimed their advice as good, and later went to St. Louis where he died
