NAME	GENDER	PRIORITY	LANG	VOICE ID	MODEL
Ono Anna	female	0	en	Ono_Anna	qwen_custom_voice
Serena	female	0	en	Serena	qwen_custom_voice
Sohee	female	0	en	Sohee	qwen_custom_voice
Vivian	female	0	en	Vivian	qwen_custom_voice
Alice	female	1	en	bf_alice	kokoro
Alloy	female	1	en	af_alloy	kokoro
Alpha	female	3	en	hf_alpha	kokoro
Alpha	female	3	en	jf_alpha	kokoro
Aoede	female	1	en	af_aoede	kokoro
Bella	female	1	en	af_bella	kokoro
Beta	female	3	en	hf_beta	kokoro
Dora	female	1	en	ef_dora	kokoro
Dora	female	1	en	pf_dora	kokoro
Emma	female	1	en	bf_emma	kokoro
Gongitsune	female	1	en	jf_gongitsune	kokoro
Heart	female	1	en	af_heart	kokoro
Isabella	female	2	en	bf_isabella	kokoro
Jessica	female	1	en	af_jessica	kokoro
Kore	female	1	en	af_kore	kokoro
Lily	female	1	en	bf_lily	kokoro
Nezumi	female	1	en	jf_nezumi	kokoro
Nicole	female	1	en	af_nicole	kokoro
Nova	female	1	en	af_nova	kokoro
River	female	1	en	af_river	kokoro
Sara	female	1	en	if_sara	kokoro
Sarah	female	1	en	af_sarah	kokoro
Siwis	female	1	en	ff_siwis	kokoro
Sky	female	1	en	af_sky	kokoro
Tebukuro	female	1	en	jf_tebukuro	kokoro
Xiaobei	female	4	en	zf_xiaobei	kokoro
Xiaoni	female	1	en	zf_xiaoni	kokoro
Xiaoxiao	female	1	en	zf_xiaoxiao	kokoro
Xiaoyi	female	1	en	zf_xiaoyi	kokoro
Aiden	male	0	en	Aiden	qwen_custom_voice
Dylan	male	0	en	Dylan	qwen_custom_voice
Eric	male	0	en	Eric	qwen_custom_voice
Ryan	male	0	en	Ryan	qwen_custom_voice
Uncle Fu	male	0	en	Uncle_Fu	qwen_custom_voice
Adam	male	1	en	am_adam	kokoro
Alex	male	1	en	em_alex	kokoro
Alex	male	1	en	pm_alex	kokoro
Daniel	male	1	en	bm_daniel	kokoro
Echo	male	1	en	am_echo	kokoro
Eric	male	1	en	am_eric	kokoro
Fable	male	1	en	bm_fable	kokoro
Fenrir	male	1	en	am_fenrir	kokoro
George	male	1	en	bm_george	kokoro
Kumo	male	1	en	jm_kumo	kokoro
Lewis	male	1	en	bm_lewis	kokoro
Liam	male	1	en	am_liam	kokoro
Michael	male	1	en	am_michael	kokoro
Nicola	male	2	en	im_nicola	kokoro
Omega	male	1	en	hm_omega	kokoro
Onyx	male	1	en	am_onyx	kokoro
Psi	male	3	en	hm_psi	kokoro
Puck	male	1	en	am_puck	kokoro
Santa	male	1	en	am_santa	kokoro
Santa	male	1	en	em_santa	kokoro
Santa	male	3	en	pm_santa	kokoro
