	narrator	Adam	male	Story narrator
	Alcalde	Liam	*male	9. The local judge who presides over the trial of Thure and Bud. He is described as a stern figure who enforces justice in 1849 Sacramento City, where trials are swift and severe. He is responsible for calling the jury, swearing in witnesses, and maintaining order during the proceedings. | 10. The local judge presiding over the trial. He is described as shrewd and stern, who maintains order during the proceedings and insists on a fair trial despite mob pressure. | 11. The local judge who presides over the trial, questioning witnesses and delivering the final address to the jury. He appears sympathetic toward the accused boys. | 12. The local magistrate who presides over the trial and sentences the boys to hanging. He is described as having 'tight-drawn lips' and a 'whitened face' during the proceedings.
	Big Red-headed Man	Nicola	*male	5. A large man with a broken nose who is the other stranger seeking information about the missing miner. He has a threatening demeanor and shows signs of being one of the murderers when he becomes angry about not finding information.
	Bill Ugger	Eric	male	10. A witness who testified about the murder and is described as a partner of Spikenard Quinley. He appears to be one of the two prisoners accused of murder, though his exact role in the crime is unclear from this chapter. | 11. One of the two men accused by Thure and Bud of killing the miner. He is described as a large, red-headed man with a broken nose. | 12. One of the false witnesses who falsely accused the boys of murder. He is also known as 'Greaser Smith' and is revealed to be a scoundrel who conspired with Spike Quinley to frame the boys. | 25. A robber who is killed by Rex Holt. He has a broken nose and is described as ugly and repulsive. | 26. A robber who was killed during the raid. He is found with a gold-belt and his body buried alongside Quinley.
	Brokennose	Daniel	*male	6. A villain who, along with Pockface, murdered an old miner and is seeking the skin map. He is described as one of two cowards and cut-throats in California. | 7. A mysterious figure who appears to be following Thure and Bud's trail. He is described as a small man with a broken nose, suggesting he may be an antagonist or rival gold-seeker. | 8. A large red-headed man with a broken nose who accuses Thure and Bud of murder. He is described as one of the two accusers. | 13. A criminal character who is described as one of the murderers trying to get the boys hanged. He is mentioned in connection with a punch that Ham gave him.
	Bud	Kumo	male	2. Thure's brother who is also staying on the ranch with him. He helps carry and care for the wounded miner, showing loyalty to his family and willingness to assist others in need. He is resourceful, quickly fetching water for the injured man. | 3. A young male character who stands with Thure in awe at the sight of the dead miner. He is curious about the gold story and helps lift the body, showing interest in both the gold nugget and the skin map. He becomes excited about finding the cave and is eager to tell his mother about their discovery. | 4. A young man who accompanies Thure on their adventure. He is enthusiastic and impulsive, eager to share the secret of the Cave of Gold with his family. He is the son of Mrs. Randolph and brother to Ruth. | 6. A young boy traveling with Thure to California's mining camps. He is alert, cautious, and protective of his friend. He takes the first guard duty and becomes increasingly vigilant after discovering the threatening stone. | 7. Thure's companion and fellow gold-seeker who travels with him to the mining regions. He is adventurous, curious about the sights they encounter, and shares Thure's enthusiasm for finding gold. | 8. A young male character who is impulsive and quick to act. He is hungry, excited by the new environment, and shows courage when defending himself against an accuser. He is described as being in his teens. | 10. The other prisoner accused of murder, who is described as a young man with clear eyes. He and Thure are both accused of killing John Stackpole, though they claim to be innocent. | 11. Thure's companion who testifies alongside him, repeating Thure's story. He is portrayed as a young man who was present during the events and helped bury the victim's body. | 13. A cautious and thoughtful boy who is more careful about their safety. He shows concern for the potential danger they face, especially regarding revealing the map and gold nugget to strangers. He is loyal to Ham and protective of his friend. | 16. A young miner and friend of Thure, also an early riser who is impressed by the mountain beauty and mining conditions | 17. Thure's companion who also sleeps in the same bunk. He is less fortunate during the attack, getting knocked down by Pockface after dodging his initial blow. He is eager to pursue the thief and helps in searching for the stolen map. | 18. A young prospector who works with Thure on building the dam. He is friendly and curious, especially about the story of gold discovery. | 19. A young boy who discovers gold and is one of the main characters in the flood rescue scene. He climbs during the flood, helps save Marshall by gripping wrists and reaching down to grab Marshall's hand. | 20. A young man who, along with Thure, saved Marshall's life. He receives one of the gold nuggets from Marshall and later shows his father the skin map, which he had hidden in his shirt. | 21. A young boy in the group who is excited about their journey to find gold and shows interest in mining equipment like cradles. He's described as boylike in his enthusiasm. | 22. A member of the group who is assigned to guard duty during the night after Ham and Mr. Conroyal retire. | 23. A member of the expedition who hunts and provides food for the group, such as shooting a young buck elk. | 24. A young member of the group who is enthusiastic and eager to find the Cave of Gold. He works closely with Thure in their search efforts. | 25. A young man who joins the exploration and later helps defend against robbers. He is energetic, quick to act, and gets involved in the gold hunt. | 27. A young man who returned from the search for the Cave of Gold with a large gold nugget and a necklace of gold nuggets. He is excited about finding treasure and shares his findings with Iola.
	Bud Conroyal	Echo	male	5. Thure's brother, also heading to the gold mines. He is enthusiastic about their journey and shows emotional vulnerability during his farewell to his mother, but quickly recovers with a cheerful shout. He is protective of his sisters and shows affectionate behavior.
	Bud Randolph	Fenrir	male	1. A young male hunter and adventurer who is equally brave with Thure, skilled in roping grizzlies, and quick to act. He shows leadership qualities and is determined to face challenges head-on, whether hunting dangerous animals or helping others in need. | 9. A young boy accused alongside Thure Conroyal of murdering miner John Stackpole in 1849 Sacramento City. He is portrayed as a young man with a grim and stern face, showing fierce determination to fight for their lives. He demonstrates courage by defiantly destroying a threatening note from one of the accusers and refuses to give up their secrets about the Cave of Gold. | 12. A young boy who was falsely accused and convicted of murder, later proven innocent by Hammer Jones and Colonel Fremont. He is described as having a 'white, staring, boyish face' and is the son of Randolph. | 14. A boy traveling with Thure to Hangtown, equally excited about finding gold. He is enthusiastic and eager to see his father, often showing excitement through his actions like running ahead. | 15. Thure's friend who also discovered the map and gold nugget. He is enthusiastic, mischievous, and eager to share their adventure with his fathers.
	Captain Sutter	Fenrir	male	11. A figure mentioned by Thure as someone who would vouch for him and Bud, though he is not present at the trial. | 18. A partner of James W. Marshall who helped in the initial gold discovery and was involved in determining that the metal was pure gold.
	Colonel Fremont	Puck	male	12. A respected military officer and explorer who arrives to intervene in the trial. He is known for his courage, having 'licked the Mexicans' and won California for the United States. He personally vouches for the innocence of the boys. | 13. A figure who appears briefly in the chapter as a witness to the hanging, and whose presence prompts Ham's initial reaction. He is described as having vanished down the street.
	Conroyal	George	*male	6. The owner of the rancho where Thure and Bud live, mentioned as their father. He is part of the family they are trying to find. | 12. Thure Conroyal's father, who is mentioned as being known by Hammer Jones and Colonel Fremont. | 17. An adult male who is present during the fire alarm and later listens to Thure and Bud's account of what happened. He is a leader figure among the group.
