	narrator	Adam	male	Story narrator
	Anaximander	Fable	male	10. A pupil of Thales who held that each thing springs from its own proper principle and believed in infinite principles generating worlds.
	Anaximenes	Nicola	male	10. A pupil of Anaximander who attributed all causes to an infinite air and believed gods sprang from the air.
	Apuleius	Santa	male	1. Philosopher mentioned in Book VIII who taught that demons should be worshipped as mediators between gods and men | 10. A Platonist philosopher from Madaura who wrote a work on the God of Socrates and believed demons were intermediaries between gods and men. | 11. A Platonist philosopher whose treatise on demons is criticized by Augustine for not attributing virtue to demons, describing their minds as turbulent and passion-driven. | 12. A Platonist philosopher mentioned as having beliefs about demons that Augustine contrasts with Porphyry's views. | 14. A writer who held the opinion that humans exist collectively as immortal but individually as mortal.
	Augustine	Daniel	male	2. Bishop and theologian who wrote 'The City of God' as a defence of Christianity against accusations that Rome's fall was due to the spread of Christianity. He was 59-72 years old during the work's completion and considered it his masterpiece. | 3. The author of the work, a Christian bishop and theologian who defends the city of God against pagan accusations. He is deeply religious, philosophical, and committed to defending Christianity. | 7. The author of the work, a Christian theologian and philosopher who discusses doctrine of fate, free will, and the Roman empire. He argues against astrological determinism and defends God's prescience. | 8. The author of the work, a Christian theologian and philosopher who is refuting beliefs about divine worship for eternal life. He argues against the pagan theological divisions and the worship of false gods. | 10. The author and main protagonist of the text, a Christian theologian who is discussing natural theology with philosophers. He is deeply engaged in philosophical argumentation and theological discourse. | 11. The author and narrator of the text, a Christian theologian who argues against the worship of demons and defends the necessity of Christ as mediator between God and men. | 12. The author and narrator of the text, a Christian theologian and philosopher who teaches about divine worship and the nature of good angels. He is engaged in defending Christian doctrine against Platonist and other philosophical positions. | 13. The author of this work, a Christian theologian and philosopher who discusses the origin and nature of the two cities (earthly and heavenly) in this book. | 14. The author and narrator of this chapter, a Christian theologian who is presenting arguments about the nature of angels, creation, and human origins. He uses philosophical reasoning to defend Christian doctrine. | 17. Aurelius Augustine, the author and narrator of the work, a Christian theologian and philosopher
	Beugnot	Fable	*male	2. Historian who assessed the limited effect of Augustine's 'City of God' and criticized its treatment of certain questions.
	Cicero	Liam	*male	4. A Roman orator and philosopher whose works are cited by Augustine. He is mentioned in the context of his writings on the Roman republic and his views on comedy, satire, and justice. | 7. A Roman philosopher and statesman mentioned as opposing the Stoic doctrine of fate. He is criticized by Augustine for denying God's foreknowledge. | 7. Roman philosopher and statesman mentioned as opposing the Stoic doctrine of fate. He is criticized by Augustine for denying God's foreknowledge. | 8. A Roman orator and philosopher who praised Varro as 'the most acute of all men' and 'the most learned.' He wrote about Varro in his Academic books. | 10. A Roman philosopher who wrote about the gods and their names in his Tusculan Questions. | 11. A Roman philosopher and orator whose writings on ethics, particularly regarding Stoic vs. Peripatetic views on mental passions, are cited by Augustine.
	Cæsar	Kumo	*male	3. Julius Cæsar, the Roman general and statesman. He is quoted in the text for his description of war atrocities. | 9. A high priest to whom Varro dedicated his work. | 11. A Roman leader whose compassion is praised by Cicero and cited by Augustine to support the idea that compassion is a virtue.
	Diogenes	Onyx	male	10. A pupil of Anaximenes who said air was the original substance with divine reason, without which nothing could be produced.
	Dupin	Michael	*male	2. Historian who found Augustine's work pleasant reading but criticized his discussion of useless questions.
	Flottes	Eric	*male	2. Scholar who praised the work and cited Pressensé's eulogy of it.
