	narrator	Adam	male	Story narrator
	Angus McLeod	Liam	male	6. Eldest son of the trader McLeod, deeply in love with Magaskawee and leader of the relief party to save the exiles
	Anookasan	Echo	male	4. A young Sioux warrior in his thirties, chosen as one of ten scouts to find buffalo for the winter. He is described as having a massive form wrapped in a fine buffalo robe, with an eagle feather in his scalp-lock. He is the leader of the scouting party and demonstrates courage, determination, and a sanguine spirit despite their failed hunt. He is deeply religious and takes his duty seriously. | 5. A member of the Yankton tribe who leads a group of hungry warriors to Antoine's hut. He is described as having red paint on his wild and warlike face, and he speaks in signs. He is curious about Antoine's fiddle and the strange man himself, eventually becoming friends with him after being invited to share food.
	Antelope	Fenrir	male	1. A young Sioux warrior seeking to prove himself among his people. He is known for his courage, gentleness, and retirement despite his bravery in battle. He has passed the 'two-arrow-to-kill' buffalo examination and is considered a promising young leader. He is engaged to Taluta but must delay their marriage due to his war duties. | 2. A young Sioux warrior who loved Taluta and was deeply grieved by her death. He sought to communicate with her spirit, later married a Ree maiden named Stasu, and became a father. He was known for his bravery but also his introspective nature.
	Antoine Michaud	Eric	male	5. A skilled Canadian mixed-blood hunter and rider, known for his exceptional abilities in hunting bison. He is described as having shaggy black hair, dark face with large white teeth, and liquid black eyes. He is a brave and resourceful man who becomes trapped in a buffalo stampede but manages to save himself by climbing a tree. He eventually settles among the Yankton tribe and marries, living out his days there.
	Bald Eagle	Puck	male	3. Young man who became known by this name after killing the Ree chief, Big Whip's close friend
	Big Whip	Onyx	male	3. Father's younger brother, young man who dared his friend to kill the Ree chief
	Black Shield	Santa	male	3. Sioux who had intermarried among the Rees, shouted to the Sioux about the killing
	Brave Elk	Alex	male	11. Matosapa's inseparable brother-friend who accompanies him on his romantic pursuit of Winona. He is described as a companion who helps Matosapa with his first visit to speak to a woman, providing support and humor during the courtship process.
	Chanotedah	George	*male	4. The Isantees' name for Oglugechana, a supernatural being who dwells in hollow stumps and has the ability to bewitch travelers with his music. | 5. A Yankton warrior who is mentioned as being present when the red folk invade Antoine's hut. He asks questions about whether Antoine is man or beast, showing curiosity and wariness toward the strange white man.
	Crowhead	Lewis	*male	1. The war-leader who leads the expedition into Ute country. Antelope enlists in his war-party, and they consult spiritual advisers before departure.
	Eaglechild	Alex	*male	2. A fellow scout of Antelope who accompanied him on reconnaissance missions. He was part of the war party that went against the three confederated tribes.
	Face-the-Wind	Fenrir	male	6. Young Sioux messenger chosen for his speed and endurance, who delivered the desperate message to Fort Ellis but died before reaching the village
