	narrator	Adam	male	Story narrator
	Vortigern	Daniel	male	1. Usurper king of Britain, cowardly and treacherous, who summoned Merlin to find a child born without mortal father to build his castle. He was ultimately burned alive in his tower by Aurelius.
	Merlin	Fable	*male	1. Young boy with mysterious parentage, claimed to be born without a mortal father. He is the son of the foul fiend according to some, but proves himself a powerful prophet and magician who foretells Arthur's birth. He serves as advisor to the kings and helps build Stonehenge. | 2. A powerful wizard who guides Arthur's rise to power, arranging for Arthur to be raised by Sir Ector and ensuring his true parentage remains hidden until the sword test. | 3. A mysterious figure who appears as both a child and an old man. He prophesies Arthur's death, reveals his true identity to him, and helps guide the king. | 5. The wise wizard who appears throughout the story, warning Sir Balin about his actions and their consequences. He is a prophetic figure who knows the future and guides characters with cryptic prophecies about doom and destruction. | 6. The wise wizard and advisor to King Arthur, who prophesies the misery that will come from Arthur's marriage to Guinevere. He plays a key role in organizing the Round Table and its founding ceremonies. | 13. A powerful magician who fell into a dotage of love for a damsel of the lake. He was trapped in an oak tree by the damsel who had learned his spells from him.
	*Ambrosius	Puck	*male	1. Son of Constantine, rightful king of Britain who leads the rebellion against Vortigern. He is also known as Aurelius Ambrosius and becomes king after defeating Vortigern.
	Uther	Liam	male	1. King of Britain, brother of Aurelius and father of Arthur. He marries Igerna after the death of Gorlois, and is poisoned by Saxons while sick at Verulum. He becomes known as Uther Pendragon after Merlin's prophecy. | 2. Arthur's father, the former king of England who died before Arthur knew his true parentage. He was a powerful ruler whose death led to the succession crisis.
	*Gorlois	Santa	male	1. Duke of Cornwall and husband of Igerna. He is slain in battle, leading to Uther's marriage with his widow.
	*Igerna	Siwis	female	1. Beautiful wife of Gorlois, whom Uther marries after her husband's death. She is described as the most famous beauty in all Britain.
	Ector	Michael	*male	1. Knight loyal to Uther who is chosen by Merlin to raise Arthur. He and his wife nurse the infant Arthur in secret. | 2. Arthur's foster father, a knight who raised Arthur as his own son. He discovers Arthur's true parentage and becomes loyal to him after the sword test.
	Arthur	Onyx	*male	1. The future king of Britain, born to Uther and Igerna. He is secretly raised by Sir Ector and his wife until he grows up, fulfilling Merlin's prophecy. | 2. The rightful king of England, son of Uther and Arthur's father. A young man of fifteen years who is fair, tall, comely, strong, gentle in manner, and accomplished in knightly exercises. He draws the sword from the stone, proving his right to rule.
	*Octa	Omega	*male	1. Saxon leader who is slain during the battle against Uther, contributing to the Britons' victory.
	*Eosa	Michael	*male	1. Saxon leader who is slain during the battle against Uther, contributing to the Britons' victory.
	*Gillomanius	Echo	*male	1. King of Ireland who initially resists the Britons' attempt to take the Giants' Dance stones for Stonehenge.
	*Key	Eric	*male	2. Arthur's foster-brother, recently knighted. He finds Arthur at the sword stone and claims it as his own before revealing that Arthur pulled it for him.
	Brice	Echo	*male	2. The Archbishop of Canterbury who convenes the lords and barons to determine Arthur's succession through the sword test.
	*Badewaine	Onyx	*male	2. A knight who becomes Arthur's Constable after the coronation.
	*Ulfius	Liam	*male	2. A knight who serves Arthur and leads a charge against the enemy at the Battle of Bedgraine.
	*Brastias	Lewis	*male	2. A knight who fights alongside Arthur in the Battle of Bedgraine and helps save Sir Ulfius from danger.
	*Lot	Fenrir	*male	2. One of the six kings who oppose Arthur, leading a rebellion against his rule. He is eventually defeated in battle.
	*Nanters	Daniel	*male	2. One of the six kings who oppose Arthur, defeated in battle by Sir Key.
	*Urien	Nicola	*male	2. One of the six kings who oppose Arthur, part of the alliance against him.
	*Carados	Psi	*male	2. One of the six kings who oppose Arthur, defeated in battle by King Bors.
	*Yder	Fable	*male	2. One of the six kings who oppose Arthur, part of the alliance against him.
	*Anguisant	Kumo	*male	2. One of the six kings who oppose Arthur, part of the alliance against him.
	*Ban	Alex	*male	2. King of Benwick who comes to help Arthur against his enemies, bringing 300 knights.
	*Bors	George	*male	2. King of Gaul who comes to help Arthur against his enemies, bringing 300 knights.
