	narrator	Adam	male	Story narrator
	Apache	Onyx	male	1. Son of the rainstorm, first chief of the Indians who defeated the dragon in combat and became the founder of his people
	D. S. Stanley	Alex	*male	18. Brigadier General who interviewed Geronimo and Naiche about their surrender conditions
	Dragon	Puck	*male	1. Wise and evil monster who destroyed human children, particularly targeting the woman's babies; was ultimately defeated by Apache in combat
	General	Eric	*male	12. Mexican military commander who led troops against Geronimo's band. Was killed during the battle when Geronimo deliberately aimed at him, causing the Mexican forces to waver and retreat.
	General Crook	Lewis	male	16. U.S. officer who ordered the seizure of livestock and attempted to arrest Geronimo, later claimed he never gave such orders. | 17. U.S. military commander who issued unjust orders that caused distress to Geronimo's people and was later criticized by Geronimo as having committed evil deeds | 18. Brigadier General who was relieved and replaced by General Miles in command of operations against Geronimo
	General Howard	Eric	male	15. United States Army officer who commanded at Apache Pass (Fort Bowie), made a treaty with the narrator's tribe, kept his word and treated them as brothers
	General Miles	Daniel	male	13. Military officer mentioned as someone who referred the author to Mr. L. C. Hughes for information about the Apache Pass incident | 14. Military officer who telegraphed about the surrender of Apaches and confirmed that Mangus-Colorado had been foully murdered after surrendering. | 17. U.S. military commander who becomes the chief of American troops, negotiates a treaty with Geronimo, and is later criticized by Geronimo for not fulfilling promises | 18. Commander who oversaw the final surrender of Geronimo and his band, accepting them as prisoners of war | 19. U.S. military officer who made promises to Geronimo regarding land and resources in a treaty, but failed to deliver on these commitments. He visited Fort Sill and relieved Geronimo from labor duties based on his age. | 23. A military official who represented the United States Government in making a treaty with the narrator and Apache people
	Geronimo	Fenrir	male	2. Narrator of the story, lieutenant to Naiche during wars in Arizona | 3. Fourth child in a family of eight children (four boys and four girls), born in No-doyohn Cañon, Arizona in June 1829. Rearing took place among the mountains around the headwaters of the Gila River, with his family's wigwams hidden among the mountains and fields in scattered valleys. He was fourth of a family of eight children, with only himself, his brother Porico (White Horse), and sister Nah-da-ste still alive. He was held as a prisoner of war in the Military Reservation (Fort Sill). His father told him stories about brave deeds of warriors and glories of the warpath, while his mother taught him legends of their people, sun, sky, moon, stars, clouds and storms. He learned to kneel and pray to Usen for strength, health, wisdom, and protection. | 5. Narrator of the chapter, son of Geronimo's father. Became a warrior at age 17 and assumed care of his mother after his father's death. | 6. Main protagonist who loses his entire family in the massacre at Kas-ki-yeh, becomes war chief after leading a successful battle against Mexican troops | 7. Main protagonist, Apache warrior who leads raids against Mexicans, known for his fierce determination and leadership in battle. He is wounded multiple times throughout the chapter and continues fighting despite injuries. | 11. Apache war chief and main narrator of the chapter, leader of raids into Mexico, son of Whoa | 12. Apache war chief who led resistance against both Mexican and United States forces. Known for his tactical brilliance, leadership in battle, and ability to speak Spanish. Was wounded eight times during conflicts with Mexicans. | 13. War chief who would have commanded if several tribes had been called out to fight, mentioned as a possible leader in the conflict | 14. Narrator of the chapter, a warrior who opposed the plan to go to Apache Tejo and later became Tribal Chief after Mangus-Colorado's death. He led resistance against United States troops. | 15. Narrator of the chapter, Apache leader who made a treaty with General Howard and later separated from his band | 16. Main protagonist, leader of Bedonkohe and Nedni Apaches. Was imprisoned unjustly and later led his people in resistance against U.S. forces. | 17. Main protagonist and Apache war chief who leads his people in resistance against U.S. forces, known for his fierce fighting and eventual surrender to General Miles | 18. The main Apache leader who led a band of hostile Apaches, known for his resistance to U.S. forces and eventual surrender in 1886 | 19. Main narrator and Apache leader, former prisoner of war who was captured by the U.S. Government and subjected to forced labor in multiple locations including San Antonio, Florida, Alabama, and Vermont before being relocated to Fort Sill. He was promised land and resources by General Miles but never received them, and he married multiple times throughout his life. | 21. The main narrator of the chapter, a famous Apache chief. Mentioned as parent of Eva Geronimo. | 22. The narrator and main character, a Apache leader who has converted to Christianity and attends church regularly at Fort Sill
	J. D. Prewitt	Liam	*male	18. Partner of W. T. Melton who also witnessed events surrounding Geronimo's surrender
	José Maria Yaskes	Echo	*male	18. Interpreter who translated conversations between Geronimo and General Miles
