	narrator	Adam	male	Story narrator
	arrow	Santa	*male	5. A magical arrow who transforms Iktomi and teaches him to fly in a straight line. He speaks with stern authority and refuses to help Iktomi again after the condition is broken.
	Big black bear	Omega	male	6. A large, hungry bear who initially appears as a guest but later becomes threatening and violent. He takes over the badgers' dwelling and forces them out.
	coyote	Onyx	*male	4. A gray-faced prairie animal who is initially asleep and appears to be dead. He is actually alive and cleverly plays along with Iktomi's plan, using the opportunity to experience being carried. He is described as having a long white teeth that gleam when he smiles and a bushy tail.
	Dakota brave	Michael	*male	6. A young man who appears as an avenger in response to the badger's prayer. He carries a magic arrow and helps restore justice by forcing the bear to return the badgers' home.
	Grandfather	Liam	*male	13. An old, blind grandfather who lives alone in a teepee and possesses magic bags of food that never grow empty.
	Han	Daniel	male	11. A wild boy who has been raised by a toad mother. He is described as having long, loose hair hanging down his brown back and shoulders, wearing a loin cloth of woven sweet grass. He is curious about human voices and emotions.
	Iktomi	Fenrir	male	1. A spider fairy who wears brown deerskin leggins with fringes, tiny beaded moccasins, and a deerskin jacket adorned with bright colored beads. He has long black hair parted in the middle and wrapped with red bands, and paints his face with red and yellow. Iktomi is mischievous, vain, and prefers to use traps rather than honest hunting. He lives alone in a cone-shaped wigwam on the plain and is known for his cunning but selfish nature. | 2. A trickster figure who prays to Inyan for food, takes his blanket back from the stone god after feeling cold, and ultimately loses his venison prize. He is portrayed as selfish and lacking wisdom. | 3. A wily trickster figure who sits by a lake eating fish, known for his cunning and lack of hospitality. He is described as having a long protruding chin and black eyes, and he carries a buffalo-horn spoon. He attempts to trick the muskrat into a race but is ultimately outwitted. | 4. A trickster figure in fringed buckskins, walking alone across the prairie. He is cunning and opportunistic, attempting to hunt and cook a coyote he believes to be dead. He is described as having a black bare head glossy in the sunlight and moves like a wildcat. | 5. A trickster character who desires to be beautiful and changes into various forms including a peacock, an arrow, and finally a fawn. He is vain, impulsive, and constantly seeks to transform himself into other creatures. | 7. An immortal trickster character who overhears the people talking about the avenger. He desires to obtain the magic arrow and trick the brave into becoming tree-bound by pretending to need help with a bird. He is described as having brown burnt spots and later becomes the antagonist who traps the avenger. | 8. A man who pretends to be the avenger but is revealed as an impostor. He is dragged by his hair and bound on a mock grave, then released after the real avenger arrives. | 9. An old trickster figure who appears as a cunning and scheming character. He tricks Patkasa into a contest and later deceives him further by pretending to be drowned. | 14. A witty trickster figure who interpreted the Fish's speech for the villagers and was swallowed by Iya, the Eater
	Iya	Nicola	*male	12. The camp-eater, a giant spirit who takes the form of a baby to infiltrate and destroy camps. He has spindly legs that are too small for his massive body, cannot fight during the day but is powerful at night with tricks. He was ultimately killed by warriors wielding long knives, after which his true form revealed a whole tribe of people who were freed from his control. | 14. The Eater, a large creature who drank the lake and was later used to defeat the villagers
	Manstin	Lewis	male	13. An adventurous and brave rabbit, kind-hearted and skilled huntsman who rescues a baby from Double-Face and later learns a lesson about gratitude by temporarily giving up his eyes to a blind grandfather.
	mouse	Kumo	*male	10. A small field mouse who is part of the dancing group in the buffalo skull, participating in the feast and dance
	muskrat	Kumo	*male	3. A water-dwelling creature who visits Iktomi and is known for his swimming ability. He is described as dripping wet, smiling, and having a ready 'Yes' response to Iktomi's invitation. He outsmarts Iktomi by swimming through the water while Iktomi runs on land, ultimately tricking him into giving up his fish.
	Old father badger	Alex	male	6. The head of the badger family, a great hunter who tracks deer and buffalo. He is kind-hearted but ultimately overpowered by the bear, and later becomes a father figure to the Dakota brave.
	Patkasa	Puck	male	9. A huntsman who is described as tired, heavy-hearted, and unsuccessful in hunting. He is kind-hearted but easily tricked by Iktomi.
	peacock	Echo	*male	5. A magical bird with rainbow plumage who has the power to transform Iktomi. He speaks in a stern and wise manner, setting conditions for his magic.
	Skiska	Psi	*male	1. A duck who peeps with the least tiny blink at Iktomi during his magic dance, causing all the ducks to be killed. He is one of the dancers in the duck circle and serves as a warning character who reveals Iktomi's trickery.
	The avenger	George	male	8. A young man with a long bow and magic arrow who comes to kill the red eagle. He is described as handsome, proud, and skilled with his weapon. He is married to the chieftain's daughter.
	The avenger with the magic arrow	Onyx	*male	7. A young, handsome Dakota warrior with large black eyes who carries a long fringed quiver and a powerful bow. He is described as straight and tall with red paint on his cheeks and penciled lines of red over his temples. He is known for his ability to kill buffalo with a single arrow and is the chosen hero to slay the red eagle. He becomes tree-bound by Iktomi.
	The Bladder	Omega	*male	14. A warrior who sneered at others and attempted to rise above them, but was pricked by a thorn apple and fell to his death
