	narrator	Adam	male	Story narrator
	Antonio	Fenrir	*male	16. A local captain who provides information about bird-taming techniques. He recommends an old Indian woman to the author for taming a difficult parrot, and mentions that she feeds birds with her saliva. | 17. A negro hunter who helped the narrator with coaita hunting and later caught a tamandua
	Berrio	Onyx	male	5. The Spanish governor of Trinidad who is captured by Raleigh. He provides information about Guiana but discourages Raleigh's exploration, likely due to self-interest in protecting Spanish territory. He converses willingly about his adventures. | 6. The governor of Trinidad who was taken prisoner by Raleigh but later released. He shared the belief in Eldorado's existence and sent Domingo de Vera to Spain to raise men. He was eventually murdered by a group of women who blamed him for their misfortunes.
	governor of Tingo Maria	Liam	*male	12. The local governor who arranges for Indian guides to meet the travelers and accompanies them to the port
	Herndon	George	male	11. Lieutenant in the United-States navy, commander of the expedition to explore the Amazon Valley | 12. Lieutenant Herndon, the leader of the expedition, a white male officer who leads the party through Peru and along the Amazon river | 13. Lieutenant Herndon, the leader of the expedition, described as an explorer who speaks enthusiastically about the Amazon Valley and its potential for trade and civilization
	Lieut. Herndon	Puck	*male	14. Lead explorer of the Amazon expedition, described as having good judgment, temper, energy, and industry. Born in 1813, entered navy at age 15, served in Mexican war, and explored the Amazon under U.S. Government commission in 1851-2.
	Mr. Bates	Echo	*male	17. A traveller who encountered various monkey species and kept some as pets
	Mr. R.	Santa	*male	9. A man who claimed to be a French physician and offered to accompany Madame Godin on her journey. He convinced her brothers to let him join the expedition despite not having a place on the vessel. | 10. A Frenchman who betrayed Madame Godin and her companions by abandoning them without providing promised rescue, leaving them to perish in the wilderness. He was dishonest and cruel, taking items from Joachim's care and lying about their condition.
	Orellana	Alex	male	1. The Spanish explorer who continued down the river after being left behind by Pizarro's expedition. He discovered Eldorado and became famous for his journey, though he was abandoned by his companions. | 2. Leader of the expedition, a Spanish explorer who commands his crew and makes decisions about continuing the journey down the Amazon River. He formally renounces Pizarro's commission and takes command through election by his men. | 3. Spanish explorer who led an expedition down the Amazon River, discovered Eldorado, and died during his return journey | 13. A historical figure who passed down the Napo river in the first adventure, mentioned as having traveled through the Amazon region
	Raleigh	Michael	male	3. English explorer who wrote about Eldorado and undertook expeditions to find it | 5. Sir Walter Raleigh, the English explorer and admiral who leads the expedition up the Orinoco river. He is forty-eight years old at the time of this chapter, ambitious and determined to find gold and establish English presence in Guiana. He treats natives humanely but is skeptical of Spanish warnings about the dangers ahead. | 6. A Spanish adventurer who broke up the Spanish settlement in Trinidad, took Governor Berrio prisoner, and led an expedition to find Eldorado. He is described as having convinced Berrio of the existence of Eldorado and was successful in gaining support for his expedition. | 7. Sir Walter Raleigh, English explorer and courtier who led the second expedition to search for Eldorado. He was imprisoned for 13 years and later executed for treason. Known for his ambition, vanity, and desire to emulate Cortez and Pizarro. | 13. Sir Walter Raleigh, mentioned as a historical figure who recorded stories of cannibalism and whose writings are referenced by Herndon
	Sir Humphrey Gilbert	Eric	male	4. Raleigh's half-brother; led unsuccessful colonial expedition to North America in 1576; explored American coast and claimed Newfoundland for England; died in a storm while returning from exploration | 14. Historical figure referenced as a counterpart to the fate of William Lewis Herndon, though his specific role in the story is not detailed beyond being mentioned as a comparison to Herndon's heroic death.
