	narrator	Adam	male	Story narrator
	Colonel Brandon	George	male	7. A silent and grave man who is a friend of Sir John. He has a gentlemanly demeanor despite being past fifty and shows respect for music. | 8. A man who is perceived by Mrs. Jennings to be very much in love with Marianne Dashwood, though he appears older than the other characters. He complains of rheumatism and wears flannel waistcoats. | 10. A serious, mild man of about thirty-five who is deeply interested in Marianne. He has seen much of the world, is well-educated and sensible, but appears melancholic and reserved. He is admired by most of the family at the park. | 11. A man who shows interest in Elinor as a companion and friend, having experienced his own disappointments with love; he appears to be in his thirties or forties | 12. A gentleman who is thoughtful of others' feelings and helps to change the subject when it becomes uncomfortable. | 13. A gentleman who abruptly leaves the breakfast party upon receiving a letter, causing disappointment to everyone. He is described as having a natural daughter named Miss Williams. | 14. A man who suddenly left the park under mysterious circumstances, causing speculation among his acquaintances. He is described as prudent and concerned with financial matters related to his estate at Delaford, which was left in debt by his brother. | 20. A gentleman who is well-regarded by the Dashwood family. He has been in Devonshire recently and knows about Willoughby's potential marriage to Marianne. | 26. A gentleman who shows interest in Marianne and is acquainted with the Dashwood family. He appears to be a kind, thoughtful man who has been in London since leaving Delaford and is apparently aware of the situation with Marianne and Willoughby. | 27. A gentleman who is attracted to Marianne and visits the Dashwood household regularly. He appears deeply affected by his unrequited love for Marianne and is visibly distressed about her relationship with Willoughby. | 30. A gentleman who is aware of Willoughby's engagement and shows deep concern for Marianne. He appears to be a man of principle who has feelings for Marianne, though he is not yet romantically involved with her. | 31. A serious, thoughtful man who has a deep history with Willoughby. He reveals that he once loved Eliza, a woman who was seduced and abandoned by Willoughby. He has been trying to protect Marianne from Willoughby's true character. | 32. A gentleman who has feelings for Marianne and shows deep concern for her wellbeing. He is kind, considerate, and has been supportive of the Dashwood family. His relationship with Marianne is complex as he seems to have feelings for her that are not reciprocated. | 33. A gentleman with property in Dorsetshire who is described as a 'most gentlemanlike man' and has the attention of Elinor's brother John, who believes he may be interested in Elinor. | 34. A gentleman who is fond of the Dashwood sisters and attends social gatherings with them. | 39. A gentleman who has developed feelings for Elinor Dashwood. He offers to help Edward Ferrars by securing him a living at Delaford, showing his kindness and generosity. | 40. A kind and compassionate man who has a deep affection for Marianne Dashwood. He offers Edward Ferrars a living at Delaford as a gesture of goodwill. | 41. A gentleman who has given a living to Edward Ferrars. He is described as being generous and concerned with the welfare of others. | 42. A gentleman who is traveling to join the sisters in Cleveland. He shows affection for both sisters and has a particular concern for Marianne's wellbeing. | 43. A gentleman who stays at Cleveland and helps with the care of Marianne. He offers to fetch Mrs. Dashwood from Barton when needed and shows deep concern for the family. | 45. An older, respected man who has long admired Marianne. He is described as excellent, sincere, and devoted to his feelings for Marianne. | 46. A gentleman who shows deep affection for Marianne and is visibly moved by her illness. He has a history with Eliza, which causes him emotional distress when seeing Marianne's resemblance to her. He is kind and considerate, offering his carriage for the Dashwoods' journey back to Barton. | 47. A gentleman who had been in love with Marianne before Willoughby, described as a good man whose character is contrasted favorably to Willoughby's | 48. A gentleman who is expected to visit the Dashwood household. He has a close relationship with Edward and Mrs. Dashwood, having been previously involved in the situation between Edward and Elinor. | 49. A gentleman who is in love with Marianne Dashwood. He has been a close friend to Edward and helped him obtain the living of Delaford. | 50. Married to Marianne Dashwood. He is a gentleman of good character, previously attached to Willoughby's sister, and finds happiness with Marianne after overcoming past sorrows.
	Edward	Kumo	male	5. Mrs. Dashwood's son-in-law, who is concerned about her moving to Devonshire and shows clear interest in her well-being. | 17. A young man who visits the Dashwood family, initially reserved and shy but gradually becoming more himself. He has no desire for public life or great wealth, preferring modest happiness. | 19. A young man who has been visiting the Dashwood family at Barton Cottage. He is described as having unequal spirits, being inconsistent in his behavior, and feeling constrained by his mother's disapproval of his relationship with Elinor. He has no profession and lacks independence, which he believes is the root of his unhappiness. | 28. Marianne's other suitor, mentioned as someone she could still esteem and who might be divided from her in the future. He is not present at this party but is part of the emotional context. | 29. A man who loves Elinor, though his exact relationship to the story is unclear from this chapter. He appears to be a potential romantic interest for Elinor. | 41. A young man who has received a living from Colonel Brandon. He is engaged to Lucy Steele and is the subject of his mother's disapproval due to his marriage plans. | 42. A man who has been involved with Marianne but is not present in this chapter. Elinor believes him to be the real favorite of Colonel Brandon. | 49. A young man who has just been released from an imprudent engagement with Lucy Ferrars. He is now in love with Elinor Dashwood and has recently proposed to her, which she has accepted. He is described as having been foolish in his youth but now happy and resolved to make amends for past mistakes. He is 24 years old.
	Edward Ferrars	Omega	male	3. The eldest son of a wealthy man who has recently died, and brother to Mrs. John Dashwood. He is quiet, shy but affectionate, with good understanding and solid improvement in education. He is engaged to Elinor Dashwood. | 4. A young man with whom both sisters have feelings, though Elinor is more uncertain about his regard for her. He has natural taste and intelligence but lacks confidence in his own judgment, and is in a dependent situation with financial constraints. | 8. A young man who has not yet arrived at Barton despite being invited. Marianne is concerned about his absence, believing it to be due to illness or some other impediment. | 16. A gentleman who visits the Dashwood family. He is reserved and cold in his manner, especially toward Marianne. He has a connection to the family through his engagement and is described as having a different manner from Willoughby. | 18. A gentleman who visits the Dashwood sisters, reserved and somewhat awkward in his manner. He is clearly affected by Marianne's comments about a ring with hair, and seems to have feelings for her but is uncertain of his own position. | 21. A gentleman who is the brother of Marianne's sister-in-law and a potential suitor for Elinor. He is described as handsome and agreeable, though his character is somewhat mysterious to those around him. | 22. The eldest son of Mrs. Ferrars and brother of Mrs. John Dashwood; he is secretly engaged to Lucy Steele, though Elinor initially believes him to be in love with her sister Marianne. | 23. The man who is secretly engaged to Lucy Steele but has fallen in love with Elinor Dashwood. He is described as melancholy, dissatisfied with his prospects, and has been deceptive about his feelings. | 24. Lucy's fiancé, a young man who is dependent on his mother and has been engaged to Lucy for four years. He is described as affectionate, constant, and inclined toward the church. | 25. Elinor's former suitor, who is expected to be in London in February and will likely meet the Dashwood family. | 33. A gentleman who is engaged to be married to Miss Morton. He has a mother, Mrs. Ferrars, who will provide him with a substantial fortune if the marriage takes place. | 34. A young man who is engaged to Lucy Steele but living with his mother, Mrs. Ferrars. | 35. A young man secretly engaged to Lucy Steele, though he is in love with Elinor Dashwood. He is kind-hearted but conflicted, torn between his secret engagement and his true feelings for Elinor. He is embarrassed by the awkward situations he finds himself in with both women. | 36. Robert Ferrars's brother, who is described as shy and awkward in society | 38. A young man who has been engaged to Lucy Steele but faces opposition from his family. He is portrayed as principled, devoted to Lucy, and willing to sacrifice his own comfort for her sake. | 39. A young man who has been cast off by his family for marrying a woman they disapprove of. He is to take orders and will receive the living at Delaford through Colonel Brandon's intervention. | 40. Engaged to Lucy Steele, he is offered a living at Delaford by Colonel Brandon. He is surprised and grateful for the offer. | 47. A man who had been engaged to Lucy Steele but later married her instead, causing distress to his family | 48. A young man who was previously engaged to Elinor Dashwood but has secretly married Lucy Steele. He is visibly agitated and ashamed upon arriving at the Dashwood household, clearly distressed by his situation. He appears nervous, stammering when speaking to Mrs. Dashwood and seems uncomfortable with his reception. | 50. Son of Mrs. Ferrars, engaged to Elinor Dashwood and later married to her. Initially feared his health would not allow him to live, but eventually secured his marriage with Elinor's consent.
	John Dashwood	Alex	male	33. Elinor and Marianne's brother, who is described as having a comfortable income but being financially strained. He shows interest in his sisters' welfare and is eager to introduce himself to their friends. | 34. Husband of Mrs. John Dashwood and brother to the Dashwood sisters, who is concerned about his wife's social standing. | 36. Elinor and Marianne's brother, married to Mrs. John Dashwood | 37. The brother of Fanny and Mrs. Ferrars, who is concerned about his wife's reaction to the news. | 41. Elinor's brother who is married to Fanny. He is concerned about his mother's reaction to Edward's engagement and tries to keep the news secret. | 50. Elinor and Marianne's brother, who married Fanny. He is concerned with social status and encourages his wife to promote the marriage between Colonel Brandon and Marianne.
	Mr. Dashwood	Michael	male	2. The husband of Mrs. John Dashwood and father of Harry. He is kind-hearted but somewhat naive, having made a promise to his late father to assist his widow and daughters. He is influenced by his wife's concerns about their financial security. | 49. Elinor and Marianne's father, who wrote a letter expressing his views on the situation with Lucy and Robert.
	Mr. Donavan	Fenrir	male	37. A doctor who is called to examine the child and later discusses the news of Edward's engagement.
	Mr. Edward Ferrars	Lewis	*male	37. A young man engaged to Lucy Steele, whose secret engagement is revealed in this chapter.
	Mr. Harris	Eric	*male	43. The apothecary who visits Marianne daily and provides medical treatment. He is optimistic about her recovery but also acknowledges the seriousness of her condition.
	Mr. John Dashwood	Nicola	male	1. Son of Mr. Henry Dashwood and heir to the Norland estate, though it was left in trust for his son. He is described as not ill-disposed but cold-hearted and selfish. | 5. Mrs. Dashwood's son and Edward's husband, who expresses regret about his mother's move but seems unwilling to provide financial assistance.
	Mr. Palmer	Puck	male	19. The husband of Charlotte Palmer, described as a grave looking young man who is self-possessed and uncommunicative. He shows little interest in social interaction, reading the newspaper throughout his visit. | 20. Mrs. Palmer's husband, who is described as ill-natured and ill-bred. He appears to be deliberately disagreeable for the sake of seeming superior, and is often sarcastic or abusive toward others including his wife. | 26. Charlotte's husband, who is mentioned as being in London and expected to see the Dashwood sisters. He has a good relationship with his mother-in-law Mrs. Jennings. | 27. Mrs. Palmer's husband and Lady Middleton's son, who avoids showing attention to his mother-in-law. He makes a brief appearance at the ball and seems surprised to see the Dashwood sisters in London. | 36. Thomas Palmer's husband, who believes all infants look alike | 37. Mrs. Palmer's husband, whose wife is recovering from an illness. | 38. A person who is mentioned as someone Mrs. Jennings might ask for help with recommending Edward to. | 39. Charlotte's husband, who makes a polite invitation to the Dashwood sisters to join them in Cleveland. He has improved his manners toward Marianne since her unhappiness. | 42. Charlotte's husband, who arrives at Cleveland late in the day. He is described as a gentleman but with flaws including conceit and selfishness. | 43. Mrs. Palmer's husband who reluctantly leaves Cleveland to join his wife.
