	narrator	Adam	male	Story narrator
	Carver	Santa	male	1. Explorer who described Nadowessie (Sioux) hunting methods and noted their use of dogs | 4. Explorer who met Omaha hunting parties on Minnesota river in 1766
	Lewis	Michael	male	1. Explorer who documented Siouan Indians' use of dogs for draft and burden
	Long	Lewis	male	1. Explorer whose naturalists found horses in use among Kansa and other tribes
	Mr Dorsey	George	*male	3. Scholar who conducted treatises on Siouan peoples and their organization, referenced as a source for information about tribal structures
	Powell	Echo	male	1. Scholar who explained the four stages of development in mythologic philosophy | 5. An ethnologist who formulated the fundamental principles of tribal organization through kinship and whose work is cited throughout the chapter as a primary source for understanding American Indian sociology.
	Trumbull	Omega	male	1. Writer who documented the origin of the term 'Sioux' as a corruption expressing enmity or contempt
	*Absaruke	Eric	*male	4. Indigenous people who were known as Crow by Hidatsa but whose name meant hawk
	*Allen	Fenrir	male	1. Scholar who demonstrated the spread of buffalo eastward across Appalachians
	*American Horse	Kumo	*male	4. Dakota chief and warrior, prominent leader during the Dakota Wars of 1862
	*Asiniboin	Alex	male	2. A Siouan Indian tribe primarily located in Canada, part of the broader Siouan group discussed in the chapter | 4. Indigenous people who seceded from the Yanktonai and took refuge among rocks of Lake-of-the-Woods
	*Blackbird	Liam	*male	4. Omaha chief who died during the smallpox epidemic of the late 18th century
	*Bourgmont	Fenrir	*male	4. French explorer who mentioned a large village of Quans in 1723
	*Brown	Lewis	*male	4. Explorer who described Osage and Kansa in 1817
	*Buffalo	Omega	*male	2. A geologically recent animal that was central to Siouan hunting practices and migration patterns, described as a key factor in Siouan habitat expansion
	*Caddoan	Puck	*male	2. A neighboring warlike tribe that held back Siouan expansion across the plains, mentioned as an alien huntsmen group
	*Cassa Tate	Psi	*male	6. A figure mentioned in relation to a tomahawk depicted on an illustration, possibly a historical or cultural reference.
	*Catlin	Psi	male	1. Artist who visited Siouan territory and documented their use of dogs as sacred animals | 4. Explorer who found Oto and Missouri together in Pawnee country in 1833
	*Charlevoix	Santa	*male	4. French explorer who fixed Oto habitat in 1721
	*Chauvignerie	Puck	*male	4. French explorer who located Asiniboin south of Ounipigan lake in 1736
	*Clark	Nicola	male	1. Explorer who documented Siouan Indians' use of dogs for draft and burden
	*Crazy Horse	Onyx	*male	4. Dakota warrior and chief, famous for his resistance to U.S. government policies
	*Croghan	Eric	*male	4. Historian who wrote about the Sue Indians and Dakota tribes in the 18th century
	*Crow	Psi	*male	4. Indigenous people who occupied the Black Hills region before Dakota tribes | 4. Indigenous people who separated from Hidatsa in the 18th century
	*De l'Isle	Psi	*male	4. French explorer who placed the principal Acansa village on Arkansas river in 1700
	*De Soto	Puck	*male	4. Spanish explorer who encountered the Kwapa in 1541
	*Delaware	Alex	*male	4. Indigenous people who were also known as Lenni-Lenape
	*Dorsey	Eric	male	1. Scholar who made critical examination of Catawba material and compared it with Dakota dialects, later studied Siouan Indians closely | 4. Historian who collected tribal traditions and visited various tribes in the 19th century
	*Drake	George	*male	4. Explorer who estimated Asiniboin population at 10,000 before smallpox epidemic
	*Dupratz	Psi	*male	4. Explorer who mentioned Oto as a small nation on Missouri river in 1758
