	narrator	Adam	male	Story narrator
	Author of the chapter	Liam	*male	4. The narrator who planned and conducted archaeological field work in Arizona
	Hopi Indians	Fable	*male	5. Indigenous people who claim ancestral connection to the Verde valley ruins and recognize kinship with Patki people
	Jesse Walter Fewkes	Echo	male	1. Author of the archaeological expedition report, conducting research in Arizona in 1895
	Whipple	Michael	*male	4. One of the authors who described Leroux's discoveries of Verde valley ruins in 1855
	Patki people	Nicole	*female	5. Hopi clan who migrated from the Colorado Chiquito region to Tusayan and Zuñi, with descendants still recognizing ancient kinship
	tokonaka	Nicola		
	*Alosaka	Fenrir	*male	2. A shrine or religious figure, likely male
	*Antoine Leroux	Santa	*male	4. A celebrated guide and trapper who discovered the ruins of Verde valley in 1854
	*Apache Mohave	Echo	*male	5. Nomadic people who occupied caves and used pictographs in the region, often leaving traces of their presence in ruins
	*Awatobi	Eric	*male	2. A ruin or settlement, likely named after a male figure | 5. Ruins where similar pottery and architectural features were found
	*Bear	Psi	*male	5. Hopi clan who inhabited Tusayan before the arrival of southern colonists
	*Beaver creek	Nicola	*male	2. A geographical location, likely named after a male figure | 5. River tributary in Verde valley where ruins were found
	*Beaver Head	Daniel	*male	5. Location in Verde valley where archaeological work was conducted
	*Camp Verde	Fable	*male	5. Location in Verde valley where archaeological work was conducted
	*Canyon de Tségi	Lewis	*male	5. Location in northern New Mexico where similar cliff houses were found
	*Carlo Traverso	Omega	male	1. Participant in the archaeological expedition to Arizona in 1895, listed as one of the producers of the work
	*Casa Montezuma	Lewis	*male	5. Cliff house in Beaver creek with architectural features similar to Honanki
	*Castañeda	Alex	*male	5. Historian who documented the Coronado expedition and described kiva forms in eastern pueblos during the 16th century
	*Cavate	Alex	*male	2. A people or group of indigenous inhabitants, likely male based on cultural context
	*Chelly	George	*male	5. Location in northern New Mexico where similar cliff houses were found
	*Cliff Palace	George	*male	5. Architectural monument in Mesa Verde with similar features to Honanki
	*Cliff ranch	Psi	*male	2. A geographical location, likely named after a male figure
	*Cliff's ranch	Michael	*male	5. Ranch in Verde valley where pictographs were found
	*Collector	Fenrir	*male	8. A person who collected specimens for the United States National Museum catalog
	*Colorado Chiquito	Kumo	*male	5. River system where similar pottery and architectural features were found
	*Cosmos Mindeleff	Puck	*male	4. Ethnologist of the Bureau of American Ethnology who examined Homolobi ruins in 1893 | 5. Archeologist who provided excellent descriptions of cavate dwellings in the Verde valley region and contributed to the classification of ruins types
	*Court-house butte	Omega	*male	5. Geographic landmark in Verde valley with pictographs and ruins
	*Cushing	Kumo	*male	5. Scholar who provided evidence that some ancestors of the Zuñi population came from the south and southwest
	*Dr Hoffman	George	*male	5. Scholar who provided a brief description of Montezuma Well in 1877 and correctly identified its geological formation
	*Dr Mearns	Lewis	*male	5. Scholar who wrote about ancient dwellings in Verde valley but did not mention Montezuma Well
	*Erwin Baer	Onyx	male	3. Photographer from Prescott, Arizona who accompanied the expedition and documented their work
	*Everett Howell	Liam	*male	4. Amateur explorer from Flagstaff who reported finding cliff towns and a tunnel excavation in 1896
	*Ewbank	Fenrir	*male	4. One of the authors who described Leroux's discoveries of Verde valley ruins in 1855
	*F. D. Bickford	Alex	*male	4. Leader of a portion of Colonel James Stevenson's expedition in 1884 who examined cliff houses in Walnut canyon
	*F. W. Hodge	Michael	male	3. Scientific collaborator who joined the expedition at Sikyatki and remained until its end, assisting with excavations and helping collect beautiful pottery specimens
	*Flagstaff	Nicola	*male	4. Arizona town where George Campbell and Everett Howell made their discoveries | 5. Location in Verde valley where archaeological work was conducted
	*G. Brown Goode	George	male	3. Late doctor who suggested the expedition to Fekes and urged him to undertake it
	*G. P. Winship	Psi	male	3. Librarian of the John Carter Brown Library at Providence who visited the camp and provided important aid to the expedition
	*George Campbell	Echo	*male	4. Amateur explorer from Flagstaff who reported finding cliff towns and a tunnel excavation in 1896
	*Gila	Fenrir	*male	5. River system where similar pottery and architectural features were found
	*Hance's ranch	Psi	*male	5. Ranch in Verde valley where pictographs were found
	*Hano	Daniel	*male	5. Pueblo on Tusayan mesa with ruins that may have had similar population to cliff houses
	*Honanki	Santa	*male	2. A ruin or settlement, likely named after a male figure
	*Horn	Michael	*male	5. Hopi clan who inhabited Tusayan before the arrival of southern colonists
	*J. W. Powell	Omega	*male	4. Major who joined Colonel Stevenson in 1886 to find scattered ruins north of San Francisco mountains
	*Jacob's Well	Nicola	*male	5. Geological formation in Verde valley similar to Montezuma Well
	*James S. Judd	Nicola	male	3. Volunteer assistant who aided in managing the camp and provided assistance during the Sikyatki expedition
	*James Stevenson	Fable	*male	4. Colonel who led an expedition in 1884 and later in 1886 to explore ruins near San Francisco mountains
	*Jesse Walter Fekes	Liam	male	3. The author and leader of the archaeological expedition to Arizona in 1895, responsible for collecting artifacts and writing about the findings
	*Kanelba trail	George	*male	2. A geographical location, likely named after a male figure
	*Kwataka	Eric	*male	2. A mythological or religious figure, likely male
	*Küküchomo	Puck	*male	2. A ruin or structure, likely named after a male figure or leader
	*L. Sitgreaves	Kumo	*male	4. Captain who explored Zuñi and Little Colorado rivers in 1852 and reported on ruins near the cascades
	*Little Colorado	Daniel	*male	4. River where ruins were found by Sitgreaves and later explorers | 5. River system where similar pottery and architectural features were found
	*Lloyd	Fenrir	*male	5. Individual who lived in the Red-rock country over a winter, dug a well, and erected a corral
	*Lloyd canyon	Echo	*male	5. Canyon in Red-rock country where archaeological work was conducted
	*Man-eagle	Kumo	*male	2. A mythological figure combining human and eagle traits, male
	*Mancos canyon	Onyx	*male	5. Location in southern Colorado where similar cliff houses were found
	*Mearns	Onyx	*male	4. Scholar whose classifications of ruins were incomplete regarding Red-rock country cliff houses
	*Mogollones	Onyx	*male	5. Geographic region in Verde valley where archaeological work was conducted
	*Montezuma	Kumo	*male	2. A person or deity associated with ruins and dwellings, likely male
	*Montezuma Well	Onyx	*male	2. A geographical location, likely named after a male figure | 4. Natural feature in Beaver creek, an affluent of Rio Verde, where archaeological exploration was limited | 5. Geological formation in Verde valley with unique crater-like characteristics and ancient ruins
	*Mountain lion	Omega	*male	2. An animal, likely male based on common naming conventions
	*Mountain sheep	Alex	*male	2. An animal, likely male based on common naming conventions
	*Mr Cosmos Mindeleff	Eric	*male	5. Archeologist who provided excellent descriptions of cavate dwellings in the Verde valley region and contributed to the classification of ruins types
	*Mr Schürmann	Santa	*male	5. Rancher who provided hospitality and information about the Red-rock country ruins, including directing attention to Honanki
	*Navaho Springs	Psi	*male	4. Location where the magnificent Pueblo Grande or Kintiel ruins are situated | 5. Location in Verde valley with similar geological features to Montezuma Well
	*Nordenskiöld	Puck	*male	5. Scholar who wrote about cliff dwellings in southern Colorado and described kiva features, including the theory of circular kivas being survivals from nomadic dwellings
	*Oak creek	Daniel	*male	2. A geographical location, likely named after a male figure | 5. River tributary in Verde valley where cliff houses and ruins were found
	*Palatki	George	*male	2. A ruin or settlement, likely named after a male figure
	*Palülükoñ	Nicola	*male	5. Mythic Plumed Serpent figure in Hopi folklore associated with Montezuma Well
	*Patki	Santa	*male	5. Hopi clan who migrated from the Colorado Chiquito region to Tusayan and Zuñi, with descendants still recognizing ancient kinship
	*Plumed serpent	Fable	*male	2. A mythological figure, likely male
	*Red-rock country	Alex	*male	5. Geographic region in Verde valley with distinctive cliff houses and geological features
	*Red-rocks	Daniel	*male	2. A geographical location, likely named after a male figure
	*Rio Grande	Puck	*male	5. River system where cliff houses are absent according to the text
	*Rio Verde	Onyx	*male	2. A geographical location, likely named after a male figure | 4. River that traverses the fertile valley and connects Gila pueblos with Tusayan ruins | 5. River in Verde valley where ruins and archaeological sites were located
	*S. Goddard	Daniel	male	3. Resident of Prescott, Arizona who served as cook and driver for the expedition party
	*S. P. Langley	Lewis	male	3. Secretary of the Smithsonian Institution who provided opportunity for the archaeological study of Tusayan ruins
	*Salado	Eric	*male	5. River system where similar pottery and architectural features were found
	*San Bernardino de Awatobi	Santa	*male	2. A ruin or settlement, likely named after a male figure
	*San Juan	Santa	*male	5. River system in northern New Mexico where similar cliff houses were found
	*Schürmann's ranch	Liam	*male	5. Ranch in Verde valley where archaeological work was conducted
	*Sikyatki	Fenrir	*male	2. A ruin or settlement, likely named after a male figure | 5. Ruins where similar pottery and architectural features were found
	*Snake	Liam	*male	5. Hopi clan who inhabited Tusayan before the arrival of southern colonists
	*Temple canyon	Nicola	*male	2. A geographical location, likely named after a male figure | 5. Canyon in Red-rock country where archaeological work was conducted
	*Transcriber	Eric	*male	10. A person responsible for editing and correcting text, ensuring consistency in spelling and punctuation while preserving original content.
	*Turner	Eric	*male	4. One of the authors who described Leroux's discoveries of Verde valley ruins in 1855
	*Tusayan	Lewis	*male	2. A people or group of indigenous inhabitants, likely male | 5. Region where Tusayan Indians inhabit and whose ancestors may have migrated from the Verde valley ruins
