	narrator	Adam	male	Story narrator
	Aleck Hopkins	Eric	*male	3. A boy who hides on the raft to get a ride. He claims to be from a trading scow and tells a story about his father wanting to speak with Mr. Jonas Turner in Cairo.
	Alexander Mackay	Michael	male	27. English barrister who visited the Mississippi later, describing it with reverence and admiration
	Barkeeper	Lewis	*male	33. A thoughtful and observant employee who works at a steamboat bar. He is described as never drinking, endeavoring to earn his salary, and providing drinks for passengers. He has strong opinions about local customs and the behavior of people along the river. | 37. One of the seventeen persons killed in the explosion on the steamer 'Gold Dust', identified by occupation
	Bob	Nicola	*male	3. A raftsman who is known as 'Sudden Death and General Desolation' due to his fierce appearance and violent temper. He is described as a large, intimidating man.
	Brown	Santa	male	18. Middle-aged, long and slim with a bony, smooth-shaven face resembling a horse. A tyrannical pilot known for his malicious, fault-finding nature and stinginess. He was extremely critical of his apprentice, often inventing faults to criticize him. | 19. A pilot on duty who is described as deaf but pretending to hear, condescending toward under clerks, and prone to violence. He is the antagonist who provokes conflict with the narrator. | 20. Pilot of the 'Pennsylvania' steamboat, who was never seen or heard of after the explosion. He was aboard the boat during the disaster and died in the blast.
	Captain	Fable	*male	5. The leader of the steamboat 'Paul Jones' who has a familial relationship with the narrator. He is authoritative and commanding, though not explicitly described in detail beyond his role. | 7. The ship's captain who emerges from his drawing room to inquire about landing. He is described as being of high rank compared to the pilots, though his authority appears limited in practical navigation decisions. | 15. The captain of the 'Aleck Scott,' described as nervous and apprehensive. He shouts for steam when in danger but is easily criticized by Mr. Bixby, who ignores his pleas. | 26. A man who was present during the feud incident and witnessed a killing | 37. One of the forty-seven persons wounded in the explosion on the steamer 'Gold Dust', identified by rank | 45. A steamboat captain who invites ladies to board his vessel for a trip
	Captain ----	Fenrir	*male	15. A captain who initially derides the Pilots' Benevolent Association but later has to hire an association pilot after his own non-association pilot refuses to work with him.
	Captain Basil Hall	Eric	male	27. British naval captain who visited the Mississippi in 1827, described as having seen the river at flood-stage and feeling deeply impressed by its grandeur | 60. British traveler whose 'Travels in North America' caused strong negative reaction in the United States
	Captain Hardy	Nicola	male	13. A captain of the ship 'Sunflower' who died from lockjaw after getting a nail in his foot, and whose brother also died of erysipelas.
	Captain Klinefelter	Michael	male	19. The captain of the steamboat who confronts Brown and the narrator after the incident. He is described as fatherly and indulgent but stern when faults are serious. | 20. The captain of the 'Pennsylvania' who was in a barber's chair getting shaved during the explosion. He survived unharmed but was left with his back overhanging vacancy after the boat's destruction.
	Captain McCord	Daniel	*male	32. The ship's captain who interacts with the narrator about going ashore at Napoleon
	Captain Montgomery	Santa	male	49. A former pilot who became captain of the Confederate fleet in the battle before Memphis. Known for his cool demeanor and serenity even in dangerous situations.
