well I was planning that the creation of the FileName	gender	Voice	model	OverallProfileScore	OverallProfileWords	EmotionalToneScore	EmotionalToneWords	WarmthScore	WarmthWords	CalmScore	CalmWords	HappinessScore	HappinessWords	SadnessScore	SadnessWords	SophisticationScore	SophisticationWords	ClarityScore	ClarityWords	SmoothnessScore	SmoothnessWords	EnergyScore	EnergyWords	ConfidenceScore	ConfidenceWords	NarratorFitScore	NarratorFitWords	CharacterActingDramaScore	CharacterActingDramaWords	FemininePresentationScore	GenderPresentationWords	EstimatedAgeMin	EstimatedAgeMax	AgeRangeWords	AgeConfidenceScore	VoiceTextureWords	BestCharacterFit	LessIdealFor	OneSentenceImpression	SuggestedVoiceTestSentence
female_Sky_kokoro.wav	female	Sky	kokoro	8	"Smooth, calm, feminine, polished, gentle, clear, composed, mildly warm, slightly sophisticated, narrator-like"	6	"Neutral-to-positive, reassuring, thoughtful, controlled, not deeply sad or highly excited"	7	"Gentle warmth, trustworthy, soft but not overly sentimental"	9	"Very calm, steady, relaxed, composed"	4	"Slightly positive, but not cheerful or playful"	2	Not strongly sad; only lightly reflective	7	"Moderately sophisticated, educated, polished, careful"	9	Very clear articulation and clean delivery	9	"Very smooth, little rasp or breathiness"	4	"Medium-low energy, relaxed rather than dramatic"	7	"Confident in a controlled narrator way, not bold or forceful"	8	"Strong fit for audiobook narration, calm assistant, reflective guide, thoughtful heroine"	3	"Less suited for high-drama, anger, villainy, gritty realism, or comic exaggeration"	9	Feminine-presenting voice	25	39	"Young adult to adult, roughly mid-20s to late-30s"	6	"Smooth, clean, polished, audiobook-like, lightly AI-narrator feel"	Gentle narrator; calm assistant; thoughtful young woman; fairy-tale guide; kind teacher; reflective heroine	Angry villain; gritty survivor; elderly character; wild comic relief; emotional breakdown	"This voice sounds like a calm young woman telling you something important, with enough warmth to feel trustworthy and enough polish to feel like a professional narrator."	"I know the path ahead looks uncertain, but sometimes the quietest choices are the ones that change everything."
female_Alloy_kokoro.wav	female	Alloy	kokoro	8	"Calm, composed, clear, low-pitched feminine/neutral, professional, steady, thoughtful, restrained, polished, slightly serious"	5	"Neutral and controlled, with a mild serious tone; not strongly emotional, cheerful, or sad"	5	Moderate warmth; approachable but more professional than tender	8	"Very calm, steady, measured, and composed"	3	"Slightly positive but not bright, playful, or cheerful"	2	Not strongly sad; only faintly reflective or serious	8	"Polished, mature, professional, articulate, and controlled"	9	Very clear delivery with strong intelligibility	8	"Smooth and clean, with a slightly firmer texture than a soft narrator voice"	4	Medium-low energy; calm and measured rather than animated	8	"Confident in a composed, matter-of-fact way"	8	"Strong fit for professional narration, calm guide, serious assistant, teacher, or grounded story narrator"	3	"Less suited for playful comedy, high excitement, intense grief, wild fantasy characters, or highly emotional drama"	7	Feminine-presenting with a slightly androgynous or mature lower-tone edge	30	45	"Adult voice impression, roughly 30s to mid-40s"	5	"Smooth, clean, controlled, lower-toned, professional, lightly serious"	Professional narrator; calm assistant; thoughtful teacher; serious guide; composed heroine; documentary-style speaker	Childlike character; bubbly comic relief; elderly character; angry villain; intense emotional breakdown	"This voice sounds like a composed adult woman or feminine-presenting narrator who speaks with calm confidence, professional clarity, and a slightly serious emotional restraint."	There are moments when silence tells the truth more clearly than any answer we were brave enough to give.
female_Bella_kokoro.wav	female	Bella	kokoro	8	"Bright, feminine, youthful, clear, friendly, warm, lightly playful, polished, expressive, storybook-like"	7	"Positive, friendly, gently expressive, lightly cheerful; more emotionally open than serious"	8	"Warm, approachable, kind, inviting, slightly sweet without sounding overly sentimental"	7	Calm but not flat; relaxed with a little more animation than a strict narrator voice	6	"Noticeably pleasant and lightly cheerful, but not exaggerated or cartoonishly happy"	1	Very little sadness; only capable of light tenderness or reflective softness	6	"Polished and articulate, but more friendly and youthful than formal or sophisticated"	9	Very clear delivery with strong intelligibility and clean articulation	8	"Smooth and clean, with a brighter, higher-toned texture"	6	"Medium energy; more lively than Sky or Alloy, but still controlled"	7	"Confident in a friendly and natural way, not forceful or authoritative"	8	"Strong fit for warm narration, youthful story narration, gentle fantasy narration, or friendly assistant voice"	5	"Moderate fit for character acting; better for warm, young, kind, curious, or lightly playful roles than intense drama"	9	Strongly feminine-presenting voice	20	35	"Young adult to adult, roughly early-20s to mid-30s"	6	"Bright, smooth, clean, youthful, lightly sweet, polished, expressive"	Warm young narrator; kind heroine; fairy-tale guide; friendly assistant; gentle teacher; curious young woman	Elderly character; stern authority figure; gritty villain; tragic grief scene; rough survivor; deep mature narrator	"This voice sounds like a bright, kind young woman who can make narration feel warm, friendly, and emotionally accessible without becoming overly dramatic."	"I tried to sound certain, but the moment I smiled, everyone could tell I still believed in impossible things."
female_Jessica_kokoro.wav	female	Jessica	kokoro	8	"Clear, feminine, expressive, polished, youthful-adult, composed, warm, slightly dramatic, narrator-friendly, emotionally flexible"	7	"More emotionally present than flat; gentle, expressive, slightly earnest, with a controlled dramatic quality"	7	"Warm and approachable, but not overly sweet; feels kind, human, and attentive"	7	"Generally calm and controlled, though with more vocal movement than Sky or Alloy"	5	"Lightly positive and pleasant, but not bubbly or comic"	2	Not strongly sad; only lightly reflective or tender	7	"Polished and articulate, with a composed adult narrator quality"	9	Very clear delivery with strong intelligibility and clean pronunciation	8	"Smooth and clean, with a slightly expressive pitch shape"	6	"Medium energy; livelier than Sky or Alloy, close to Bella but a little less bright"	7	"Confident in a natural, emotionally aware way, not forceful or stern"	8	"Strong fit for audiobook narration, reflective narration, gentle character narration, and emotionally accessible storytelling"	5	"Moderate character-acting fit; useful for sincere, warm, thoughtful, or slightly dramatic roles, less for extreme emotion"	9	Strongly feminine-presenting voice	22	38	"Young adult to adult, roughly early-20s to late-30s"	6	"Smooth, clear, expressive, polished, feminine, emotionally flexible, slightly dramatic"	Warm narrator; sincere heroine; thoughtful young woman; emotional guide; kind teacher; reflective fantasy character	Elderly character; harsh villain; rough survivor; wild comic relief; very stern authority figure	"This voice sounds like a clear and emotionally aware young woman who can make narration feel warm, sincere, and slightly dramatic without becoming exaggerated."	"I tried to keep my voice steady, but the truth had already found a way to tremble through every word."
female_Nicole_kokoro.wav	female	Nicole	kokoro	8	"Mature, calm, feminine, composed, lower-toned, thoughtful, polished, steady, serious, professional, narrator-like"	5	"Neutral-to-serious, measured, reflective, emotionally restrained; not cheerful or highly dramatic"	5	"Moderate warmth; trustworthy and grounded, but more composed than tender or sweet"	9	"Very calm, slow, steady, controlled, and unhurried"	2	"Low happiness impression; not playful, bright, or bubbly"	3	"Slightly somber or reflective, but not deeply sad"	8	"Polished, mature, articulate, professional, and slightly formal"	9	Very clear delivery with strong intelligibility and clean pronunciation	8	"Smooth and clean, with a lower, firmer adult texture"	3	Low-to-medium energy; deliberate and controlled rather than animated	8	"Confident in a calm, composed, adult way"	9	"Very strong fit for mature narration, reflective storytelling, documentary narration, wise guide, or composed mentor voice"	4	"Moderate-low character drama fit; better for serious, wise, calm, or grounded roles than emotional extremes"	8	Feminine-presenting with a mature lower-tone edge; slightly androgynous at moments	35	55	"Adult to mature adult, roughly mid-30s to mid-50s"	5	"Lower-toned, smooth, clean, measured, mature, composed, lightly serious"	Mature narrator; wise mentor; calm teacher; composed mother figure; documentary speaker; serious queen or advisor	Young bubbly heroine; child character; comic relief; frantic action scene; intense grief scene; wild fantasy villain	"This voice sounds like a composed mature woman who speaks with calm authority, reflective restraint, and the kind of steadiness that makes a story feel grounded and trustworthy."	I have learned that some doors do not close loudly; they simply wait for us to stop reaching for the handle.
female_River_kokoro.wav	female	River	kokoro	8	"Low-toned, calm, composed, grounded, smooth, intelligent, reflective, slightly serious, polished, narrator-friendly, lightly androgynous"	6	"Neutral-to-reflective, controlled, thoughtful, mildly serious; not cheerful, playful, or deeply sad"	6	"Moderate warmth; trustworthy and approachable, but more grounded than sweet or tender"	8	"Very calm, steady, measured, and emotionally controlled"	3	"Low happiness impression; pleasant but not bright, bubbly, or playful"	3	"Lightly somber or reflective, but not strongly sad"	8	"Sophisticated, articulate, mature, polished, and slightly intellectual"	9	Very clear delivery with strong intelligibility and clean pronunciation	8	"Smooth and clean, with a lower-toned firm texture"	4	Medium-low energy; controlled and steady rather than animated	8	"Confident in a quiet, composed, serious way"	8	"Strong fit for audiobook narration, reflective storytelling, serious guide, mystery narration, calm assistant, or thoughtful heroine"	4	"Moderate-low character drama fit; better for calm, serious, mysterious, or intelligent roles than exaggerated emotion"	7	Feminine-presenting with a lower-pitched androgynous edge	28	45	"Adult voice impression, roughly late-20s to mid-40s"	5	"Lower-toned, smooth, clean, composed, reflective, polished, lightly serious"	Reflective narrator; calm guide; serious heroine; mystery storyteller; thoughtful advisor; composed assistant	Child character; bubbly comic relief; frantic action scene; high-cheerfulness role; elderly character; wild villain	"This voice sounds like a composed, thoughtful woman with a grounded and slightly mysterious quality, well suited for narration that should feel calm, intelligent, and emotionally restrained."	Some truths do not arrive like thunder; they move quietly through the room until every shadow knows their name.
female_Aoede_kokoro.wav	female	Aoede	kokoro	8	"Soft, lyrical, feminine, gentle, clear, youthful-adult, warm, smooth, slightly wistful, storybook-like, polished"	7	"Emotionally present, tender, reflective, lightly hopeful, expressive without sounding exaggerated"	8	"Warm, kind, inviting, gentle, softly reassuring, slightly sweet"	8	"Calm and steady, with a smooth flowing delivery rather than a flat or mechanical feel"	5	"Mildly positive and pleasant, but not bubbly, comic, or highly cheerful"	3	"Lightly wistful or tender, but not deeply sad or tragic"	7	"Polished, graceful, articulate, and slightly elegant; more storybook than corporate"	9	Very clear delivery with strong intelligibility and clean pronunciation	8	"Smooth and clean, with a soft mid-to-higher feminine tone"	5	Medium-low to medium energy; gentle movement without becoming animated	7	"Confident in a soft, composed, emotionally aware way"	8	"Strong fit for gentle audiobook narration, fairy-tale narration, reflective storytelling, or warm character narration"	5	"Moderate character-acting fit; best for tender, sincere, magical, thoughtful, or emotionally gentle roles"	9	Strongly feminine-presenting voice	22	38	"Young adult to adult, roughly early-20s to late-30s"	6	"Soft, smooth, lyrical, clean, warm, lightly wistful, polished, storybook-like"	Fairy-tale narrator; gentle heroine; kind guide; reflective young woman; warm teacher; magical companion	Angry villain; gritty survivor; stern authority figure; elderly character; wild comic relief; intense grief scene	"This voice sounds like a gentle young woman with a lyrical, storybook quality, able to make narration feel warm, reflective, and quietly emotional."	I did not know the stars could sound lonely until one of them whispered my name from the dark.
female_Heart_kokoro.wav	female	Heart	kokoro	9	"Warm, feminine, clear, gentle, friendly, smooth, emotionally open, kind, youthful-adult, polished, reassuring, storybook-like"	8	"Positive, tender, emotionally available, lightly hopeful, sincere, warm-hearted without sounding exaggerated"	9	"Very warm, inviting, kind, gentle, affectionate, trustworthy, softly comforting"	7	"Calm and controlled, but with enough emotional lift to avoid sounding flat"	6	"Pleasant and lightly cheerful, with a soft optimistic feeling rather than bubbly comedy"	1	Very little sadness; more tender and hopeful than somber	7	"Polished, articulate, graceful, and narrator-friendly, but warmer than formal"	9	Very clear delivery with strong intelligibility and clean pronunciation	9	"Very smooth and clean, with a soft rounded feminine texture"	6	"Medium energy; expressive and alive, but still controlled and audiobook-safe"	7	"Confident in a kind, emotionally sincere way, not forceful or stern"	9	"Very strong fit for warm audiobook narration, gentle fantasy narration, kind character narration, and emotionally accessible storytelling"	6	"Good character-acting fit for sincere, kind, loving, hopeful, innocent, or emotionally open roles; less suited for harsh extremes"	9	Strongly feminine-presenting voice	21	36	"Young adult to adult, roughly early-20s to mid-30s"	6	"Soft, smooth, warm, clear, rounded, polished, gentle, lightly bright, emotionally sincere"	Warm narrator; kind heroine; gentle guide; loving sister; fairy-tale companion; hopeful young woman; caring teacher	Angry villain; gritty survivor; stern authority figure; elderly character; sarcastic comic relief; intense rage scene	"This voice sounds like a kind young woman whose warmth and clarity make the listener feel safe, understood, and gently pulled into the story."	"I kept my promise close to my heart, because even in the dark, it was the one thing that still knew how to shine."
female_Kore_kokoro.wav	female	Kore	kokoro	8	"Low-toned, composed, feminine, calm, mature, clear, polished, intelligent, restrained, slightly serious, grounded, narrator-friendly"	6	"Neutral-to-serious, controlled, thoughtful, emotionally restrained, with a cool reflective quality rather than strong joy or sadness"	5	"Moderate warmth; trustworthy and approachable, but more composed and serious than soft or affectionate"	8	"Very calm, steady, measured, and emotionally controlled"	3	"Low happiness impression; pleasant enough but not bright, bubbly, or playful"	3	"Lightly somber or reflective, but not deeply sad or tragic"	8	"Sophisticated, articulate, mature, polished, and slightly intellectual"	9	Very clear delivery with strong intelligibility and clean pronunciation	8	"Smooth and clean, with a lower-toned firm feminine texture"	4	Medium-low energy; controlled and steady rather than animated	8	"Confident in a quiet, serious, composed way"	8	"Strong fit for reflective audiobook narration, serious guide, mystery narration, composed heroine, or mature assistant voice"	4	"Moderate-low character drama fit; better for calm, serious, intelligent, restrained roles than exaggerated emotion"	7	Feminine-presenting with a lower-pitched and slightly androgynous edge	28	46	"Adult voice impression, roughly late-20s to mid-40s"	5	"Lower-toned, smooth, clean, composed, polished, restrained, lightly serious, grounded"	Reflective narrator; serious heroine; calm guide; mystery storyteller; composed advisor; intelligent assistant	Child character; bubbly comic relief; frantic action scene; high-cheerfulness role; elderly character; wild villain	"This voice sounds like a composed, intelligent woman with a grounded and slightly serious quality, well suited for narration that should feel calm, controlled, and quietly authoritative."	"I did not raise my voice, because the truth did not need help finding its way into the room."
female_Nova_kokoro.wav	female	Nova	kokoro	8	"Low-toned, calm, clear, composed, polished, intelligent, grounded, professional, lightly warm, slightly serious, narrator-friendly"	6	"Neutral-to-positive, thoughtful, controlled, lightly serious, emotionally restrained but not cold"	6	"Moderate warmth; approachable and trustworthy, but more composed than sweet or affectionate"	8	"Very calm, steady, measured, and controlled"	4	"Mild positive quality, pleasant but not bubbly, playful, or highly cheerful"	2	Very little sadness; only lightly reflective or serious	8	"Polished, articulate, mature, professional, and slightly intellectual"	9	Very clear delivery with strong intelligibility and clean pronunciation	8	"Smooth and clean, with a lower-toned adult texture"	5	"Medium-low to medium energy; steady with some presence, but not highly animated"	8	"Confident in a calm, professional, quietly authoritative way"	8	"Strong fit for audiobook narration, serious guide, calm assistant, reflective narrator, or composed heroine"	4	"Moderate-low character drama fit; better for calm, intelligent, grounded, or serious roles than exaggerated emotion"	7	Feminine-presenting with a lower-pitched and slightly androgynous edge	28	44	"Adult voice impression, roughly late-20s to mid-40s"	5	"Lower-toned, smooth, clean, composed, polished, grounded, lightly serious, professional"	Reflective narrator; calm guide; professional assistant; serious heroine; intelligent advisor; mystery storyteller	Child character; bubbly comic relief; frantic action scene; high-cheerfulness role; elderly character; wild villain	"This voice sounds like a composed and intelligent adult woman whose calm clarity gives narration a grounded, professional, and quietly trustworthy feeling."	I did not need to chase the answer; it was already waiting in the silence between what we said and what we understood.
