	narrator	Adam	male	Story narrator
	base-ball players	Echo	*male	7. Athletes who play baseball and use oatmeal in their drinking water for health benefits
	DRAWERS	Fenrir	*male	4. A category of clothing items mentioned in the chapter, described as garments that should be loose and turned inside out to prevent chafing
	German officer	Lewis	*male	2. A military personnel from Germany who served in the Franco-Prussian war of 1870-1871 and carried a big cloak for water protection
	Irishman	Eric	*male	13. Character mentioned in the text who experienced frost-bite and said 'it was not the fall, but stopping so quickly, that hurt him'
	Jo. Harding	Puck	*male	11. A character mentioned as being full of plans to go on a walk to the White Mountains next summer and wanting to take the narrator with him
	medical men	Liam	*male	7. A group of people who provide medical advice and guidance on physical activities
	Mr. Hale	Daniel	male	12. The same person as Rev. Edward Everett Hale, who shares advice about walking and a story about sailing down the Connecticut River
	Mr. Simpson	Kumo	*male	11. A minister whose pup followed him into church
	PANTALOONS	George	*male	4. A category of clothing items mentioned in the chapter, described as loose trousers made of heavier cloth suitable for summer travel
	Rev. Edward Everett Hale	Fable	male	12. A religious figure who provides advice about walking and travel, known for his book 'How to Do It'
	SHIRTS	Alex	*male	4. A category of clothing items mentioned in the chapter, described as loose woollen shirts suitable for summer travel
	SHOES	Omega	*male	4. A category of clothing items mentioned in the chapter, described as requiring careful selection for comfort and protection during travel
	The author	Onyx	*male	8. The narrator and writer of the camping guide, providing instructions and advice on camp setup, comfort, and survival techniques. | 10. The writer of the travel and camping guide, providing advice on various outdoor activities including horseback riding, boating, navigation, and camp etiquette
	The old sea-captain	Michael	*male	10. An experienced sailor whose wisdom is quoted about boat safety and navigation
	young people	Santa	*male	2. A group of male youths who might consider camping out and hiking as a vacation activity | 6. A general reference to inexperienced cooks who make common mistakes like placing pots on burning wood and letting them boil over | 7. Travelers who are often ashamed to admit fatigue and may forget important rules about rest
	*Abel	Onyx	*male	11. A person whose shoe-factory caught fire and was mentioned in the diary
	*Ants	Lewis	*male	6. Insects that can get into food supplies in permanent camps
	*army	Eric	*male	5. Military forces that used the stove described in the chapter
	*Assistant	Echo	*male	9. Male person who helps with tent setup and construction
	*Bob	Alex	*male	3. Member of the party who curries the horse, oils axles, and cares for harness and wagon.
	*Campers	Daniel	*male	9. Male individuals who engage in camping activities and would benefit from the tent construction advice
	*Captain	Puck	male	3. Leader of the party, responsible for managing the group and making decisions. He oversees the horse and wagon, loading/unloading duties, and general oversight of the trip.
	*Cats	Echo	*male	6. Animals that can damage food supplies while camping or marching
	*comrades	Alex	*male	7. Travel companions who should be civil and gentlemanly to each other
	*Dogs	Liam	*male	6. Animals that can damage food supplies while camping or marching
	*Dr. Coues	Daniel	male	13. Author of the ornithology work, army officer with experience in field and garrison, naturalist and sportsman
	*Dr. Elliott Coues	Kumo	male	13. Author of 'Field Ornithology', U.S.A. naturalist and sportsman
	*farmers	Santa	*male	7. Country people who are important to travelers and should be treated with respect
	*Fishermen	Kumo	*male	9. Male individuals who preserve their sails by soaking them in various solutions
