	narrator	Adam	male	Story narrator
	The Navaho	Puck	*male	4. Indigenous people who occupied the canyon after the original inhabitants, used ruins for sheepfolds and built burial cists | 5. A Native American tribe mentioned in relation to the ruins of Canyon de Chelly, whose traditions support conclusions about the cliff ruins representing farming shelters rather than defensive structures. They are also mentioned as using similar sites for farming operations.
	The Pueblo people	George	*male	4. Indigenous people who built the ancient pueblo architecture, including cliff ruins and farming shelters
	Transcriber's Note	Lewis	*male	1. Editorial note about the transcription process
	Emma C. Hardacre	River	female	2. Author who published descriptions and illustrations in Scribner's Magazine for December, 1878
	*A. M. Stephen	Echo	*male	4. Scholar who collected material for Hopi traditions about De Chelly
	*Abbe Domenech	Liam	*male	2. Author who published 'Deserts of North America' containing reference to Casa Blanca ruin
	*Bancroft	Santa	*male	6. H. H. Bancroft, who described cliff ruins
	*Beadle	Lewis	*male	6. J. H. Beadle, who visited Canyon de Chelly
	*Bickford	Onyx	*male	6. F. T. Bickford, who described cliff ruins
	*Birdsall	Omega	*male	6. W. R. Birdsall, who described cliff ruins
	*bowlder	Fable	*male	7. A person mentioned in the context of standard spelling, likely a male individual
	*Bureau of Ethnology	Fenrir	*male	1. Government agency to which the report was submitted
	*Carlo Traverso	Eric	*male	1. Transcriber involved in preparing the e-text version of the document
	*Chapin	Kumo	*male	4. Scholar who illustrated examples of notched doorways and decorative bands in Mancos ruins | 6. F. H. Chapin, who visited cliff ruins and studied kiva decoration
	*Cosmos Mindeleff	Daniel	male	1. Author of 'The Cliff Ruins of Canyon de Chelly, Arizona' | 2. Author of the chapter 'THE CLIFF RUINS OF CANYON DE CHELLY, ARIZONA' and surveyor of Canyon de Chelly
	*Cushing	Nicola	*male	6. F. H. Cushing, researcher on cliff ruins and ceremonial practices
	*Dr H. C. Yarrow	Puck	*male	4. U.S.A. archaeologist who examined a large circular kiva in Taos in 1874
	*Dr W. R. Birdsall	Liam	*male	4. Scholar who mentioned walls in Mesa Verde ruins constructed with wickerwork and plaster
	*Dr Washington Matthews	Lewis	*male	4. U.S.A. scholar with extensive knowledge of Navaho myths and traditions who obtained a version of Navaho tradition about De Chelly
	*Dutton	Alex	*male	6. C. E. Dutton, who described the cliff-ruin region
	*F. H. Chapin	Fable	*male	2. Author who spent summers in Mesa Verde country and published 'The Land of the Cliff Dwellers'
	*F. T. Bickford	Nicola	*male	2. Author who published an account of Canyon de Chelly visit in 1890
	*F. W. Putnam	Psi	*male	2. Professor who edited the Wheeler Survey reports and prepared text for ruin descriptions
