	narrator	Adam	male	Story narrator
	A well-known writer	Nicola	*male	2. Writer who placed Manibozho in antagonism to a great serpent, spirit of evil
	Acosta	Omega	*male	6. Spanish historian who wrote about Peruvian mythology and the worship of Viracocha as the chief deity. | 9. Spanish historian who wrote about indigenous beliefs in the New World
	Adair	Fenrir	*male	1. A writer who gave a derivation of the Cherokee name from 'cheera', fire. | 10. An author who stated that the Choctaws permitted the office of high priest to remain in one family
	Algonkins	Echo	*male	1. A group of tribes surrounding the Iroquois, described as more genial than the Iroquois with milder manners and vivid fancy. | 4. A Native American tribe mentioned in the text, associated with bird and serpent symbolism
	Balboa	Fenrir	*male	10. A traveler who mentioned that temple services in Peru were conducted in a language not understood by the masses
	Bartram	George	*male	10. A naturalist who described the junior priests of the Creeks as wearing white robes and carrying owl skins
	Bishop Egede	Omega	*male	10. A bishop who wrote about the Eskimo belief that a priest must be drowned and eaten by sea monsters to achieve highest order
	Carriere	Alex	*male	1. A writer who said that natural religions are not fables but truths. | 2. Author who stated that man conceives God as self-conscious unity when thinking clearly or feeling deeply
	Cogolludo	Michael	*male	4. A historian who wrote about Yucatan mythology, associated with serpent symbolism | 9. Spanish historian who wrote about Maya beliefs, including the devil called Xibilha
	Coreal	Liam	*male	4. A traveler who documented Brazilian beliefs, associated with bird symbolism | 9. French explorer who documented indigenous beliefs in the Caribbean | 10. A traveler who mentioned that temple services in Peru were conducted in a language not understood by the masses
	Cusic	Onyx	*male	2. Tuscarora chief who related the Iroquois legend of Enigorio and Enigohahetgea, meaning Good Mind and Bad Mind | 4. An author who documented Six Nations history, associated with serpent symbolism | 8. A source cited for the account of the Six Nations' belief about their origin near a mountain near the falls of the Oswego River.
	Esau Hajo	Michael	*male	9. Great medal chief and speaker for the Creek nation who expressed the tribal belief about future state rewards and punishments
	Father Brebeuf	Psi	male	2. Missionary to the Hurons in 1636 who recorded an Iroquois legend without moral dualism | 9. Jesuit missionary who documented Huron beliefs about souls after death
	Garcilasso de la Vega	Lewis	*male	1. A writer whose Royal Commentaries preserved fifteen words of the secret language of the Incas. | 6. Inca historian who observed the transfer of Viracocha's story to Manco Capac in later traditions. | 9. Peruvian historian who wrote about Inca religion and the deity Çupay | 10. A historian who wrote about the Peruvian high priest system and their service rotation
	Herbert Spencer	Santa	*male	10. A philosopher who wrote about the progress from ignorance to enlightenment
	Huayna Capac	Echo	*male	6. The dying Inca who prophesied that white men would come from the sun and subject nations to their rule. | 9. Inca who was the high priest of Çupay
	Immanuel Kant	George	male	2. Philosopher who showed that reason seeks principles connecting experiences and that conscience points to an infinite personality and absolute standard of right
	Jacob Grimm	Psi	male	2. Scholar who observed that the idea of the Devil is foreign to all primitive religions
	La Hontan	Santa	*male	1. A writer who exclaimed that the savages had the happiest memories in the world. | 9. French explorer who documented Algonkin beliefs about souls
	Longfellow	Daniel	*male	9. American poet who wrote about the spirit's journey
	Montaigne	Puck	*male	1. A writer who said 'Ce que je mets sur papier, je remets de ma mémoire.'
	Montezuma	Puck	*male	6. The last ruler of the Aztec empire who was later venerated as a legendary figure. He is described as a noble prince of the golden age who was believed to return and lead his people to victory. | 6. The Aztec ruler who believed Spanish conquistadors were fulfilling ancient prophecies about returning white rulers from the east.
	Nezahuatl	Nicola	*male	2. Lord of Tezcuco who prayed to gods for a son and then erected a temple dedicated 'to the Unknown God, the Cause of Causes'
	Oviedo	Fable	*male	9. Spanish historian who wrote about the province of Guataro and indigenous customs
	Rev. Mr. Pond	Eric	*male	10. A missionary who recorded the Dakota theory about necromants being winged seeds that visit homes of divinities
	Schiller	Kumo	*male	4. A German poet who wrote about serpents, associated with serpent symbolism
	The writer	Fable	*male	2. Author of Quiche myths who described rulers of upper and nether world struggling against One Death and Seven Deaths
	Tiri	Liam	*male	8. A god from Yurucares mythology who released the first humans by cleaving an enormous hole in two, allowing them to emerge from it.
