	narrator	Adam	male	Story narrator
	Abellius	Alex	*male	6. A knight who is defeated by Sir Tor and killed after refusing to give up the hound.
	Allardin of the Isles	Eric	*male	6. A knight who fights Sir Gawain in a joust and is killed by him.
	Aries	Eric	*male	6. A cowherd who asks King Arthur to knight his son Tor. He is a poor man with thirteen other sons.
	Arthur	Omega	*male	1. Infant son of Uther and Igerna who is secretly raised by Sir Ector, destined to become king | 2. The rightful king of England, son of Uther and fostered by Sir Ector. Tall, strong, gentle, and accomplished in knightly exercises. Became king after pulling the sword from the stone.
	Aurelius	Kumo	male	1. Son of Constantine who defeats Vortigern and becomes king, later slain by poison
	Balin le Savage	Kumo	male	4. A poor knight who was imprisoned for killing a cousin of the king. He draws Excalibur from its scabbard, proving himself worthy and strong. He kills the lady of the lake who is revealed to be his mother's murderer, leading to conflict with King Arthur.
	Beaumains	Echo	*male	11. A kitchen servant who becomes Sir Gareth of Orkney, a noble knight. He is strong and brave, having overcome many knights in battle.
	Brice	Omega	*male	2. The Archbishop of Canterbury who organized the gathering to determine Arthur's kingship through divine sign.
	Brown Knight	Daniel	*male	11. A perilous knight who slays thirty knights and is defeated by Sir Gareth.
	Dwarf	Liam	*male	7. A magical creature who delivers Excalibur to Sir Accolon. He serves as a messenger for Morgan le Fay and provides the sword that leads to Arthur's near-death battle.
	Ector	George	*male	1. Knight who cares for the infant Arthur, receiving him from Merlin | 2. Arthur's foster father, a knight who raised Arthur as his own son. He discovered Arthur's true parentage and recognized him as king.
	Gaheris	Puck	male	3. Belisent's son, one of four sons who accompany her to Caerleon. | 6. Sir Gawain's brother, who serves as his squire in the adventure of the white hart.
	Gareth	Nicola	male	3. Belisent's son, one of four sons who accompany her to Caerleon. | 11. The true identity of Beaumains, Sir Gareth of Orkney. He is the youngest brother of Sir Gawain, Sir Agravain, and Sir Gaheris.
	Garin	Echo	*male	9. A nobleman who hosts Sir Gawain at his house. He is the father of Herman and stands up to Thiebault when accused of harboring a supposed merchant.
	Griflet	Eric	*male	2. A knight who fought alongside Arthur in the battle against the eleven kings. | 3. A young squire who is knighted by Arthur to avenge his master's death. He is wounded in battle with the mysterious knight.
	Hantzlake of Wentland	Lewis	*male	6. A knight who fights King Pellinore for a lady and is killed by him.
	Joseph of Arimathea	Omega	*male	13. A biblical figure who is revealed to be the father of Sir Galahad and appears as a bishop.
	Key	Michael	*male	2. Arthur's foster-brother, recently knighted. He found the sword from the stone and claimed it was his right to be king.
	King Anguish of Ireland	Echo	male	12. The king of Ireland who challenged Cornwall for tribute, leading to the duel with Sir Marhaus and later Tristram.
	King Anguish of Scotland	Daniel	male	8. Scottish king who swore to avenge Rome's past oppression and promised twenty thousand men-at-arms to Arthur.
